,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1512563250042322944,2022-04-08 22:49:15+00:00,True,"This means that they can NOW inquire and potentially get their own line of toys made through 3Landers / TOYLAXY, as well. Open a support ticket via Discord if you're interested. 💙 

Our journey together continues. 💫 #3L4L #WeAreTheDreamers",4,2,53,0,,"{'hashtags': [{'start': 216, 'end': 221, 'tag': '3L4L'}, {'start': 222, 'end': 239, 'tag': 'WeAreTheDreamers'}]}"
1,1512563246548496385,2022-04-08 22:49:14+00:00,False,"✨ 3Landers x TOYLAXY ✨ 

We are thrilled to announce that our toy production is being led by our official Partner @toylaxy_studio (Q2 release), who offers a massive selection of high-quality toys: https://t.co/8nUfVJNZOq

We are also opening our doors to other NFT projects… 🚪 https://t.co/vE0bHNggNj",72,15,168,13,{'media_keys': ['3_1512563242400329734']},"{'mentions': [{'start': 114, 'end': 129, 'username': 'toylaxy_studio', 'id': '969494948599836673'}], 'urls': [{'start': 197, 'end': 220, 'url': 'https://t.co/8nUfVJNZOq', 'expanded_url': 'https://www.toylaxy.com/', 'display_url': 'toylaxy.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1511955050398384129/JsBDYY6F?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1511955050398384129/JsBDYY6F?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'TOYLAXY', 'description': 'ร้านค้าออนไลน์อย่างเป็นทางการของ Toylaxy', 'unwound_url': 'https://www.toylaxy.com/th'}, {'start': 277, 'end': 300, 'url': 'https://t.co/vE0bHNggNj', 'expanded_url': 'https://twitter.com/3landersNFT/status/1512563246548496385/photo/1', 'display_url': 'pic.twitter.com/vE0bHNggNj'}]}"
2,1512526788114714626,2022-04-08 20:24:22+00:00,True,@SwipeMarket 💙💙💙,0,0,15,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'SwipeMarket', 'id': '2200453537'}]}"
3,1512489190457581570,2022-04-08 17:54:58+00:00,False,"RT @YarjEnari: I wish more people with @3landersNFT pfp that follow me, community and project are amazing!

#NewProfilePic #3L4L #3landers…",14,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'YarjEnari', 'id': '1241416076770107398'}, {'start': 39, 'end': 51, 'username': '3landersNFT', 'id': '1440732888522100746'}], 'hashtags': [{'start': 108, 'end': 122, 'tag': 'NewProfilePic'}, {'start': 123, 'end': 128, 'tag': '3L4L'}, {'start': 129, 'end': 138, 'tag': '3landers'}]}"
4,1512467878980857858,2022-04-08 16:30:17+00:00,False,RT @jeremymleon: @3landersNFT didn’t vibe with the 3L’s that i minted but just copped my forever 3lander. Fav color is yellow and I only we…,16,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'jeremymleon', 'id': '36663855'}, {'start': 17, 'end': 29, 'username': '3landersNFT', 'id': '1440732888522100746'}]}"
5,1512327779609624576,2022-04-08 07:13:35+00:00,False,RT @0xGem: Gem Sweep! 10 3Landers bought for 21.05719 ETH https://t.co/tKJLBB9H5t https://t.co/I7FIpk43SC,34,0,0,0,{'media_keys': ['3_1512303764438503428']},"{'mentions': [{'start': 3, 'end': 9, 'username': '0xGem', 'id': '1451976600589946893'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/tKJLBB9H5t', 'expanded_url': 'https://etherscan.io/tx/0x5dfe4b2d4f2170ec5e3a51f0bedcc31d27619fdbf7c016587857e8275d135f6f', 'display_url': 'etherscan.io/tx/0x5dfe4b2d4…'}, {'start': 82, 'end': 105, 'url': 'https://t.co/I7FIpk43SC', 'expanded_url': 'https://twitter.com/0xGem/status/1512303766548234242/photo/1', 'display_url': 'pic.twitter.com/I7FIpk43SC'}]}"
6,1512281177381650460,2022-04-08 04:08:24+00:00,False,RT @BillianosW: Picked up another @3landersNFT !! IMO anything under 2 is a no brainer and this one is to clean to pass up 🧼 do 3Landers fo…,33,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'BillianosW', 'id': '1476354955271417859'}, {'start': 34, 'end': 46, 'username': '3landersNFT', 'id': '1440732888522100746'}]}"
7,1512275058420559872,2022-04-08 03:44:05+00:00,False,RT @Joey_badaboom_: Just aped in. Following all @3landersNFT that react to this. https://t.co/OIs6JDRO6P,30,0,0,0,{'media_keys': ['3_1512272225382002689']},"{'mentions': [{'start': 3, 'end': 18, 'username': 'Joey_badaboom_', 'id': '255378266'}, {'start': 48, 'end': 60, 'username': '3landersNFT', 'id': '1440732888522100746'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/OIs6JDRO6P', 'expanded_url': 'https://twitter.com/Joey_badaboom_/status/1512272549085818882/photo/1', 'display_url': 'pic.twitter.com/OIs6JDRO6P'}]}"
8,1512136643788087300,2022-04-07 18:34:04+00:00,True,"@thesolesupplier And to their content writer, @retr0gical. 👀",2,3,59,1,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'thesolesupplier', 'id': '1651093056'}, {'start': 46, 'end': 57, 'username': 'retr0gical', 'id': '1367438790764220419'}]}"
9,1512132422443454468,2022-04-07 18:17:18+00:00,False,Shoutout to @thesolesupplier for the awesome write up. 🅱️👀 https://t.co/MpIwNKWNiG,30,10,168,0,,"{'mentions': [{'start': 12, 'end': 28, 'username': 'thesolesupplier', 'id': '1651093056'}], 'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/MpIwNKWNiG', 'expanded_url': 'https://twitter.com/TheSoleNFT/status/1512057131616378887', 'display_url': 'twitter.com/TheSoleNFT/sta…'}]}"
