screen_name,id,followers_count,following_count,my_retweets,rt_retweets,my_replies,rt_replies,my_likes,rt_likes,my_hrs_between,rt_hrs_between,total_influencer_following,regularized_influencer_following,collection_date,discord_member_count,online_right_now,online_to_members_ratio,average_minutes_between_general_chat
YOOMOOTA,1.47553E+18,63396,35,30220,46488,12333,12585,67552,70066,12.54756809,6.201394231,4,0.102436593,11:45.7,33885,4492,0.132566032,6.580325589
MindblowonNFT,1.47996E+18,291261,69,286965,748328,285234,291345,472880,495494,6.370898235,2.774973994,21,0.986211002,29:40.5,75575,9067,0.119973536,5.307497306
BBRCOfficial,1.5116E+18,267837,10,219157,651720,211733,213526,293695,302230,4.470905797,1.832175204,17,0.654639115,29:51.3,100239,12547,0.125170842,88.26324832
KumaverseNFT,927441991,13908,1256,6874,123088,5172,5272,9630,10327,263.3305825,76.11171806,0,0,30:02.3,7356,1079,0.14668298,1.005619192
nftworldsNFT,1.44038E+18,147471,412,108692,161116,86067,86476,238348,244779,9.969725569,4.964926944,14,0.713425311,59:03.4,84970,10832,0.127480287,4.870364478
artblocks_io,1.31783E+18,148322,307,3556,9181,2832,3288,25875,31448,15.70651235,7.293376984,24,2.560724326,06:53.4,43468,7305,0.168054661,18.53614781
projectPXN,1.46594E+18,436230,9,535410,1157746,311269,347878,708161,834546,30.1079621,14.91459234,29,1.526546305,07:04.8,33186,8872,0.26734165,1695.241574
hellofapartynft,1.49155E+18,67863,5,60457,67821,50064,50400,91810,96287,19.74346651,14.85848511,11,0.587304445,31:02.9,23964,5204,0.217159072,0.038310438
EndofDays_NFT,1480254733415714817,17016,51,8386,14852,6204,6289,9258,9558,32.28748538011696,18.589764309764305,1.0,0.06988635371473656,2022-05-18 19:15:38.449699,7801,1567,0.20087168311754902,0.13857154882154885
SixthReseau,4615163193,201123,43,356094,478416,310397,320555,391970,420524,11.429097786811203,2.816938888888893,13.0,0.6508958832391176,2022-05-19 21:29:56.080519,106884,11584,0.10837917742599454,0.15285454545454544
888_onryo,1501708246410838018,25823,54,32509,53634,30993,31163,35604,36389,26.08110215053763,11.70151017214398,5.0,0.29802218317069806,2022-05-19 21:44:29.402984,4393,1079,0.2456180286819941,1.8697898989898991
MoneyBagsNFT,1497135092338069504,32172,3,27730,28154,32164,32832,41795,45857,20.813212962962957,4.8137927756654,4.0,0.13969015949213967,2022-05-20 05:04:13.524484,10483,2700,0.25755985881904037,0.8137414141414142
shamanzs,1473640616647180294,119996,18,133839,137924,117232,120318,237208,259026,13.97917721518988,4.426547777777781,12.0,0.4662478946307329,2022-05-20 05:04:52.249703,,,,
MetaVolutionNFT,1479177058676793349,61815,88,19502,73380,15443,16050,22468,24647,18.162400632339654,6.894985425240056,1.0,0.03141774494909808,2022-05-20 05:06:54.926335,,,,
