,nft_name,influencer_name,is_influencer_following
0,AntonymNFT,BentoBoiNFT,True
1,AntonymNFT,TheShamdoo,True
2,AntonymNFT,dingalingts,False
3,AntonymNFT,champtgram,True
4,AntonymNFT,CryptoGorillaYT,True
5,AntonymNFT,nftpasta,True
6,AntonymNFT,MattCobuzio,True
7,AntonymNFT,mulligan,False
8,AntonymNFT,Crypt0Emma,True
9,AntonymNFT,SkiddilyNFT,True
10,AntonymNFT,NFTverse_,False
11,AntonymNFT,NickyGee44,False
12,AntonymNFT,allnick,False
13,AntonymNFT,Cameron_singh17,True
14,AntonymNFT,maxnaut,True
15,AntonymNFT,LilMoonLambo,False
16,AntonymNFT,SajadNFT,False
17,AntonymNFT,ashrobinqt,False
18,AntonymNFT,Dario_Desiena,False
19,AntonymNFT,SneakyninjaNFTs,False
20,AntonymNFT,KosherPlug,True
21,AntonymNFT,thebrettway,True
22,AntonymNFT,OttoSuwenNFT,True
23,AntonymNFT,OttoSuwenNFT,True
24,AntonymNFT,itstylersays,False
25,AntonymNFT,hypnotizedApe,False
26,AntonymNFT,NFTLlama,True
27,AntonymNFT,JRNYcrypto,False
28,AntonymNFT,ZssBecker,False
29,AntonymNFT,SpencerCUH,False
30,AntonymNFT,Archemist23NFT,True
31,AntonymNFT,BattleguruNFT,True
32,AntonymNFT,cbassg16,False
33,AntonymNFT,Zeneca_33,False
34,AntonymNFT,squidNFT,False
35,AntonymNFT,elliotrades,False
36,AntonymNFT,PopeyesNFTs,True
37,AntonymNFT,JamesCiesluk,True
38,AntonymNFT,AmeerHussainn,False
39,AntonymNFT,KevinSusanto,False
40,AntonymNFT,DonteCrypto,True
41,AntonymNFT,JuJulikesnfts,True
42,AntonymNFT,Chewtoro,True
43,AntonymNFT,DCLBlogger,False
44,AntonymNFT,tropoFarmer,False
45,AntonymNFT,sxtvik,False
46,AntonymNFT,andr3w,False
47,AntonymNFT,DeezeFi,True
48,AntonymNFT,fvckrender,True
49,AntonymNFT,garyvee,False
50,AntonymNFT,Luke360,False
51,AntonymNFT,iamDCinvestor,False
