,nft_name,influencer_name,is_influencer_following
0,CandyHuntersNFT,BentoBoiNFT,False
1,CandyHuntersNFT,TheShamdoo,False
2,CandyHuntersNFT,dingalingts,False
3,CandyHuntersNFT,champtgram,False
4,CandyHuntersNFT,CryptoGorillaYT,False
5,CandyHuntersNFT,nftpasta,False
6,CandyHuntersNFT,MattCobuzio,False
7,CandyHuntersNFT,mulligan,False
8,CandyHuntersNFT,Crypt0Emma,False
9,CandyHuntersNFT,SkiddilyNFT,False
10,CandyHuntersNFT,NFTverse_,False
11,CandyHuntersNFT,NickyGee44,False
12,CandyHuntersNFT,allnick,False
13,CandyHuntersNFT,Cameron_singh17,False
14,CandyHuntersNFT,maxnaut,True
15,CandyHuntersNFT,LilMoonLambo,False
16,CandyHuntersNFT,SajadNFT,False
17,CandyHuntersNFT,ashrobinqt,False
18,CandyHuntersNFT,Dario_Desiena,False
19,CandyHuntersNFT,SneakyninjaNFTs,False
20,CandyHuntersNFT,KosherPlug,False
21,CandyHuntersNFT,thebrettway,False
22,CandyHuntersNFT,OttoSuwenNFT,False
23,CandyHuntersNFT,OttoSuwenNFT,False
24,CandyHuntersNFT,itstylersays,False
25,CandyHuntersNFT,hypnotizedApe,False
26,CandyHuntersNFT,NFTLlama,False
27,CandyHuntersNFT,JRNYcrypto,False
28,CandyHuntersNFT,ZssBecker,False
29,CandyHuntersNFT,SpencerCUH,False
30,CandyHuntersNFT,Archemist23NFT,False
31,CandyHuntersNFT,BattleguruNFT,False
32,CandyHuntersNFT,cbassg16,False
33,CandyHuntersNFT,Zeneca_33,False
34,CandyHuntersNFT,squidNFT,False
35,CandyHuntersNFT,elliotrades,False
36,CandyHuntersNFT,PopeyesNFTs,False
37,CandyHuntersNFT,JamesCiesluk,True
38,CandyHuntersNFT,AmeerHussainn,False
39,CandyHuntersNFT,KevinSusanto,False
40,CandyHuntersNFT,DonteCrypto,False
41,CandyHuntersNFT,JuJulikesnfts,False
42,CandyHuntersNFT,Chewtoro,False
43,CandyHuntersNFT,DCLBlogger,False
44,CandyHuntersNFT,tropoFarmer,False
45,CandyHuntersNFT,sxtvik,False
46,CandyHuntersNFT,andr3w,False
47,CandyHuntersNFT,DeezeFi,False
48,CandyHuntersNFT,fvckrender,False
49,CandyHuntersNFT,garyvee,False
50,CandyHuntersNFT,Luke360,False
51,CandyHuntersNFT,iamDCinvestor,False
