,nft_name,influencer_name,is_influencer_following
0,ClayFriendsNFT,BentoBoiNFT,True
1,ClayFriendsNFT,TheShamdoo,False
2,ClayFriendsNFT,dingalingts,False
3,ClayFriendsNFT,champtgram,False
4,ClayFriendsNFT,CryptoGorillaYT,False
5,ClayFriendsNFT,nftpasta,True
6,ClayFriendsNFT,MattCobuzio,True
7,ClayFriendsNFT,mulligan,False
8,ClayFriendsNFT,Crypt0Emma,True
9,ClayFriendsNFT,SkiddilyNFT,True
10,ClayFriendsNFT,NFTverse_,True
11,ClayFriendsNFT,NickyGee44,False
12,ClayFriendsNFT,allnick,False
13,ClayFriendsNFT,Cameron_singh17,False
14,ClayFriendsNFT,maxnaut,True
15,ClayFriendsNFT,LilMoonLambo,False
16,ClayFriendsNFT,SajadNFT,False
17,ClayFriendsNFT,ashrobinqt,False
18,ClayFriendsNFT,Dario_Desiena,False
19,ClayFriendsNFT,SneakyninjaNFTs,False
20,ClayFriendsNFT,KosherPlug,False
21,ClayFriendsNFT,thebrettway,False
22,ClayFriendsNFT,OttoSuwenNFT,False
23,ClayFriendsNFT,OttoSuwenNFT,False
24,ClayFriendsNFT,itstylersays,False
25,ClayFriendsNFT,hypnotizedApe,False
26,ClayFriendsNFT,NFTLlama,False
27,ClayFriendsNFT,JRNYcrypto,False
28,ClayFriendsNFT,ZssBecker,False
29,ClayFriendsNFT,SpencerCUH,False
30,ClayFriendsNFT,Archemist23NFT,True
31,ClayFriendsNFT,BattleguruNFT,False
32,ClayFriendsNFT,cbassg16,False
33,ClayFriendsNFT,Zeneca_33,False
34,ClayFriendsNFT,squidNFT,False
35,ClayFriendsNFT,elliotrades,False
36,ClayFriendsNFT,PopeyesNFTs,False
37,ClayFriendsNFT,JamesCiesluk,False
38,ClayFriendsNFT,AmeerHussainn,False
39,ClayFriendsNFT,KevinSusanto,False
40,ClayFriendsNFT,DonteCrypto,False
41,ClayFriendsNFT,JuJulikesnfts,False
42,ClayFriendsNFT,Chewtoro,False
43,ClayFriendsNFT,DCLBlogger,False
44,ClayFriendsNFT,tropoFarmer,False
45,ClayFriendsNFT,sxtvik,False
46,ClayFriendsNFT,andr3w,False
47,ClayFriendsNFT,DeezeFi,False
48,ClayFriendsNFT,fvckrender,False
49,ClayFriendsNFT,garyvee,False
50,ClayFriendsNFT,Luke360,False
51,ClayFriendsNFT,iamDCinvestor,False
