screen_name,id,followers_count,following_count,my_retweets,rt_retweets,my_replies,rt_replies,my_likes,rt_likes,my_hrs_between,rt_hrs_between,total_influencer_following,regularized_influencer_following,collection_date,MAOne,MAThree,MAFive,MAWeek,one_day_volume,one_day_change,one_day_average_price,average_price,thirty_day_average_price,total_supply,num_owners,floor_price,is_subject_to_whitelist,featured
RoborovskiNFT,1.48E+18,169215,165,308942,484771,320116,322086,331593,336871,10.97881987,5.696557477,6,0.212118037,53:57.0,2859.116771,3002.234722,2996.193292,2974.239167,0.3365,13.63043478,13.63043478,0.146635108,0.03265898,7777,7777,0.02,FALSE,FALSE
thekamiofficial,1.52E+18,340,30,350,430,63,69,865,904,36.47654321,15.12786195,0,0,54:13.4,3020.807292,3075.737465,3006.650813,3001.660134,0.0379,0.895,0.895,0.088010581,0.014577857,2898,2898,0.00999,FALSE,FALSE
goopdoods,1.44E+18,18306,4,17273,23666,11094,11325,93360,96290,5.721828655,3.120400242,7,0.215118972,54:36.5,2561.996042,2573.499792,2583.051312,2598.412426,0.695,0.120967742,0.120967742,0.193261841,0.089404854,7999,7999,0.059,FALSE,FALSE
ILYYWNFT,1.48E+18,70124,46,92561,140739,96305,96662,149058,151129,9.949876116,6.739034292,8,0.220245517,30:23.3,2539.458854,2605.249028,2678.338229,2756.903452,0.211,-0.659127625,-0.659127625,0.201885218,0.093764505,10000,10000,0.051,FALSE,FALSE
3landersNFT,1.44E+18,73329,225,18707,31569,7292,7813,90716,100939,8.104503838,2.474715833,20,0.829958869,30:47.8,2859.116771,3002.234722,2996.193292,2974.239167,13.3446,-0.381168789,-0.381168789,1.611055752,0.654855094,10000,10000,0.6,FALSE,FALSE
SOVillains,1.48E+18,71980,15,144504,175894,145876,146747,172031,174861,21.50295012,6.6800548,9,0.288491706,37:48.1,2539.458854,2605.249028,2678.338229,2756.903452,0,-1,-1,0.130085112,0.027338167,8888,8888,0.009,FALSE,FALSE
DippiesNFT,1.45E+18,132688,52,103260,203091,75089,76582,186001,195549,9.034403663,3.333831667,15,0.518809659,46:18.7,2937.460208,2791.187674,2766.203771,2708.592262,4.0246,0.123562256,0.123562256,0.401787753,0.237362713,8888,8888,0.125,FALSE,FALSE
WonderPals,1.47E+18,181011,664,15239,69089,14045,14474,51470,56798,14.88417645,2.147979722,17,0.681635783,46:37.7,2666.375104,2598.500694,2611.744042,2640.817277,2.6496,-0.147435485,-0.147435485,0.722056507,0.165787747,10000,10000,0.14,FALSE,FALSE
CosmiqsNFT,1.48E+18,100838,10,78747,90926,78221,79111,187485,192370,11.33570779,8.188518995,10,0.321508659,46:56.7,2612.970625,2628.867014,2611.431188,2628.422545,0.02,-0.721059972,-0.721059972,0.088465162,0.021450658,5555,5555,0.006,FALSE,FALSE
SkeletGuys,1.46E+18,5997,141,5110,14395,3308,3410,15026,15636,6.740859521,2.002035278,0,0,46:08.7,2969.172812,2871.997083,2826.763313,2751.569182,0.0335,-0.33,-0.33,0.053093162,0.027157836,5000,5000,0.017,FALSE,FALSE
CatBloxStudios,1.47E+18,112370,47,132607,142727,120141,121072,232353,242027,10.63487999,4.837556853,8,0.219339077,47:15.4,3126.780104,3033.680799,2987.950021,3025.269494,3.330266,-0.156467341,-0.156467341,0.487543233,0.186881338,9999,9999,0.179,FALSE,FALSE
StarcatchersNFT,1.48E+18,94301,525,24646,53818,15210,15800,111764,120005,17.22113228,9.041094444,15,0.599087845,48:07.4,2681.573854,2702.858194,2797.699729,2884.98625,3.87798,0.155880775,0.155880775,0.528295243,0.157905623,10000,10000,0.105,FALSE,FALSE
rollbitcom,1.23E+18,93131,87,67409,72741,39563,47645,89910,97495,10.33621191,8.517038611,4,0.212445689,23:57.6,3965.867396,3855.524028,3855.303563,3829.386339,0,0,0,0.586200189,1.093185185,9999,9999,1.235,FALSE,FALSE
Edenhorde,1.47E+18,21214,31,4814,6539,3349,4001,30865,39324,12.14254109,5.520950699,4,0.122603689,25:11.3,3079.625,2961.888889,2972.806708,3030.083348,5.89089,5.939439274,5.939439274,0.796144135,0.428845637,8686,8686,0.35,FALSE,FALSE
TastyBonesNFT,1.47E+18,349410,1024,195263,253714,189243,204995,215330,235481,8.874127358,1.888715833,19,0.896953187,46:35.0,3051.063542,3132.537812,3121.935771,3090.583289,1.52581,0.186477449,0.186477449,1.294260293,0.154018818,5049,5049,0.1439,FALSE,FALSE
DentedFeelsNFT,1.49E+18,45205,196,14089,39039,6426,6709,30485,33814,10.26083333,1.821819444,12,0.491760605,55:21.2,2581.644271,2638.875521,2709.867125,2813.846146,2.66401,0.39127324,0.39127324,0.244326049,0.113040786,11111,11111,0.105,FALSE,FALSE
TsukiNFT,1.48E+18,139395,34,281103,417738,148945,192163,336375,371168,20.72183559,12.83193166,9,0.348660263,56:04.3,2773.592292,2884.505451,2971.984292,2952.280446,0.044,-0.918639053,-0.918639053,0.15218692,0.01433904,10000,10000,0.0149,FALSE,FALSE
SatoshiRunnerz,1.47E+18,122036,574,209649,315601,211131,221562,204558,213144,18.29799708,4.624780637,11,0.525860205,56:55.6,2726.744583,2728.066806,2662.665479,2653.792217,0.7559,2.123553719,2.123553719,0.176601872,0.100233717,7777,7777,0.0779,FALSE,FALSE
0xALINFT,1.47E+18,99259,212,69643,99952,97123,111135,78699,93826,37.4007664,16.87099789,11,0.381367661,58:02.4,2911.404375,2963.257083,3047.264229,3064.055223,0.065,-0.048176893,-0.048176893,0.210707851,0.013878271,8110,8110,0.01,FALSE,FALSE
RubberDuckBP,1.45E+18,56547,4,36871,55426,27536,28976,128479,136874,11.59258955,3.535311944,11,0.218869506,58:53.0,2709.358229,2742.394514,2670.87025,2657.761414,1.25238,0.371719606,0.371719606,0.153775691,0.04310193,10000,10000,0.044,FALSE,FALSE
cartoonsnft,1.49E+18,71647,226,261560,298368,275002,275379,365980,368763,5.291006231,3.385990829,11,0.466209478,01:30.1,2709.358229,2742.394514,2670.87025,2657.761414,0.047,-0.657184537,-0.657184537,0.108094758,0.016270969,7776,7776,0.0155,FALSE,FALSE
thesunniesnft,1.47E+18,39465,38,14561,28807,7084,7481,37280,41515,14.00159979,2.304001389,5,0.277432188,04:18.7,2726.744583,2728.066806,2662.665479,2653.792217,0.148,-0.25214377,-0.25214377,0.099437536,0.022372392,9140,9140,0.019,FALSE,FALSE
NftFloppy,1.47E+18,32777,369,34703,46172,28974,29301,68653,71140,8.626223389,3.287440278,6,0.280931903,14:33.0,2859.116771,3002.234722,2996.193292,2974.239167,0.488,1.357487923,1.357487923,0.100245756,0.022965178,10001,10001,,FALSE,FALSE
ClayFriendsNFT,1.48E+18,64343,7,81123,108028,79656,84750,122247,131028,14.16122044,5.43930812,6,0.130253343,21:14.9,2879.334375,2928.655799,2844.414042,2811.360863,1.1764,-0.003895004,-0.003895004,0.229864198,0.089239555,5000,5000,0.0898,FALSE,FALSE
