,screen_name,id,followers,following
0,BentoBoiNFT,1357259205191766016,307042,1016
1,TheShamdoo,1122211825452556288,107592,6412
2,dingalingts,936048782206058496,113575,673
3,champtgram,1117809180713324544,148747,573
4,CryptoGorillaYT,94261044,189109,2214
5,nftpasta,3282817634,120787,1246
6,MattCobuzio,4848805288,68014,622
7,mulligan,14323985,147245,478
8,Crypt0Emma,1429676106412695557,12478,597
9,SkiddilyNFT,1313383566294745089,17914,742
10,NFTverse_,1409180979068080128,68364,597
11,NickyGee44,3434609596,103840,970
12,allnick,965651,104084,2401
13,Cameron_singh17,956560953469997056,2482,675
14,maxnaut,3370665688,12387,3996
15,LilMoonLambo,2593497397,167544,1721
16,SajadNFT,1475591184496140291,49656,1
17,ashrobinqt,1020418150821744640,54337,766
18,Dario_Desiena,2789708203,38880,2864
19,SneakyninjaNFTs,1437619292640448512,65599,262
20,KosherPlug,4357416197,306935,696
21,thebrettway,1941900223,185521,776
22,OttoSuwenNFT,1835943590,228647,621
23,OttoSuwenNFT,1835943590,228647,621
24,itstylersays,2289922827,40071,8550
25,hypnotizedApe,1404854162131668997,25272,3944
26,NFTLlama,1175086049195909121,158333,4016
27,JRNYcrypto,952087880918228992,818464,626
28,ZssBecker,1243470638477697024,817844,278
29,SpencerCUH,763127617780346882,153379,2947
30,Archemist23NFT,1445082214593564798,6872,578
31,BattleguruNFT,1456856845092536332,5776,176
32,cbassg16,2891015631,85860,262
33,Zeneca_33,1370479673818427403,264929,7663
34,squidNFT,903102823943913472,33942,194
35,elliotrades,948736680554409984,692655,1095
36,PopeyesNFTs,1435316516015296514,152119,292
37,JamesCiesluk,1310488304446513153,2388,784
38,AmeerHussainn,3195799826,285571,304
39,KevinSusanto,45788327,187870,284
40,DonteCrypto,368188742,158312,303
41,JuJulikesnfts,1277305221572628480,86756,473
42,Chewtoro,38639301,82806,1234
43,DCLBlogger,997715301545361408,216267,172
44,tropoFarmer,16273846,149644,9156
45,sxtvik,731800772174811136,15090,761
46,andr3w,4911583324,165280,4210
47,DeezeFi,127646057,213173,4091
48,fvckrender,701756115118333952,171088,3333
49,garyvee,5768872,3108636,18058
50,Luke360,19754588,42657,2169
51,iamDCinvestor,956670268596015105,192308,559
