,influencer_name,followers_count,regularized_followers
0,BentoBoiNFT,344035,0.10922838315577589
1,TheShamdoo,112050,0.03557498607003558
2,dingalingts,131966,0.04189815806977523
3,champtgram,166468,0.05285226935391952
4,CryptoGorillaYT,220120,0.06988635371473656
5,nftpasta,154778,0.04914078709458247
6,MattCobuzio,98956,0.03141774494909808
7,mulligan,156559,0.049706240465316374
8,Crypt0Emma,13963,0.0044331417268711
9,SkiddilyNFT,58765,0.018657421297685325
10,NFTverse_,71066,0.022562891209755895
11,NickyGee44,110954,0.03522701476496856
12,allnick,113312,0.03597566105816931
13,Cameron_singh17,3121,0.0009908927400676575
14,maxnaut,12729,0.004041356516604041
15,LilMoonLambo,168650,0.05354503704338688
16,SajadNFT,96675,0.030693545545030693
17,ashrobinqt,60471,0.0191990627634192
18,Dario_Desiena,39509,0.012543794061945878
19,SneakyninjaNFTs,96371,0.03059702795676393
20,KosherPlug,308937,0.09808504659989808
21,thebrettway,192918,0.06124993451726125
22,OttoSuwenNFT,231130,0.07338194136874004
23,itstylersays,43239,0.013728039470613728
24,hypnotizedApe,27822,0.008833264278808834
25,NFTLlama,178850,0.056783456123390114
26,JRNYcrypto,821260,0.2607435346709274
27,ZssBecker,825577,0.2621141479227288
28,SpencerCUH,152268,0.048343882007248346
29,Archemist23NFT,7581,0.002406907357402407
30,BattleguruNFT,6283,0.0019948026548686614
31,cbassg16,90448,0.028716522445895384
32,Zeneca_33,277875,0.08822310802508822
33,squidNFT,34121,0.010833146806744166
34,elliotrades,732256,0.23248547076929915
35,PopeyesNFTs,161755,0.05135592924371802
36,JamesCiesluk,5603,0.0017789080495351122
37,AmeerHussainn,336446,0.10681893586184016
38,KevinSusanto,246864,0.07837736154567838
39,DonteCrypto,189976,0.06031587285712698
40,JuJulikesnfts,87545,0.027794842976361128
41,Chewtoro,93623,0.02972455975756306
42,DCLBlogger,222706,0.07070738819913737
43,tropoFarmer,159891,0.050764124031450766
44,sxtvik,16355,0.005192582750338526
45,andr3w,174061,0.05526298661612193
46,DeezeFi,224555,0.07129443103040463
47,fvckrender,174763,0.055485866046922155
48,garyvee,3149685,1.0
49,Luke360,47083,0.014948478974881616
50,iamDCinvestor,198567,0.06304344720186304
51,BAYC2745,157056,0.04986403402244986
