,Project Name,Twitter,Opensea Link,Launch Date
0,mutantmoonrunners,,https://opensea.io/collection/mutantmoonrunners,6/28/2022
1,moonswingers,Moonswingers,https://opensea.io/collection/moonswingers,6/28/2022
2,dawnscratchers,dawn_scratchers,https://opensea.io/collection/dawnscratchers,6/28/2022
3,degentown-official,,https://opensea.io/collection/degentown-official,6/28/2022
4,the-damiens,,https://opensea.io/collection/the-damiens,6/27/2022
5,crikit-social,Crikit_nft,https://opensea.io/collection/crikit-social,6/27/2022
6,keungznft,,https://opensea.io/collection/keungznft,6/27/2022
7,forgott3n-worlds-v2,,https://opensea.io/collection/forgott3n-worlds-v2,6/27/2022
8,noazukinoape,,https://opensea.io/collection/noazukinoape,6/27/2022
9,aibonzai,,https://opensea.io/collection/aibonzai,6/27/2022
10,diamondhandsdao,diahandsdao,https://opensea.io/collection/diamondhandsdao,6/27/2022
11,mementomoriofficial,,https://opensea.io/collection/mementomoriofficial,6/27/2022
12,moonpepes,crevthor,https://opensea.io/collection/moonpepes,6/27/2022
13,masked-mvmnt,,https://opensea.io/collection/masked-mvmnt,6/27/2022
14,gothic-goofy-gorillas-v2,,https://opensea.io/collection/gothic-goofy-gorillas-v2,6/27/2022
15,mootators,,https://opensea.io/collection/mootators,6/27/2022
16,mighty-pigs,,https://opensea.io/collection/mighty-pigs,6/27/2022
17,grinners-lol,grinners_lol,https://opensea.io/collection/grinners-lol,6/27/2022
18,bapesfuture,bapesclan,https://opensea.io/collection/bapesfuture,6/27/2022
19,picassol,,https://opensea.io/collection/picassol,6/27/2022
20,bad-pandas-v2,BadPandasNFT,https://opensea.io/collection/bad-pandas-v2,6/27/2022
21,find-your-lostbody,,https://opensea.io/collection/find-your-lostbody,6/27/2022
22,poop-pass,PoopPassNFT,https://opensea.io/collection/poop-pass,6/27/2022
23,macysfireworksarartmask,,https://opensea.io/collection/macysfireworksarartmask,6/27/2022
24,soldevils,,https://opensea.io/collection/soldevils,6/27/2022
25,littlelate,,https://opensea.io/collection/littlelate,6/27/2022
26,shadow-lords,,https://opensea.io/collection/shadow-lords,6/27/2022
27,fugly-fellas,fuglyfellas,https://opensea.io/collection/fugly-fellas,6/27/2022
28,chief-rizard,,https://opensea.io/collection/chief-rizard,6/27/2022
29,ikusa-nftofficial,IkusaNFT,https://opensea.io/collection/ikusa-nftofficial,6/27/2022
30,mrfoxreligion,mrfoxnft,https://opensea.io/collection/mrfoxreligion,6/27/2022
31,celephais-dreamers,CelephaisNFT,https://opensea.io/collection/celephais-dreamers,6/27/2022
32,hnomics-membership,Hnomics1,https://opensea.io/collection/hnomics-membership,6/27/2022
33,smile-miya-club-smile-club-payback-box,,https://opensea.io/collection/smile-miya-club-smile-club-payback-box,6/27/2022
34,dumb-blobs,,https://opensea.io/collection/dumb-blobs,6/27/2022
35,city-cats-solana,,https://opensea.io/collection/city-cats-solana,6/27/2022
36,artnftgenerator,,https://opensea.io/collection/artnftgenerator,6/27/2022
37,chibi-girls-ninjas,,https://opensea.io/collection/chibi-girls-ninjas,6/27/2022
38,sukon,,https://opensea.io/collection/sukon,6/27/2022
39,strangerdao,,https://opensea.io/collection/strangerdao,6/27/2022
40,sacrifice-us,,https://opensea.io/collection/sacrifice-us,6/27/2022
41,lil-ghost-generation-2,,https://opensea.io/collection/lil-ghost-generation-2,6/27/2022
42,samurai-akane-yin,,https://opensea.io/collection/samurai-akane-yin,6/27/2022
43,do-not-trust-the-team,revealtomorrow,https://opensea.io/collection/do-not-trust-the-team,6/27/2022
44,astro-baby-pups-v2,,https://opensea.io/collection/astro-baby-pups-v2,6/27/2022
45,landbits,,https://opensea.io/collection/landbits,6/27/2022
46,its-not-what-it-looks-like,INWILLNFT,https://opensea.io/collection/its-not-what-it-looks-like,7/7/2022
47,0xlady,0xlady_NFT,https://opensea.io/collection/0xlady,7/7/2022
48,schoblinscitizens,schoblins,https://opensea.io/collection/schoblinscitizens,7/7/2022
49,not-alone11,n0tAlone__,https://opensea.io/collection/not-alone11,7/7/2022
50,chubbylittlejiras,ChubbyJiras,https://opensea.io/collection/chubbylittlejiras,7/6/2022
51,moondust-official,NFTMoondust,https://opensea.io/collection/moondust-official,7/6/2022
52,mrb-v3,,https://opensea.io/collection/mrb-v3,7/6/2022
53,gawdh8snfteess,pabloslol,https://opensea.io/collection/gawdh8snfteess,7/6/2022
54,gawdh8snftees,,https://opensea.io/collection/gawdh8snftees,7/6/2022
55,oyabungenesis,,https://opensea.io/collection/oyabungenesis,7/6/2022
56,project-zenogakki-v2-2,,https://opensea.io/collection/project-zenogakki-v2-2,7/6/2022
57,pawnbots,PawnBots,https://opensea.io/collection/pawnbots,7/6/2022
58,goats4life,,https://opensea.io/collection/goats4life,7/6/2022
59,gyangu-official,GyanguNft,https://opensea.io/collection/gyangu-official,7/6/2022
60,confessions-from-the-hart-genesis-collection,,https://opensea.io/collection/confessions-from-the-hart-genesis-collection,7/6/2022
61,ravens-nft,rvnsnft,https://opensea.io/collection/ravens-nft,7/6/2022
62,cybernetic-punks,cyberneticpunk_,https://opensea.io/collection/cybernetic-punks,7/6/2022
63,itsuki-v2,ItsukiNFT,https://opensea.io/collection/itsuki-v2,7/6/2022
64,fukeverything,fukevrythingnft,https://opensea.io/collection/fukeverything,7/6/2022
65,codex-of-evil,,https://opensea.io/collection/codex-of-evil,7/6/2022
66,working-class-degens,wcdnft,https://opensea.io/collection/working-class-degens,7/6/2022
67,wow-capacitors,,https://opensea.io/collection/wow-capacitors,7/6/2022
68,yomazuka-family-v2,,https://opensea.io/collection/yomazuka-family-v2,7/6/2022
69,wazzzup-wtf,Wazzzup_wtf,https://opensea.io/collection/wazzzup-wtf,7/6/2022
70,yetifam,YetiFam,https://opensea.io/collection/yetifam,7/6/2022
71,genesis-kiyoko-v2,,https://opensea.io/collection/genesis-kiyoko-v2,7/6/2022
72,moonordietrying,MoonOrDieTrying,https://opensea.io/collection/moonordietrying,7/6/2022
73,art-of-war-v4,,https://opensea.io/collection/art-of-war-v4,7/6/2022
74,cyber-degens,,https://opensea.io/collection/cyber-degens,7/6/2022
75,actualmoonbirbz,Moonbirbz,https://opensea.io/collection/actualmoonbirbz,7/6/2022
76,two-piece-manga,,https://opensea.io/collection/two-piece-manga,7/6/2022
77,trialseth,trials_eth,https://opensea.io/collection/trialseth,7/6/2022
78,fuckies,FuckiesNFT,https://opensea.io/collection/fuckies,7/6/2022
79,fingsdao,,https://opensea.io/collection/fingsdao,7/6/2022
80,monstercavewtf,monstercave_wtf,https://opensea.io/collection/monstercavewtf,7/6/2022
81,denzaworld,denzadol,https://opensea.io/collection/denzaworld,7/5/2022
82,art-of-war-v3,,https://opensea.io/collection/art-of-war-v3,7/5/2022
83,perfidious,PerfidiousNFT,https://opensea.io/collection/perfidious,7/5/2022
84,championsascensionpet,,https://opensea.io/collection/championsascensionpet,7/5/2022
85,dirtbirdswtf,Dirt_Birds_NFT,https://opensea.io/collection/dirtbirdswtf,7/5/2022
86,degen-legion,DegenlegionNFT,https://opensea.io/collection/degen-legion,7/5/2022
87,dragoonsm,,https://opensea.io/collection/dragoonsm,7/5/2022
