Project name,Twitter Handle,Discord Link,Locked/Closed,Mint Date (WL),Mint Time EST,Mint_Price_ETH,Dutch_Price_If_Dutch,Supply,Floor Price 24 Hours after Mint Date,Average Floor Price 24 Hours,Peak FP 1 week after Launch,Discord_Server_ID,Discord_Channel_ID_1 (GENERAL CHAT),Discord_Channel_ID_2,Discord_Channel_ID_3,Type of Utility,Type of Art,Comments
Phantom Network,https://twitter.com/projectPXN,,Open,5/4/2022,10:00 PM,2,,10000,1.5,2.83,4.13,917753643825000448,922707622426202152,922707622426202152,922707622426202152,,,
Kumaverse,https://twitter.com/KumaverseNFT,,Open,5/5/2022,12:00 AM,0.05,,2000,0.07,0.114,0.282,939038386142986330,950036346435678249,971961332599508993,,,,
YOOMOOTA,https://twitter.com/YOOMOOTA,,Open,5/5/2022,10:00 AM,0.05,,7777,0.05,0.056,0.095,925008055224115280,955869620831649832,,,,,
NFT Worlds Avatar,https://twitter.com/nftworldsNFT,,Open,5/5/2022,8:00 PM,1,0.4,15000,0.61,0.684,0.689,889939924655169616,889946871475372083,927583423525187664,964312742867664896,,,
MindBlowon Universe,https://twitter.com/MindblowonNFT,,Open,5/6/2022,9:00 AM,0.69,0.169,6969,0.625,0.737,0.85,934262575800135740,952938756300738590,,,,,
IVY x BBRC,https://twitter.com/BBRCOfficial,,Open,5/10/2022,5:00 AM,0.12,,7777,0.146,0.156,0.34,960431964471574578,960438835391647804,962757896947519499,963108217217499237,,,
HOAP (HellofaParty),https://twitter.com/hellofapartynft,https://discord.gg/hellofaparty,Open,5/18/2022,1:00 AM,0.001,,3690,0.05,0.063,0.074,941630192944832532,941642999346130985,959182040081784832,941643490553659473,,,
Ragnarok,https://twitter.com/EndofDays_NFT,http://discord.gg/endofdays,Open,5/19/2022,1:39 AM,0.075,,4096,,,,930884626912776224,930884626912776227,,,,,
Money Bags,https://twitter.com/MoneyBagsNFT,https://discord.gg/moneybags,Open,5/19/2022,5:00 AM,0.1,,5555,0.097,0.099,0.126,948440174008860682,948447008534954016,950947065691779133,,,,
Shamanzs,https://twitter.com/shamanzs,,Closed,5/19/2022,8:00 AM,0.1,,10000,0.074,0.1,0.1,942440521102688306,945287200147374090,,,,,
Onryo888,https://twitter.com/888_onryo,discord.gg/888-onryo,Open,5/19/2022,5:00 PM,0.088,,888,0.021,0.026,0.06,949535751673085953,958623859148480532,,,,,
Sixth Reseau Lost Identities,https://twitter.com/SixthReseau,http://discord.gg/reseau,Open,5/19/2022,11:00 PM,0.16,,7777,0.118,0.127,0.199,892713147373350943,898619614026661898,,,,,
METAVOLUTION,https://twitter.com/MetaVolutionNFT,https://discord.com/invite/MetaVolution,Open,5/20/2022,3:00 AM,0.1,,8778,0.1,0.109,0.12,927568186977706044,927939794514870273,,,,,
ColliderCraftworks,https://twitter.com/ColliderCraft,,Closed,5/20/2022,8:00 PM,0.5,,,0.4,0.539,0.55,,,,,,,
Chimpers,https://twitter.com/ChimpersNFT,https://discord.gg/chimpers,Locked,5/21/2022,2:00 AM,0.07,,5555,2.4,2.87,2.8,722830794401513482,960018874621890643,,,,,
ColorMonsters,https://twitter.com/colormonsterNFT,https://discord.gg/colormonsters,Open,5/21/2022,8:00 AM,0.055,,5555,0.1,0.105,0.1,914659375241646120,914668013129715753,,,,,
Demonica,https://twitter.com/DemonicaNFT,https://discord.gg/demonica,Open,5/21/2022,10:00 PM,0.05,,15000,0.039,0.041,0.054,946117923213295636,977588539078365234,,,,,
Flower Fam,https://twitter.com/FlowerFamNFT,,Closed,5/22/2022,1:00 AM,0.069,,6969,0.073,0.079,0.1,,,,,,,
World of Irukandji,https://twitter.com/irukandjiworld,https://discord.gg/irukandjiworld,Open,5/23/2022,10:00 PM,0.088,,,0.088,0.11,0.097,939475379595391008,942821995232501832,,,,,
Jungle Freaks Fallout Freaks,https://twitter.com/junglefreaksnft,https://discord.gg/6j3dv8vA,Open,5/26/2022,10:00 PM,0.13,,"10,000",0.127,0.135,,876214810612731945,906306775689596958,,,,,
Mr. Bean & Fomo Lab,https://twitter.com/fomo_lab,https://t.co/F8qMj7NLLk,Open,5/26/2022,8:00 AM,0.1,,3333,0.11,0.11,,951148050196344852,975174320559095898,,,,,
Third Eye Club,https://twitter.com/thirdeyeclubnft,discord.gg/thirdeyeclub,Open,5/27/2022,10:00 AM,0.08,,9333,0.065,0.076,,909133380967338044,912084951854354482,,,,,
Parrots Of The Caribbean,https://twitter.com/parrotscaribnft,https://t.co/itmllhr8wu,Open,5/27/2022,11:00 AM,0.1,,555,0.02,0.045,,918668276245078026,919338670618734683,,,,,
tigerbob by gossamer rozen,https://twitter.com/tigerbobNFT,https://discord.gg/tigerbob,Locked,5/28/2022,12:00 PM,0.25,,1000,2.1,2.31,,874372776004317204,,,,,,
CyberZillaz,https://twitter.com/CyberZillaz,https://t.co/H9CAqdQRuq,Open,6/25/2022,12:00 PM,,,2222,,,,940638224789946369,940639529407250482,,,,,
NFT Sensei,https://twitter.com/nftsenseixyz,https://discord.gg/nftsensei,Open,6/12/2022,7:00 AM,1.25,,1559,,,,945855584702451732,945877189847564341,,,,,
Wonder Secret Club,https://twitter.com/WSecretClub_nft,https://t.co/rBzpXvV9oK,Open,6/13/2022,5:00 AM,0.059,,5555,,,,950656166227214337,,,,,,
Culture Cubs NFT,https://twitter.com/snobietyclub,https://discord.gg/snobiety,Open,6/13/2022,9:00 PM,0.13,,6666,,,,927617441834623046,927621539917078530,,,,,
Triple Six  ,https://twitter.com/ascensiont6,https://discord.gg/triplesixjewels,Open,6/14/2022,3:00 AM,0.055,,6666,,,,874321918344437771,874321919342706712,,,,,
Sketches,https://twitter.com/TheSketches_NFT,https://discord.gg/sketches,Open,6/14/2022,9:00 PM,0.001,,5000,,,,973015352877408317,973026027351736360,,,,,
Defi Frens,https://twitter.com/defi_frens,https://discord.gg/defifrens,Open,6/15/2022,6:00 AM,0.069,,5555,,,,934933084451770428,934933085068361760,,,,,
Anero,https://twitter.com/aneroverse,https://discord.gg/anero,Open,6/15/2022,11:00 AM,0.09,,7777,,,,942963727521689671,943030525516455956,,,,,
FlickyGang,https://twitter.com/flickplayapp,https://discord.gg/flickplay,Open,6/16/2022,1:00 AM,0.07,,5555,,,,846796350242947144,846797213271195708,,,,,
BubbleWorld,https://twitter.com/TheBubblewrld,https://discord.com/invite/bubbleworld,Open,6/17/2022,6:00 AM,0.18,,10000,,,,943593207323848774,943593207999119435,,,,,
BoardGamers  ,https://twitter.com/BoardGamersNFT,https://discord.gg/85PvcYbxZr,Open,6/18/2022,8:00 PM,0.06,,3333,,,,940991395521515600,940991395521515602,,,,,
Senshi,https://twitter.com/SenshiiNFT,https://discord.gg/Senshi,Open,6/18/2022,10:00 PM,0.001,,5555,,,,946086048973344768,983492099838214214,,,,,
Sneaker Heads,https://twitter.com/sneakerheadsoff,http://discord.gg/sneakerheads,Open,6/19/2022,2:00 AM,0.25,,5000,,,,945830718003638353,945830719027032102,,,,,
MoonStrike,https://twitter.com/moonstrikenft,https://discord.gg/moonstrike,Open,6/23/2022,3:00 PM,0.15,,5555,,,,939433851476918332,939435666759118848,,,,,
