,nft_name,influencer_name,is_influencer_following
0,SOVillains,BentoBoiNFT,False
1,SOVillains,TheShamdoo,False
2,SOVillains,dingalingts,True
3,SOVillains,champtgram,True
4,SOVillains,CryptoGorillaYT,True
5,SOVillains,nftpasta,True
6,SOVillains,MattCobuzio,True
7,SOVillains,mulligan,False
8,SOVillains,Crypt0Emma,False
9,SOVillains,SkiddilyNFT,True
10,SOVillains,NFTverse_,False
11,SOVillains,NickyGee44,True
12,SOVillains,allnick,False
13,SOVillains,Cameron_singh17,False
14,SOVillains,maxnaut,False
15,SOVillains,LilMoonLambo,False
16,SOVillains,SajadNFT,False
17,SOVillains,ashrobinqt,False
18,SOVillains,Dario_Desiena,False
19,SOVillains,SneakyninjaNFTs,False
20,SOVillains,KosherPlug,False
21,SOVillains,thebrettway,False
22,SOVillains,OttoSuwenNFT,False
23,SOVillains,OttoSuwenNFT,False
24,SOVillains,itstylersays,False
25,SOVillains,hypnotizedApe,False
26,SOVillains,NFTLlama,False
27,SOVillains,JRNYcrypto,False
28,SOVillains,ZssBecker,False
29,SOVillains,SpencerCUH,False
30,SOVillains,Archemist23NFT,True
31,SOVillains,BattleguruNFT,False
32,SOVillains,cbassg16,False
33,SOVillains,Zeneca_33,False
34,SOVillains,squidNFT,False
35,SOVillains,elliotrades,False
36,SOVillains,PopeyesNFTs,False
37,SOVillains,JamesCiesluk,True
38,SOVillains,AmeerHussainn,False
39,SOVillains,KevinSusanto,False
40,SOVillains,DonteCrypto,False
41,SOVillains,JuJulikesnfts,True
42,SOVillains,Chewtoro,True
43,SOVillains,DCLBlogger,False
44,SOVillains,tropoFarmer,False
45,SOVillains,sxtvik,False
46,SOVillains,andr3w,False
47,SOVillains,DeezeFi,False
48,SOVillains,fvckrender,False
49,SOVillains,garyvee,False
50,SOVillains,Luke360,False
51,SOVillains,iamDCinvestor,False
