screen_name,id,followers_count,following_count,my_retweets,rt_retweets,my_replies,rt_replies,my_likes,rt_likes,my_hrs_between,rt_hrs_between,total_influencer_following,regularized_influencer_following,collection_date,discord_member_count,online_right_now,online_to_members_ratio,average_minutes_between_general_chat,MAOne,MAThree,MAFive,MAWeek
YOOMOOTA,1.48E+18,63396,35,30220,46488,12333,12585,67552,70066,12.54756809,6.201394231,4,0.102436593,11:45.7,33885,4492,0.132566032,6.580325589,2841.787396,2832.912153,2817.989208,2840.043452
MindblowonNFT,1.48E+18,291261,69,286965,748328,285234,291345,472880,495494,6.370898235,2.774973994,21,0.986211002,29:40.5,75575,9067,0.119973536,5.307497306,2854.127812,2836.010799,2819.923083,2840.616324
BBRCOfficial,1.51E+18,267837,10,219157,651720,211733,213526,293695,302230,4.470905797,1.832175204,17,0.654639115,29:51.3,100239,12547,0.125170842,88.26324832,2908.183333,2848.834861,2829.161125,2842.836667
KumaverseNFT,927441991,13908,1256,6874,123088,5172,5272,9630,10327,263.3305825,76.11171806,0,0,30:02.3,7356,1079,0.14668298,1.005619192,2888.995521,2850.086667,2830.074812,2836.72692
nftworldsNFT,1.44E+18,147471,412,108692,161116,86067,86476,238348,244779,9.969725569,4.964926944,14,0.713425311,59:03.4,84970,10832,0.127480287,4.870364478,2781.656563,2830.768646,2826.687875,2822.305223
projectPXN,1.47E+18,436230,9,535410,1157746,311269,347878,708161,834546,30.1079621,14.91459234,29,1.526546305,07:04.8,33186,8872,0.26734165,1695.241574,2354.597292,2512.803437,2609.652229,2677.730119
hellofapartynft,1.49E+18,67863,5,60457,67821,50064,50400,91810,96287,19.74346651,14.85848511,11,0.587304445,31:02.9,23964,5204,0.217159072,0.038310438,2069.016354,2055.914688,2051.461542,2065.764658
EndofDays_NFT,1.48E+18,17016,51,8386,14852,6204,6289,9258,9558,32.28748538,18.58976431,1,0.069886354,15:38.4,7801,1567,0.200871683,0.138571549,1994.741771,2031.887431,2035.806396,2026.796801
SixthReseau,4615163193,201123,43,356094,478416,310397,320555,391970,420524,11.42909779,2.816938889,13,0.650895883,29:56.1,106884,11584,0.108379177,0.152854545,1978.697292,2025.20566,2032.788,2025.806488
888_onryo,1.50E+18,25823,54,32509,53634,30993,31163,35604,36389,26.08110215,11.70151017,5,0.298022183,44:29.4,4393,1079,0.245618029,1.869789899,1968.451146,2022.02875,2030.763,2027.928735
MoneyBagsNFT,1.50E+18,32172,3,27730,28154,32164,32832,41795,45857,20.81321296,4.813792776,4,0.139690159,04:13.5,10483,2700,0.257559859,0.813741414,1954.734479,2015.628785,2028.790667,2029.24744
shamanzs,1.47E+18,119996,18,133839,137924,117232,120318,237208,259026,13.97917722,4.426547778,12,0.466247895,04:52.2,,,,,1965.774896,2013.760243,2028.347604,2032.106845
ColliderCraft,1.47E+18,153616,40,55434,63902,62456,68982,85776,108389,28.34377137,5.531165972,16,0.953566785,02:39.7,,,,,1981.588437,2012.964688,2027.646583,2032.448125
MetaVolutionNFT,1.48E+18,60874,88,19502,73380,15443,16050,22468,24647,18.16240063,6.894985425,1,0.031417745,53:01.9,12534,2915,0.232567417,4.125356566,2005.745833,1997.007604,2020.519313,2023.972158
colormonsterNFT,1.45E+18,15683,90,24566,26468,24441,24819,37145,38448,7.159584106,4.700384693,4,0.083267057,53:12.1,6735,1666,0.247364514,3.521140909,1992.223854,1987.085382,2012.346938,2020.820833
ChimpersNFT,1.48E+18,93839,5,26931,34757,25096,25938,72140,81004,15.79500652,4.970056539,23,0.97137555,53:26.0,46259,9227,0.199463888,,1978.135313,1980.749549,2007.97675,2018.230357
DemonicaNFT,1.49E+18,36485,7,41776,43058,17090,17928,95104,101177,23.69934886,13.11928241,5,0.160814177,49:02.1,30893,6768,0.219078756,0.220195286,1967.717292,1977.651007,2002.389313,2016.087902
FlowerFamNFT,1.50E+18,157664,2,59495,69663,55381,57585,111650,117352,9.970096618,1.376587222,7,0.235854379,50:09.8,,,,,1969.170938,1979.308299,2000.927979,2014.766801
irukandjiworld,1.49E+18,46253,12,43645,141188,40731,41173,82712,84786,6.888169599,4.286251521,1,0.098085047,09:49.8,15898,1680,0.10567367,1.696201852,2042.969375,2001.925903,1994.202688,2007.143854
junglefreaksnft,295296834,109315,2361,20158,46891,10750,11026,43890,48959,6.95347028,2.037819167,7,0.448938227,10:04.6,25883,3245,0.125371866,0.137076431,1880.763229,1940.319028,1971.8035,1975.493899
fomo_lab,1.38E+18,67876,527,6816,32647,5248,5512,12148,14024,6.414209877,1.446616944,4,0.111562902,10:15.3,43299,4522,0.104436592,1.323684343,1952.564375,1980.663646,1987.394937,1987.25317
thirdeyeclubnft,1.47E+18,113089,2,60324,60839,45129,45275,143767,144836,21.57920479,14.11042023,14,0.581160021,24:38.4,20585,5367,0.260723828,1.724175253,1804.345,1905.647604,1951.153958,1957.610536
parrotscaribnft,1.47E+18,17442,4,4176,43242,3910,3921,5359,5404,28.90164141,8.177245964,1,0.004041357,24:51.9,2354,598,0.254035684,2.408951852,1801.712708,1902.777882,1948.968104,1955.975536
tigerbobNFT,1.47E+18,145305,97,3539,23883,2957,5064,21795,35546,11.70804815,0.901335278,10,1.317835911,25:04.3,27917,4404,0.15775334,,1754.628021,1828.415938,1891.441354,1924.074241
,,,,,,,,,,,,,,,,,,,,,,
