,nft_name,influencer_name,is_influencer_following
0,WabiSabiNFT,BentoBoiNFT,False
1,WabiSabiNFT,TheShamdoo,False
2,WabiSabiNFT,dingalingts,False
3,WabiSabiNFT,champtgram,False
4,WabiSabiNFT,CryptoGorillaYT,True
5,WabiSabiNFT,nftpasta,True
6,WabiSabiNFT,MattCobuzio,False
7,WabiSabiNFT,mulligan,False
8,WabiSabiNFT,Crypt0Emma,True
9,WabiSabiNFT,SkiddilyNFT,True
10,WabiSabiNFT,NFTverse_,False
11,WabiSabiNFT,NickyGee44,False
12,WabiSabiNFT,allnick,False
13,WabiSabiNFT,Cameron_singh17,False
14,WabiSabiNFT,maxnaut,False
15,WabiSabiNFT,LilMoonLambo,False
16,WabiSabiNFT,SajadNFT,False
17,WabiSabiNFT,ashrobinqt,False
18,WabiSabiNFT,Dario_Desiena,False
19,WabiSabiNFT,SneakyninjaNFTs,False
20,WabiSabiNFT,KosherPlug,True
21,WabiSabiNFT,thebrettway,False
22,WabiSabiNFT,OttoSuwenNFT,False
23,WabiSabiNFT,OttoSuwenNFT,False
24,WabiSabiNFT,itstylersays,False
25,WabiSabiNFT,hypnotizedApe,False
26,WabiSabiNFT,NFTLlama,False
27,WabiSabiNFT,JRNYcrypto,False
28,WabiSabiNFT,ZssBecker,False
29,WabiSabiNFT,SpencerCUH,False
30,WabiSabiNFT,Archemist23NFT,False
31,WabiSabiNFT,BattleguruNFT,False
32,WabiSabiNFT,cbassg16,False
33,WabiSabiNFT,Zeneca_33,False
34,WabiSabiNFT,squidNFT,False
35,WabiSabiNFT,elliotrades,False
36,WabiSabiNFT,PopeyesNFTs,False
37,WabiSabiNFT,JamesCiesluk,False
38,WabiSabiNFT,AmeerHussainn,False
39,WabiSabiNFT,KevinSusanto,False
40,WabiSabiNFT,DonteCrypto,False
41,WabiSabiNFT,JuJulikesnfts,False
42,WabiSabiNFT,Chewtoro,False
43,WabiSabiNFT,DCLBlogger,False
44,WabiSabiNFT,tropoFarmer,False
45,WabiSabiNFT,sxtvik,False
46,WabiSabiNFT,andr3w,False
47,WabiSabiNFT,DeezeFi,False
48,WabiSabiNFT,fvckrender,False
49,WabiSabiNFT,garyvee,False
50,WabiSabiNFT,Luke360,False
51,WabiSabiNFT,iamDCinvestor,False
