,nft_name,influencer_name,is_influencer_following
0,WonderPals,BentoBoiNFT,False
1,WonderPals,TheShamdoo,True
2,WonderPals,dingalingts,True
3,WonderPals,champtgram,True
4,WonderPals,CryptoGorillaYT,True
5,WonderPals,nftpasta,True
6,WonderPals,MattCobuzio,True
7,WonderPals,mulligan,True
8,WonderPals,Crypt0Emma,False
9,WonderPals,SkiddilyNFT,False
10,WonderPals,NFTverse_,True
11,WonderPals,NickyGee44,False
12,WonderPals,allnick,False
13,WonderPals,Cameron_singh17,True
14,WonderPals,maxnaut,True
15,WonderPals,LilMoonLambo,False
16,WonderPals,SajadNFT,False
17,WonderPals,ashrobinqt,True
18,WonderPals,Dario_Desiena,False
19,WonderPals,SneakyninjaNFTs,False
20,WonderPals,KosherPlug,True
21,WonderPals,thebrettway,False
22,WonderPals,OttoSuwenNFT,True
23,WonderPals,OttoSuwenNFT,True
24,WonderPals,itstylersays,False
25,WonderPals,hypnotizedApe,False
26,WonderPals,NFTLlama,False
27,WonderPals,JRNYcrypto,False
28,WonderPals,ZssBecker,False
29,WonderPals,SpencerCUH,False
30,WonderPals,Archemist23NFT,True
31,WonderPals,BattleguruNFT,False
32,WonderPals,cbassg16,False
33,WonderPals,Zeneca_33,True
34,WonderPals,squidNFT,False
35,WonderPals,elliotrades,False
36,WonderPals,PopeyesNFTs,False
37,WonderPals,JamesCiesluk,True
38,WonderPals,AmeerHussainn,False
39,WonderPals,KevinSusanto,False
40,WonderPals,DonteCrypto,False
41,WonderPals,JuJulikesnfts,True
42,WonderPals,Chewtoro,True
43,WonderPals,DCLBlogger,False
44,WonderPals,tropoFarmer,False
45,WonderPals,sxtvik,False
46,WonderPals,andr3w,True
47,WonderPals,DeezeFi,False
48,WonderPals,fvckrender,False
49,WonderPals,garyvee,False
50,WonderPals,Luke360,False
51,WonderPals,iamDCinvestor,False
