,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1506307063433109508,2022-03-22 16:29:24+00:00,True,@rabois Was standing up here the other day visiting Atomic! Great view. Congrats!,1,5,35,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'rabois', 'id': '20263710'}]}"
1,1506049889318363137,2022-03-21 23:27:29+00:00,True,@CinderingRB I care!,1,2,28,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'CinderingRB', 'id': '1692478783'}]}"
2,1506048107284516864,2022-03-21 23:20:24+00:00,True,@rabois Will be there soon 🤠,1,3,31,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'rabois', 'id': '20263710'}]}"
3,1501935617764040710,2022-03-10 14:58:50+00:00,True,@lexfridman Midnight in Paris-esque!,0,1,31,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'lexfridman', 'id': '427089628'}], 'annotations': [{'start': 24, 'end': 28, 'probability': 0.9569, 'type': 'Place', 'normalized_text': 'Paris'}]}"
4,1501757658877071363,2022-03-10 03:11:41+00:00,True,@ericzona_ @asimo3089 i dont like step 5,1,2,47,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'ericzona_', 'id': '1449822409'}, {'start': 11, 'end': 21, 'username': 'asimo3089', 'id': '204563745'}]}"
5,1501757465934893056,2022-03-10 03:10:55+00:00,True,@KreekCraft @asimo3089 We’re saved,10,14,305,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'KreekCraft', 'id': '3025674465'}, {'start': 12, 'end': 22, 'username': 'asimo3089', 'id': '204563745'}]}"
6,1501653692394741760,2022-03-09 20:18:34+00:00,True,@jjanezhang 👏👏,1,1,18,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'jjanezhang', 'id': '3484227312'}]}"
7,1500345993442775041,2022-03-06 05:42:14+00:00,True,@BoatbomberRBLX @Anareloux @Roblox_Omar @asimo3089 LOL,1,1,41,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'BoatbomberRBLX', 'id': '720744060164685824'}, {'start': 16, 'end': 26, 'username': 'Anareloux', 'id': '978406307047837701'}, {'start': 27, 'end': 39, 'username': 'Roblox_Omar', 'id': '1909900591'}, {'start': 40, 'end': 50, 'username': 'asimo3089', 'id': '204563745'}]}"
8,1494195794039169026,2022-02-17 06:23:32+00:00,True,@asimo3089 @murjarquitecto @BuildIntoTrains 👏,4,12,226,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'asimo3089', 'id': '204563745'}, {'start': 11, 'end': 26, 'username': 'murjarquitecto', 'id': '1243672095101509638'}, {'start': 27, 'end': 43, 'username': 'BuildIntoTrains', 'id': '1411445234'}]}"
9,1494100678029029378,2022-02-17 00:05:35+00:00,True,"@maplestick1 OOPS sorry haha, I saw your name on leaderboard but was very distracted. Play again soon 🤩",1,3,70,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'maplestick1', 'id': '2725844275'}]}"
10,1494095686815690753,2022-02-16 23:45:45+00:00,True,@maplestick1 !?!?,1,5,72,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'maplestick1', 'id': '2725844275'}]}"
11,1493003693570072579,2022-02-13 23:26:33+00:00,True,@Dued1_Roblox 🔥 cleannn,1,2,112,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'Dued1_Roblox', 'id': '2924688458'}]}"
12,1492557713401946116,2022-02-12 17:54:23+00:00,True,@Abstract_Alex So cool!!,1,3,41,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Abstract_Alex', 'id': '2909751547'}]}"
13,1492360445197524995,2022-02-12 04:50:31+00:00,True,@Porda1105 @asimo3089 it's my hog friend!,1,6,33,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Porda1105', 'id': '1463970921396387840'}, {'start': 11, 'end': 21, 'username': 'asimo3089', 'id': '204563745'}]}"
