,nft_name,influencer_name,is_influencer_following
0,iamchillpill,BentoBoiNFT,True
1,iamchillpill,TheShamdoo,False
2,iamchillpill,dingalingts,False
3,iamchillpill,champtgram,False
4,iamchillpill,CryptoGorillaYT,True
5,iamchillpill,nftpasta,True
6,iamchillpill,MattCobuzio,False
7,iamchillpill,mulligan,False
8,iamchillpill,Crypt0Emma,True
9,iamchillpill,SkiddilyNFT,True
10,iamchillpill,NFTverse_,False
11,iamchillpill,NickyGee44,False
12,iamchillpill,allnick,False
13,iamchillpill,Cameron_singh17,False
14,iamchillpill,maxnaut,False
15,iamchillpill,LilMoonLambo,False
16,iamchillpill,SajadNFT,False
17,iamchillpill,ashrobinqt,False
18,iamchillpill,Dario_Desiena,False
19,iamchillpill,SneakyninjaNFTs,False
20,iamchillpill,KosherPlug,False
21,iamchillpill,thebrettway,False
22,iamchillpill,OttoSuwenNFT,False
23,iamchillpill,OttoSuwenNFT,False
24,iamchillpill,itstylersays,False
25,iamchillpill,hypnotizedApe,False
26,iamchillpill,NFTLlama,True
27,iamchillpill,JRNYcrypto,False
28,iamchillpill,ZssBecker,False
29,iamchillpill,SpencerCUH,False
30,iamchillpill,Archemist23NFT,True
31,iamchillpill,BattleguruNFT,False
32,iamchillpill,cbassg16,False
33,iamchillpill,Zeneca_33,False
34,iamchillpill,squidNFT,False
35,iamchillpill,elliotrades,False
36,iamchillpill,PopeyesNFTs,True
37,iamchillpill,JamesCiesluk,False
38,iamchillpill,AmeerHussainn,False
39,iamchillpill,KevinSusanto,False
40,iamchillpill,DonteCrypto,False
41,iamchillpill,JuJulikesnfts,False
42,iamchillpill,Chewtoro,True
43,iamchillpill,DCLBlogger,False
44,iamchillpill,tropoFarmer,True
45,iamchillpill,sxtvik,False
46,iamchillpill,andr3w,True
47,iamchillpill,DeezeFi,True
48,iamchillpill,fvckrender,False
49,iamchillpill,garyvee,False
50,iamchillpill,Luke360,False
51,iamchillpill,iamDCinvestor,False
