,nft_name,influencer_name,is_influencer_following
0,3landersNFT,BentoBoiNFT,False
1,3landersNFT,TheShamdoo,True
2,3landersNFT,dingalingts,True
3,3landersNFT,champtgram,False
4,3landersNFT,CryptoGorillaYT,True
5,3landersNFT,nftpasta,True
6,3landersNFT,MattCobuzio,False
7,3landersNFT,mulligan,False
8,3landersNFT,Crypt0Emma,False
9,3landersNFT,SkiddilyNFT,True
10,3landersNFT,NFTverse_,True
11,3landersNFT,NickyGee44,False
12,3landersNFT,allnick,True
13,3landersNFT,Cameron_singh17,True
14,3landersNFT,maxnaut,True
15,3landersNFT,LilMoonLambo,False
16,3landersNFT,SajadNFT,False
17,3landersNFT,ashrobinqt,True
18,3landersNFT,Dario_Desiena,False
19,3landersNFT,SneakyninjaNFTs,False
20,3landersNFT,KosherPlug,True
21,3landersNFT,thebrettway,False
22,3landersNFT,OttoSuwenNFT,True
23,3landersNFT,OttoSuwenNFT,True
24,3landersNFT,itstylersays,False
25,3landersNFT,hypnotizedApe,False
26,3landersNFT,NFTLlama,True
27,3landersNFT,JRNYcrypto,False
28,3landersNFT,ZssBecker,False
29,3landersNFT,SpencerCUH,False
30,3landersNFT,Archemist23NFT,True
31,3landersNFT,BattleguruNFT,False
32,3landersNFT,cbassg16,False
33,3landersNFT,Zeneca_33,False
34,3landersNFT,squidNFT,False
35,3landersNFT,elliotrades,False
36,3landersNFT,PopeyesNFTs,True
37,3landersNFT,JamesCiesluk,True
38,3landersNFT,AmeerHussainn,False
39,3landersNFT,KevinSusanto,False
40,3landersNFT,DonteCrypto,True
41,3landersNFT,JuJulikesnfts,False
42,3landersNFT,Chewtoro,False
43,3landersNFT,DCLBlogger,False
44,3landersNFT,tropoFarmer,False
45,3landersNFT,sxtvik,False
46,3landersNFT,andr3w,False
47,3landersNFT,DeezeFi,True
48,3landersNFT,fvckrender,False
49,3landersNFT,garyvee,False
50,3landersNFT,Luke360,False
51,3landersNFT,iamDCinvestor,False
