,nft_name,influencer_name,is_influencer_following
0,Alleykatznft,BentoBoiNFT,False
1,Alleykatznft,TheShamdoo,False
2,Alleykatznft,dingalingts,False
3,Alleykatznft,champtgram,False
4,Alleykatznft,CryptoGorillaYT,False
5,Alleykatznft,nftpasta,False
6,Alleykatznft,MattCobuzio,False
7,Alleykatznft,mulligan,False
8,Alleykatznft,Crypt0Emma,False
9,Alleykatznft,SkiddilyNFT,False
10,Alleykatznft,NFTverse_,False
11,Alleykatznft,NickyGee44,False
12,Alleykatznft,allnick,False
13,Alleykatznft,Cameron_singh17,True
14,Alleykatznft,maxnaut,False
15,Alleykatznft,LilMoonLambo,False
16,Alleykatznft,SajadNFT,False
17,Alleykatznft,ashrobinqt,False
18,Alleykatznft,Dario_Desiena,False
19,Alleykatznft,SneakyninjaNFTs,False
20,Alleykatznft,KosherPlug,False
21,Alleykatznft,thebrettway,False
22,Alleykatznft,OttoSuwenNFT,False
23,Alleykatznft,OttoSuwenNFT,False
24,Alleykatznft,itstylersays,False
25,Alleykatznft,hypnotizedApe,False
26,Alleykatznft,NFTLlama,False
27,Alleykatznft,JRNYcrypto,False
28,Alleykatznft,ZssBecker,False
29,Alleykatznft,SpencerCUH,False
30,Alleykatznft,Archemist23NFT,False
31,Alleykatznft,BattleguruNFT,False
32,Alleykatznft,cbassg16,False
33,Alleykatznft,Zeneca_33,False
34,Alleykatznft,squidNFT,False
35,Alleykatznft,elliotrades,False
36,Alleykatznft,PopeyesNFTs,False
37,Alleykatznft,JamesCiesluk,False
38,Alleykatznft,AmeerHussainn,False
39,Alleykatznft,KevinSusanto,False
40,Alleykatznft,DonteCrypto,False
41,Alleykatznft,JuJulikesnfts,False
42,Alleykatznft,Chewtoro,False
43,Alleykatznft,DCLBlogger,False
44,Alleykatznft,tropoFarmer,False
45,Alleykatznft,sxtvik,False
46,Alleykatznft,andr3w,False
47,Alleykatznft,DeezeFi,False
48,Alleykatznft,fvckrender,False
49,Alleykatznft,garyvee,False
50,Alleykatznft,Luke360,False
51,Alleykatznft,iamDCinvestor,False
