,ids
0,2544556325
1,1375912254055538697
2,1499559505067012097
3,1429263547461160960
4,1508452022902833158
5,1506375538918801408
6,1496590063857246219
7,1496028877977956357
8,1490128149006327808
9,1511181523755622400
10,355048051
11,37758437
12,1514367632685862912
13,1497758039163691015
14,1514297054754914316
15,1505564812943708165
16,1479363513206272000
17,1501708246410838018
18,1423907242378633221
19,1496125113066008584
20,1478955252498022401
21,1368742009511481346
22,1498869765489704963
23,1492607070113124354
24,3064553409
25,1274321308906450945
26,1470175054419791872
27,1496821707407044619
28,1489066600816799747
29,1490369556187160580
30,1493563722731859969
31,1482945677705773069
32,1034547910396981248
33,1244670218
34,1489318127326269442
35,1488888890421395456
36,1472404268153860096
37,1497093676756975618
38,1497054823367458821
39,1457049519074516992
40,1509109823622684673
41,1500302373872304131
42,1503332773607936001
43,1496985095202349068
44,1463136295148875781
45,1446407043057868806
46,15796850
47,1500070992575877128
48,727904350799015936
49,1347379498535309312
50,1456630258531188738
51,1508287355324702720
52,1511247917847261188
53,1508940546148077570
54,1478566072659832833
55,1330836018195476481
56,1439950595683672070
57,1151533307407896576
58,2416237254
59,1498857371547828224
60,1445847585458163717
61,1495802584224907269
62,1481384644390043657
63,1381084171787927552
64,4537496594
65,1431503151547535360
66,1362665017422852096
67,16390372
68,1494755987630157824
69,592746644
70,936048782206058496
71,1460857591504900096
72,1491611795462791172
73,1417947568588341253
74,1319638743364620292
75,1458277657234214921
76,1461478911196348417
77,1469142217486782470
78,807982663000674305
79,1462549935484809220
80,1509048479875694592
81,1433947648386641922
82,1499320636035899393
83,1448830742788595714
84,1417686048579018753
85,63796828
86,1384026211320426498
87,141784177
88,1466711982934003715
89,1498620004090134529
90,278480052
91,1227725542516023296
92,1356425856005017600
93,1462846860813647875
94,1481837733039722496
95,1491546130236194817
96,1456501868251672581
97,1482962531375370240
98,1451313613658996742
99,1490426675162664984
100,1504716199837396995
101,1463152768995278868
102,1506503844863176706
103,1440019406655041540
104,1402177096508661762
105,1491213906253070337
106,1382637952631705603
107,1464217162101497869
108,1396880116924383233
109,1469341737952980997
110,964501422707376128
111,1450411913096019970
112,1404603419101306881
113,1442556256221220875
114,21320411
115,1460263216416792577
116,1506169681325207556
117,1445699276160462850
118,1479949198858473472
119,1365375842210168836
120,1490720226127843333
121,1379490605043216384
122,1494747497302052871
123,1499555341960458242
124,1462304927154421768
125,1457375848516968453
126,1454785464041295880
127,1258126103161569284
128,1945839132
129,1388186261836505090
130,1494937774402662400
131,1475655639112335366
132,40515106
133,1460049623167340545
134,1484403158117982213
135,1495846670525169664
136,1462592657939652608
137,1849314936
