,nft_name,influencer_name,is_influencer_following
0,PlanktoonsNFT,BentoBoiNFT,False
1,PlanktoonsNFT,TheShamdoo,False
2,PlanktoonsNFT,dingalingts,False
3,PlanktoonsNFT,champtgram,False
4,PlanktoonsNFT,CryptoGorillaYT,False
5,PlanktoonsNFT,nftpasta,True
6,PlanktoonsNFT,MattCobuzio,False
7,PlanktoonsNFT,mulligan,False
8,PlanktoonsNFT,Crypt0Emma,False
9,PlanktoonsNFT,SkiddilyNFT,False
10,PlanktoonsNFT,NFTverse_,False
11,PlanktoonsNFT,NickyGee44,False
12,PlanktoonsNFT,allnick,False
13,PlanktoonsNFT,Cameron_singh17,False
14,PlanktoonsNFT,maxnaut,False
15,PlanktoonsNFT,LilMoonLambo,False
16,PlanktoonsNFT,SajadNFT,False
17,PlanktoonsNFT,ashrobinqt,False
18,PlanktoonsNFT,Dario_Desiena,False
19,PlanktoonsNFT,SneakyninjaNFTs,False
20,PlanktoonsNFT,KosherPlug,False
21,PlanktoonsNFT,thebrettway,False
22,PlanktoonsNFT,OttoSuwenNFT,False
23,PlanktoonsNFT,OttoSuwenNFT,False
24,PlanktoonsNFT,itstylersays,False
25,PlanktoonsNFT,hypnotizedApe,False
26,PlanktoonsNFT,NFTLlama,False
27,PlanktoonsNFT,JRNYcrypto,False
28,PlanktoonsNFT,ZssBecker,False
29,PlanktoonsNFT,SpencerCUH,False
30,PlanktoonsNFT,Archemist23NFT,False
31,PlanktoonsNFT,BattleguruNFT,False
32,PlanktoonsNFT,cbassg16,False
33,PlanktoonsNFT,Zeneca_33,False
34,PlanktoonsNFT,squidNFT,False
35,PlanktoonsNFT,elliotrades,False
36,PlanktoonsNFT,PopeyesNFTs,False
37,PlanktoonsNFT,JamesCiesluk,True
38,PlanktoonsNFT,AmeerHussainn,False
39,PlanktoonsNFT,KevinSusanto,False
40,PlanktoonsNFT,DonteCrypto,False
41,PlanktoonsNFT,JuJulikesnfts,False
42,PlanktoonsNFT,Chewtoro,True
43,PlanktoonsNFT,DCLBlogger,False
44,PlanktoonsNFT,tropoFarmer,False
45,PlanktoonsNFT,sxtvik,False
46,PlanktoonsNFT,andr3w,False
47,PlanktoonsNFT,DeezeFi,False
48,PlanktoonsNFT,fvckrender,False
49,PlanktoonsNFT,garyvee,False
50,PlanktoonsNFT,Luke360,False
51,PlanktoonsNFT,iamDCinvestor,False
