,nft_name,influencer_name,is_influencer_following
0,SkeletGuys,BentoBoiNFT,False
1,SkeletGuys,TheShamdoo,False
2,SkeletGuys,dingalingts,False
3,SkeletGuys,champtgram,False
4,SkeletGuys,CryptoGorillaYT,False
5,SkeletGuys,nftpasta,False
6,SkeletGuys,MattCobuzio,False
7,SkeletGuys,mulligan,False
8,SkeletGuys,Crypt0Emma,False
9,SkeletGuys,SkiddilyNFT,False
10,SkeletGuys,NFTverse_,False
11,SkeletGuys,NickyGee44,False
12,SkeletGuys,allnick,False
13,SkeletGuys,Cameron_singh17,False
14,SkeletGuys,maxnaut,False
15,SkeletGuys,LilMoonLambo,False
16,SkeletGuys,SajadNFT,False
17,SkeletGuys,ashrobinqt,False
18,SkeletGuys,Dario_Desiena,False
19,SkeletGuys,SneakyninjaNFTs,False
20,SkeletGuys,KosherPlug,False
21,SkeletGuys,thebrettway,False
22,SkeletGuys,OttoSuwenNFT,False
23,SkeletGuys,OttoSuwenNFT,False
24,SkeletGuys,itstylersays,False
25,SkeletGuys,hypnotizedApe,False
26,SkeletGuys,NFTLlama,False
27,SkeletGuys,JRNYcrypto,False
28,SkeletGuys,ZssBecker,False
29,SkeletGuys,SpencerCUH,False
30,SkeletGuys,Archemist23NFT,False
31,SkeletGuys,BattleguruNFT,False
32,SkeletGuys,cbassg16,False
33,SkeletGuys,Zeneca_33,False
34,SkeletGuys,squidNFT,False
35,SkeletGuys,elliotrades,False
36,SkeletGuys,PopeyesNFTs,False
37,SkeletGuys,JamesCiesluk,False
38,SkeletGuys,AmeerHussainn,False
39,SkeletGuys,KevinSusanto,False
40,SkeletGuys,DonteCrypto,False
41,SkeletGuys,JuJulikesnfts,False
42,SkeletGuys,Chewtoro,False
43,SkeletGuys,DCLBlogger,False
44,SkeletGuys,tropoFarmer,False
45,SkeletGuys,sxtvik,False
46,SkeletGuys,andr3w,False
47,SkeletGuys,DeezeFi,False
48,SkeletGuys,fvckrender,False
49,SkeletGuys,garyvee,False
50,SkeletGuys,Luke360,False
51,SkeletGuys,iamDCinvestor,False
