,nft_name,influencer_name,is_influencer_following
0,StarcatchersNFT,BentoBoiNFT,False
1,StarcatchersNFT,TheShamdoo,True
2,StarcatchersNFT,dingalingts,True
3,StarcatchersNFT,champtgram,True
4,StarcatchersNFT,CryptoGorillaYT,True
5,StarcatchersNFT,nftpasta,True
6,StarcatchersNFT,MattCobuzio,False
7,StarcatchersNFT,mulligan,False
8,StarcatchersNFT,Crypt0Emma,False
9,StarcatchersNFT,SkiddilyNFT,True
10,StarcatchersNFT,NFTverse_,False
11,StarcatchersNFT,NickyGee44,False
12,StarcatchersNFT,allnick,True
13,StarcatchersNFT,Cameron_singh17,True
14,StarcatchersNFT,maxnaut,True
15,StarcatchersNFT,LilMoonLambo,False
16,StarcatchersNFT,SajadNFT,False
17,StarcatchersNFT,ashrobinqt,True
18,StarcatchersNFT,Dario_Desiena,False
19,StarcatchersNFT,SneakyninjaNFTs,True
20,StarcatchersNFT,KosherPlug,True
21,StarcatchersNFT,thebrettway,False
22,StarcatchersNFT,OttoSuwenNFT,True
23,StarcatchersNFT,OttoSuwenNFT,True
24,StarcatchersNFT,itstylersays,False
25,StarcatchersNFT,hypnotizedApe,False
26,StarcatchersNFT,NFTLlama,False
27,StarcatchersNFT,JRNYcrypto,False
28,StarcatchersNFT,ZssBecker,False
29,StarcatchersNFT,SpencerCUH,False
30,StarcatchersNFT,Archemist23NFT,True
31,StarcatchersNFT,BattleguruNFT,False
32,StarcatchersNFT,cbassg16,False
33,StarcatchersNFT,Zeneca_33,False
34,StarcatchersNFT,squidNFT,False
35,StarcatchersNFT,elliotrades,False
36,StarcatchersNFT,PopeyesNFTs,False
37,StarcatchersNFT,JamesCiesluk,True
38,StarcatchersNFT,AmeerHussainn,False
39,StarcatchersNFT,KevinSusanto,False
40,StarcatchersNFT,DonteCrypto,False
41,StarcatchersNFT,JuJulikesnfts,True
42,StarcatchersNFT,Chewtoro,True
43,StarcatchersNFT,DCLBlogger,False
44,StarcatchersNFT,tropoFarmer,False
45,StarcatchersNFT,sxtvik,False
46,StarcatchersNFT,andr3w,True
47,StarcatchersNFT,DeezeFi,True
48,StarcatchersNFT,fvckrender,True
49,StarcatchersNFT,garyvee,False
50,StarcatchersNFT,Luke360,False
51,StarcatchersNFT,iamDCinvestor,False
