,Unnamed: 0,nft_name,influencer_name,is_influencer_following
0,0,0xALINFT,BentoBoiNFT,False
1,1,0xALINFT,TheShamdoo,True
2,2,0xALINFT,dingalingts,False
3,3,0xALINFT,champtgram,False
4,4,0xALINFT,CryptoGorillaYT,True
5,5,0xALINFT,nftpasta,True
6,6,0xALINFT,MattCobuzio,False
7,7,0xALINFT,mulligan,False
8,8,0xALINFT,Crypt0Emma,False
9,9,0xALINFT,SkiddilyNFT,True
10,10,0xALINFT,NFTverse_,False
11,11,0xALINFT,NickyGee44,False
12,12,0xALINFT,allnick,False
13,13,0xALINFT,Cameron_singh17,True
14,14,0xALINFT,maxnaut,True
15,15,0xALINFT,LilMoonLambo,False
16,16,0xALINFT,SajadNFT,False
17,17,0xALINFT,ashrobinqt,False
18,18,0xALINFT,Dario_Desiena,False
19,19,0xALINFT,SneakyninjaNFTs,False
20,20,0xALINFT,KosherPlug,True
21,21,0xALINFT,thebrettway,False
22,22,0xALINFT,OttoSuwenNFT,False
23,23,0xALINFT,OttoSuwenNFT,False
24,24,0xALINFT,itstylersays,False
25,25,0xALINFT,hypnotizedApe,False
26,26,0xALINFT,NFTLlama,False
27,27,0xALINFT,JRNYcrypto,False
28,28,0xALINFT,ZssBecker,False
29,29,0xALINFT,SpencerCUH,False
30,30,0xALINFT,Archemist23NFT,False
31,31,0xALINFT,BattleguruNFT,False
32,32,0xALINFT,cbassg16,False
33,33,0xALINFT,Zeneca_33,False
34,34,0xALINFT,squidNFT,False
35,35,0xALINFT,elliotrades,False
36,36,0xALINFT,PopeyesNFTs,False
37,37,0xALINFT,JamesCiesluk,True
38,38,0xALINFT,AmeerHussainn,False
39,39,0xALINFT,KevinSusanto,False
40,40,0xALINFT,DonteCrypto,True
41,41,0xALINFT,JuJulikesnfts,True
42,42,0xALINFT,Chewtoro,True
43,43,0xALINFT,DCLBlogger,False
44,44,0xALINFT,tropoFarmer,False
45,45,0xALINFT,sxtvik,False
46,46,0xALINFT,andr3w,True
47,47,0xALINFT,DeezeFi,False
48,48,0xALINFT,fvckrender,False
49,49,0xALINFT,garyvee,False
50,50,0xALINFT,Luke360,False
51,51,0xALINFT,iamDCinvestor,False
52,0,3landersNFT,BentoBoiNFT,False
53,1,3landersNFT,TheShamdoo,True
54,2,3landersNFT,dingalingts,True
55,3,3landersNFT,champtgram,False
56,4,3landersNFT,CryptoGorillaYT,True
57,5,3landersNFT,nftpasta,True
58,6,3landersNFT,MattCobuzio,False
59,7,3landersNFT,mulligan,False
60,8,3landersNFT,Crypt0Emma,False
61,9,3landersNFT,SkiddilyNFT,True
62,10,3landersNFT,NFTverse_,True
63,11,3landersNFT,NickyGee44,False
64,12,3landersNFT,allnick,True
65,13,3landersNFT,Cameron_singh17,True
66,14,3landersNFT,maxnaut,True
67,15,3landersNFT,LilMoonLambo,False
68,16,3landersNFT,SajadNFT,False
69,17,3landersNFT,ashrobinqt,True
70,18,3landersNFT,Dario_Desiena,False
71,19,3landersNFT,SneakyninjaNFTs,False
72,20,3landersNFT,KosherPlug,True
73,21,3landersNFT,thebrettway,False
74,22,3landersNFT,OttoSuwenNFT,True
75,23,3landersNFT,OttoSuwenNFT,True
76,24,3landersNFT,itstylersays,False
77,25,3landersNFT,hypnotizedApe,False
78,26,3landersNFT,NFTLlama,True
79,27,3landersNFT,JRNYcrypto,False
80,28,3landersNFT,ZssBecker,False
81,29,3landersNFT,SpencerCUH,False
82,30,3landersNFT,Archemist23NFT,True
83,31,3landersNFT,BattleguruNFT,False
84,32,3landersNFT,cbassg16,False
85,33,3landersNFT,Zeneca_33,False
86,34,3landersNFT,squidNFT,False
87,35,3landersNFT,elliotrades,False
88,36,3landersNFT,PopeyesNFTs,True
89,37,3landersNFT,JamesCiesluk,True
90,38,3landersNFT,AmeerHussainn,False
91,39,3landersNFT,KevinSusanto,False
92,40,3landersNFT,DonteCrypto,True
93,41,3landersNFT,JuJulikesnfts,False
94,42,3landersNFT,Chewtoro,False
95,43,3landersNFT,DCLBlogger,False
96,44,3landersNFT,tropoFarmer,False
97,45,3landersNFT,sxtvik,False
98,46,3landersNFT,andr3w,False
99,47,3landersNFT,DeezeFi,True
100,48,3landersNFT,fvckrender,False
101,49,3landersNFT,garyvee,False
102,50,3landersNFT,Luke360,False
103,51,3landersNFT,iamDCinvestor,False
104,0,Alleykatznft,BentoBoiNFT,False
105,1,Alleykatznft,TheShamdoo,False
106,2,Alleykatznft,dingalingts,False
107,3,Alleykatznft,champtgram,False
108,4,Alleykatznft,CryptoGorillaYT,False
109,5,Alleykatznft,nftpasta,False
110,6,Alleykatznft,MattCobuzio,False
111,7,Alleykatznft,mulligan,False
112,8,Alleykatznft,Crypt0Emma,False
113,9,Alleykatznft,SkiddilyNFT,False
114,10,Alleykatznft,NFTverse_,False
115,11,Alleykatznft,NickyGee44,False
116,12,Alleykatznft,allnick,False
117,13,Alleykatznft,Cameron_singh17,True
118,14,Alleykatznft,maxnaut,False
119,15,Alleykatznft,LilMoonLambo,False
120,16,Alleykatznft,SajadNFT,False
121,17,Alleykatznft,ashrobinqt,False
122,18,Alleykatznft,Dario_Desiena,False
123,19,Alleykatznft,SneakyninjaNFTs,False
124,20,Alleykatznft,KosherPlug,False
125,21,Alleykatznft,thebrettway,False
126,22,Alleykatznft,OttoSuwenNFT,False
127,23,Alleykatznft,OttoSuwenNFT,False
128,24,Alleykatznft,itstylersays,False
129,25,Alleykatznft,hypnotizedApe,False
130,26,Alleykatznft,NFTLlama,False
131,27,Alleykatznft,JRNYcrypto,False
132,28,Alleykatznft,ZssBecker,False
133,29,Alleykatznft,SpencerCUH,False
134,30,Alleykatznft,Archemist23NFT,False
135,31,Alleykatznft,BattleguruNFT,False
136,32,Alleykatznft,cbassg16,False
137,33,Alleykatznft,Zeneca_33,False
138,34,Alleykatznft,squidNFT,False
139,35,Alleykatznft,elliotrades,False
140,36,Alleykatznft,PopeyesNFTs,False
141,37,Alleykatznft,JamesCiesluk,False
142,38,Alleykatznft,AmeerHussainn,False
143,39,Alleykatznft,KevinSusanto,False
144,40,Alleykatznft,DonteCrypto,False
145,41,Alleykatznft,JuJulikesnfts,False
146,42,Alleykatznft,Chewtoro,False
147,43,Alleykatznft,DCLBlogger,False
148,44,Alleykatznft,tropoFarmer,False
149,45,Alleykatznft,sxtvik,False
150,46,Alleykatznft,andr3w,False
151,47,Alleykatznft,DeezeFi,False
152,48,Alleykatznft,fvckrender,False
153,49,Alleykatznft,garyvee,False
154,50,Alleykatznft,Luke360,False
155,51,Alleykatznft,iamDCinvestor,False
156,0,AntonymNFT,BentoBoiNFT,True
157,1,AntonymNFT,TheShamdoo,True
158,2,AntonymNFT,dingalingts,False
159,3,AntonymNFT,champtgram,True
160,4,AntonymNFT,CryptoGorillaYT,True
161,5,AntonymNFT,nftpasta,True
162,6,AntonymNFT,MattCobuzio,True
163,7,AntonymNFT,mulligan,False
164,8,AntonymNFT,Crypt0Emma,True
165,9,AntonymNFT,SkiddilyNFT,True
166,10,AntonymNFT,NFTverse_,False
167,11,AntonymNFT,NickyGee44,False
168,12,AntonymNFT,allnick,False
169,13,AntonymNFT,Cameron_singh17,True
170,14,AntonymNFT,maxnaut,True
171,15,AntonymNFT,LilMoonLambo,False
172,16,AntonymNFT,SajadNFT,False
173,17,AntonymNFT,ashrobinqt,False
174,18,AntonymNFT,Dario_Desiena,False
175,19,AntonymNFT,SneakyninjaNFTs,False
176,20,AntonymNFT,KosherPlug,True
177,21,AntonymNFT,thebrettway,True
178,22,AntonymNFT,OttoSuwenNFT,True
179,23,AntonymNFT,OttoSuwenNFT,True
180,24,AntonymNFT,itstylersays,False
181,25,AntonymNFT,hypnotizedApe,False
182,26,AntonymNFT,NFTLlama,True
183,27,AntonymNFT,JRNYcrypto,False
184,28,AntonymNFT,ZssBecker,False
185,29,AntonymNFT,SpencerCUH,False
186,30,AntonymNFT,Archemist23NFT,True
187,31,AntonymNFT,BattleguruNFT,True
188,32,AntonymNFT,cbassg16,False
189,33,AntonymNFT,Zeneca_33,False
190,34,AntonymNFT,squidNFT,False
191,35,AntonymNFT,elliotrades,False
192,36,AntonymNFT,PopeyesNFTs,True
193,37,AntonymNFT,JamesCiesluk,True
194,38,AntonymNFT,AmeerHussainn,False
195,39,AntonymNFT,KevinSusanto,False
196,40,AntonymNFT,DonteCrypto,True
197,41,AntonymNFT,JuJulikesnfts,True
198,42,AntonymNFT,Chewtoro,True
199,43,AntonymNFT,DCLBlogger,False
200,44,AntonymNFT,tropoFarmer,False
201,45,AntonymNFT,sxtvik,False
202,46,AntonymNFT,andr3w,False
203,47,AntonymNFT,DeezeFi,True
204,48,AntonymNFT,fvckrender,True
205,49,AntonymNFT,garyvee,False
206,50,AntonymNFT,Luke360,False
207,51,AntonymNFT,iamDCinvestor,False
208,0,BoozeBears,BentoBoiNFT,False
209,1,BoozeBears,TheShamdoo,False
