,nft_name,influencer_name,is_influencer_following
0,rollbitcom,BentoBoiNFT,False
1,rollbitcom,TheShamdoo,False
2,rollbitcom,dingalingts,False
3,rollbitcom,champtgram,False
4,rollbitcom,CryptoGorillaYT,True
5,rollbitcom,nftpasta,True
6,rollbitcom,MattCobuzio,False
7,rollbitcom,mulligan,False
8,rollbitcom,Crypt0Emma,False
9,rollbitcom,SkiddilyNFT,False
10,rollbitcom,NFTverse_,False
11,rollbitcom,NickyGee44,True
12,rollbitcom,allnick,False
13,rollbitcom,Cameron_singh17,False
14,rollbitcom,maxnaut,False
15,rollbitcom,LilMoonLambo,False
16,rollbitcom,SajadNFT,False
17,rollbitcom,ashrobinqt,False
18,rollbitcom,Dario_Desiena,False
19,rollbitcom,SneakyninjaNFTs,False
20,rollbitcom,KosherPlug,False
21,rollbitcom,thebrettway,False
22,rollbitcom,OttoSuwenNFT,False
23,rollbitcom,OttoSuwenNFT,False
24,rollbitcom,itstylersays,False
25,rollbitcom,hypnotizedApe,False
26,rollbitcom,NFTLlama,True
27,rollbitcom,JRNYcrypto,False
28,rollbitcom,ZssBecker,False
29,rollbitcom,SpencerCUH,False
30,rollbitcom,Archemist23NFT,False
31,rollbitcom,BattleguruNFT,False
32,rollbitcom,cbassg16,False
33,rollbitcom,Zeneca_33,False
34,rollbitcom,squidNFT,False
35,rollbitcom,elliotrades,False
36,rollbitcom,PopeyesNFTs,False
37,rollbitcom,JamesCiesluk,False
38,rollbitcom,AmeerHussainn,False
39,rollbitcom,KevinSusanto,False
40,rollbitcom,DonteCrypto,False
41,rollbitcom,JuJulikesnfts,False
42,rollbitcom,Chewtoro,False
43,rollbitcom,DCLBlogger,False
44,rollbitcom,tropoFarmer,False
45,rollbitcom,sxtvik,False
46,rollbitcom,andr3w,False
47,rollbitcom,DeezeFi,True
48,rollbitcom,fvckrender,False
49,rollbitcom,garyvee,False
50,rollbitcom,Luke360,False
51,rollbitcom,iamDCinvestor,False
