,nft_name,total_following,regularized_following
0,RoborovskiNFT,9,0.31652660523779563
1,KamiTribe,3,0.06626089384540358
2,goopdoods,9,0.33786651122871897
3,ILYYWNFT,11,0.3519125429931327
4,3landersNFT,19,0.7225217104865285
5,SOVillains,11,0.30264334582755914
6,DippiesNFT,14,0.4888282191932411
7,WonderPals,20,0.7739404034438254
8,CosmiqsNFT,11,0.2921339133948137
9,SkeletGuys,0,0
10,CatBloxStudios,9,0.22280414947263047
11,StarcatchersNFT,21,0.7814375822708094
12,rollbitcom,5,0.25260017576840776
13,Edenhorde,4,0.09674082137632067
14,TastyBonesNFT,23,1.0397602035104787
15,DentedFeelsNFT,12,0.4416338870166852
16,TsukiNFT,8,0.2707978676178234
17,SatoshiRunnerz,12,0.4750327796499816
18,0xALINFT,12,0.40298960701735437
19,RubberDuckBP,13,0.2895466050061828
20,cartoonsnft,11,0.41784724876119306
21,thesunniesnft,5,0.2546097388050579
22,NftFloppy,8,0.3099217791983365
23,ClayFriendsNFT,8,0.19746860037649955
24,CandyHuntersNFT,2,0.004752888405075409
25,WabiSabiNFT,5,0.2082016035328678
26,iamchillpill,12,0.5068322569770151
27,SadBotsNFT,7,0.4591718039680426
28,BoozeBears,0,0
29,RuggiesOfficial,2,0.0410659208733348
30,WaveCatchersNFT,1,0.04784960349169218
31,DrugReceipts,3,0.09534503235502645
32,Alleykatznft,1,0.0007984209151537844
33,loserclubreborn,9,0.3300434660088863
34,midlifenft,0,0
35,AntonymNFT,24,0.9566655600720058
36,myinternetfrens,0,0
37,PlanktoonsNFT,3,0.06626089384540358
38,FortuneFriends_,14,0.4420810284639309
39,whales_nft,0,0
40,frenlypandas,0,0
