,nft_name,influencer_name,is_influencer_following
0,midlifenft,BentoBoiNFT,False
1,midlifenft,TheShamdoo,False
2,midlifenft,dingalingts,False
3,midlifenft,champtgram,False
4,midlifenft,CryptoGorillaYT,False
5,midlifenft,nftpasta,False
6,midlifenft,MattCobuzio,False
7,midlifenft,mulligan,False
8,midlifenft,Crypt0Emma,False
9,midlifenft,SkiddilyNFT,False
10,midlifenft,NFTverse_,False
11,midlifenft,NickyGee44,False
12,midlifenft,allnick,False
13,midlifenft,Cameron_singh17,False
14,midlifenft,maxnaut,False
15,midlifenft,LilMoonLambo,False
16,midlifenft,SajadNFT,False
17,midlifenft,ashrobinqt,False
18,midlifenft,Dario_Desiena,False
19,midlifenft,SneakyninjaNFTs,False
20,midlifenft,KosherPlug,False
21,midlifenft,thebrettway,False
22,midlifenft,OttoSuwenNFT,False
23,midlifenft,OttoSuwenNFT,False
24,midlifenft,itstylersays,False
25,midlifenft,hypnotizedApe,False
26,midlifenft,NFTLlama,False
27,midlifenft,JRNYcrypto,False
28,midlifenft,ZssBecker,False
29,midlifenft,SpencerCUH,False
30,midlifenft,Archemist23NFT,False
31,midlifenft,BattleguruNFT,False
32,midlifenft,cbassg16,False
33,midlifenft,Zeneca_33,False
34,midlifenft,squidNFT,False
35,midlifenft,elliotrades,False
36,midlifenft,PopeyesNFTs,False
37,midlifenft,JamesCiesluk,False
38,midlifenft,AmeerHussainn,False
39,midlifenft,KevinSusanto,False
40,midlifenft,DonteCrypto,False
41,midlifenft,JuJulikesnfts,False
42,midlifenft,Chewtoro,False
43,midlifenft,DCLBlogger,False
44,midlifenft,tropoFarmer,False
45,midlifenft,sxtvik,False
46,midlifenft,andr3w,False
47,midlifenft,DeezeFi,False
48,midlifenft,fvckrender,False
49,midlifenft,garyvee,False
50,midlifenft,Luke360,False
51,midlifenft,iamDCinvestor,False
