,nft_name,influencer_name,is_influencer_following
0,myinternetfrens,BentoBoiNFT,False
1,myinternetfrens,TheShamdoo,False
2,myinternetfrens,dingalingts,False
3,myinternetfrens,champtgram,False
4,myinternetfrens,CryptoGorillaYT,False
5,myinternetfrens,nftpasta,False
6,myinternetfrens,MattCobuzio,False
7,myinternetfrens,mulligan,False
8,myinternetfrens,Crypt0Emma,False
9,myinternetfrens,SkiddilyNFT,False
10,myinternetfrens,NFTverse_,False
11,myinternetfrens,NickyGee44,False
12,myinternetfrens,allnick,False
13,myinternetfrens,Cameron_singh17,False
14,myinternetfrens,maxnaut,False
15,myinternetfrens,LilMoonLambo,False
16,myinternetfrens,SajadNFT,False
17,myinternetfrens,ashrobinqt,False
18,myinternetfrens,Dario_Desiena,False
19,myinternetfrens,SneakyninjaNFTs,False
20,myinternetfrens,KosherPlug,False
21,myinternetfrens,thebrettway,False
22,myinternetfrens,OttoSuwenNFT,False
23,myinternetfrens,OttoSuwenNFT,False
24,myinternetfrens,itstylersays,False
25,myinternetfrens,hypnotizedApe,False
26,myinternetfrens,NFTLlama,False
27,myinternetfrens,JRNYcrypto,False
28,myinternetfrens,ZssBecker,False
29,myinternetfrens,SpencerCUH,False
30,myinternetfrens,Archemist23NFT,False
31,myinternetfrens,BattleguruNFT,False
32,myinternetfrens,cbassg16,False
33,myinternetfrens,Zeneca_33,False
34,myinternetfrens,squidNFT,False
35,myinternetfrens,elliotrades,False
36,myinternetfrens,PopeyesNFTs,False
37,myinternetfrens,JamesCiesluk,False
38,myinternetfrens,AmeerHussainn,False
39,myinternetfrens,KevinSusanto,False
40,myinternetfrens,DonteCrypto,False
41,myinternetfrens,JuJulikesnfts,False
42,myinternetfrens,Chewtoro,False
43,myinternetfrens,DCLBlogger,False
44,myinternetfrens,tropoFarmer,False
45,myinternetfrens,sxtvik,False
46,myinternetfrens,andr3w,False
47,myinternetfrens,DeezeFi,False
48,myinternetfrens,fvckrender,False
49,myinternetfrens,garyvee,False
50,myinternetfrens,Luke360,False
51,myinternetfrens,iamDCinvestor,False
