MAOne,MAThree,MAFive,MAWeek
2841.7873958333325,2832.912152777777,2817.989208333331,2840.0434523809536
2854.127812499999,2836.0107986111097,2819.9230833333318,2840.616324404763
2908.1833333333343,2848.834861111109,2829.161124999997,2842.836666666667
2888.9955208333345,2850.086666666664,2830.0748124999964,2836.726919642856
2781.6565625000003,2830.768645833333,2826.687874999997,2822.3052232142836
2354.597291666667,2512.8034374999984,2609.65222916667,2677.730119047622
2069.016354166667,2055.9146875,2051.461541666668,2065.7646577380956
1994.741770833334,2031.8874305555546,2035.806395833333,2026.7968005952398
1978.6972916666673,2025.2056597222222,2032.7880000000002,2025.8064880952388
1968.4511458333336,2022.0287500000004,2030.7630000000001,2027.9287351190487
1954.7344791666667,2015.6287847222218,2028.7906666666672,2029.2474404761922
1965.7748958333334,2013.7602430555562,2028.3476041666675,2032.1068452380978
1981.5884374999994,2012.9646875000008,2027.6465833333348,2032.448125000002
2005.7458333333332,1997.0076041666669,2020.5193125000012,2023.972157738095
1992.2238541666668,1987.085381944444,2012.3469375000006,2020.8208333333318
1978.1353125000005,1980.749548611111,2007.9767500000007,2018.2303571428554
1967.7172916666675,1977.6510069444448,2002.3893125000004,2016.0879017857123
1969.1709375000003,1979.30829861111,2000.927979166667,2014.7668005952376
2042.9693750000008,2001.9259027777782,1994.2026875000013,2007.1438541666666
1880.7632291666666,1940.319027777779,1971.8034999999986,1975.4938988095269
1952.5643750000002,1980.6636458333353,1987.3949374999986,1987.2531696428591
1804.3449999999996,1905.6476041666688,1951.153958333333,1957.6105357142872
1801.7127083333332,1902.7778819444466,1948.9681041666665,1955.975535714287
1754.6280208333335,1828.4159375000006,1891.4413541666668,1924.0742410714288
1782.9922916666671,1779.1917013888897,1847.6194375000007,1896.0459821428576
