,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508587781244788748,2022-03-28 23:32:09+00:00,True,@LayoftheLanders #WeAreTheDreamers 🤝💫,0,4,27,0,,"{'hashtags': [{'start': 17, 'end': 34, 'tag': 'WeAreTheDreamers'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'LayoftheLanders', 'id': '1501927317341409285'}]}"
1,1508574870598299661,2022-03-28 22:40:51+00:00,False,"We are beyond excited to announce our first official 3Landers derivative: 3Land Tales.

Project will be led by phenomenal NFT artist @ImaginarySina + our next-level storyteller @ComposerBoa.

Launch date, project specifics + more info coming soon.  📖 ✍️ https://t.co/yUSHuTO9qF",242,83,683,22,{'media_keys': ['3_1508574854626398215']},"{'mentions': [{'start': 133, 'end': 147, 'username': 'ImaginarySina', 'id': '1402096832554037252'}, {'start': 177, 'end': 189, 'username': 'ComposerBoa', 'id': '1478069689754419200'}], 'urls': [{'start': 254, 'end': 277, 'url': 'https://t.co/yUSHuTO9qF', 'expanded_url': 'https://twitter.com/3landersNFT/status/1508574870598299661/photo/1', 'display_url': 'pic.twitter.com/yUSHuTO9qF'}]}"
2,1508527546262036483,2022-03-28 19:32:48+00:00,False,RT @LayoftheLanders: 🚨In just under 3 hours we will be back with Ep 2 of Lay of the Landers - ‘Fr33 Talk’. We will be joined by some friend…,13,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'LayoftheLanders', 'id': '1501927317341409285'}]}"
3,1508518660717043719,2022-03-28 18:57:30+00:00,False,🛸🛸 https://t.co/LaMBOGeret,8,2,118,0,,"{'urls': [{'start': 3, 'end': 26, 'url': 'https://t.co/LaMBOGeret', 'expanded_url': 'https://twitter.com/johnny_fpv/status/1508512774288142338', 'display_url': 'twitter.com/johnny_fpv/sta…'}]}"
4,1508513189503324161,2022-03-28 18:35:45+00:00,False,"You may have noticed the #3LandStory for a particular item being posted somewhere recently.

While some clues were left, it seems its full instructions have not yet been provided…

A 3Lander can't go on an adventure without knowing how to use their gear, now can they? 🎒🔜 https://t.co/cHsS8fE0p2",84,23,331,3,{'media_keys': ['3_1508512284922028042']},"{'hashtags': [{'start': 25, 'end': 36, 'tag': '3LandStory'}], 'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/cHsS8fE0p2', 'expanded_url': 'https://twitter.com/3landersNFT/status/1508513189503324161/photo/1', 'display_url': 'pic.twitter.com/cHsS8fE0p2'}]}"
5,1508492121430450184,2022-03-28 17:12:02+00:00,True,@legeneth 👀,0,0,21,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'legeneth', 'id': '1382094222'}]}"
6,1508467147932065793,2022-03-28 15:32:48+00:00,False,RT @heyKevD: Grabbed a @3landersNFT over the weekend. 🐵😎 https://t.co/gXIFScGD2j,28,0,0,0,{'media_keys': ['3_1508465660988428295']},"{'mentions': [{'start': 3, 'end': 11, 'username': 'heyKevD', 'id': '202060822'}, {'start': 23, 'end': 35, 'username': '3landersNFT', 'id': '1440732888522100746'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/gXIFScGD2j', 'expanded_url': 'https://twitter.com/heyKevD/status/1508465665816276996/photo/1', 'display_url': 'pic.twitter.com/gXIFScGD2j'}]}"
7,1508458891603951630,2022-03-28 15:00:00+00:00,False,"Zombies, similar to Cyborgs, do not remember themselves before the event of their second creation. 🤔

The largest difference between their two experiences is that the Zombies still feel connected to their past selves, even without memory… 🖇️🧟

#3LandStory https://t.co/6w2OVPlI3f",40,12,231,1,{'media_keys': ['3_1508399619767685125']},"{'hashtags': [{'start': 244, 'end': 255, 'tag': '3LandStory'}], 'urls': [{'start': 256, 'end': 279, 'url': 'https://t.co/6w2OVPlI3f', 'expanded_url': 'https://twitter.com/3landersNFT/status/1508458891603951630/photo/1', 'display_url': 'pic.twitter.com/6w2OVPlI3f'}]}"
8,1508402481738489862,2022-03-28 11:15:51+00:00,False,"RT @rockets_chef: In the last 24hrs I’ve managed to purchase my 16th and 17th @3landersNFT! 👀👀

Choosing carefully, as they will be with me…",16,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'rockets_chef', 'id': '69540520'}, {'start': 78, 'end': 90, 'username': '3landersNFT', 'id': '1440732888522100746'}]}"
9,1508355293851394048,2022-03-28 08:08:20+00:00,False,💁‍♀️⭐ https://t.co/3aKjVCshhu https://t.co/NvuqhkoDN5,18,8,168,0,{'media_keys': ['3_1508355093149757449']},"{'urls': [{'start': 6, 'end': 29, 'url': 'https://t.co/3aKjVCshhu', 'expanded_url': 'https://twitter.com/3landersNFT/status/1508355293851394048/photo/1', 'display_url': 'pic.twitter.com/3aKjVCshhu'}, {'start': 30, 'end': 53, 'url': 'https://t.co/NvuqhkoDN5', 'expanded_url': 'https://twitter.com/3LandersBuys/status/1508305465226190850', 'display_url': 'twitter.com/3LandersBuys/s…'}]}"
