,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1507391682873991171,2022-03-25 16:19:17+00:00,False,Let’s talk about security. https://t.co/dLQFrsMt7w,52,36,228,2,,"{'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/dLQFrsMt7w', 'expanded_url': 'https://twitter.com/maisonghost/status/1507389598493777926', 'display_url': 'twitter.com/maisonghost/st…'}]}"
1,1507157890716499997,2022-03-25 00:50:17+00:00,True,"@KaijuFrenz Winners 🏆
• @Sparkey787
• @jcr7130692
• @Rumaheh
• @Kmivase
• @Dzolabor

✔️ https://t.co/MjFXK6lULU",5,13,79,1,,"{'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/MjFXK6lULU', 'expanded_url': 'https://twitterpicker.com/d/6aw25kn7', 'display_url': 'twitterpicker.com/d/6aw25kn7'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'KaijuFrenz', 'id': '1467866741413855236'}, {'start': 24, 'end': 35, 'username': 'Sparkey787', 'id': '84558583'}, {'start': 38, 'end': 49, 'username': 'jcr7130692', 'id': '3410112057'}, {'start': 52, 'end': 60, 'username': 'Rumaheh', 'id': '1351108833708552202'}, {'start': 63, 'end': 71, 'username': 'Kmivase', 'id': '1433859873985421314'}, {'start': 74, 'end': 83, 'username': 'Dzolabor', 'id': '1352977342939934721'}]}"
2,1507155888338993176,2022-03-25 00:42:20+00:00,True,@polarisgabe das nice,0,3,5,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'polarisgabe', 'id': '1471380587755630596'}]}"
3,1507155158886613000,2022-03-25 00:39:26+00:00,True,@polarisgabe feel free to share it here in the comments! ❤️,0,2,4,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'polarisgabe', 'id': '1471380587755630596'}]}"
4,1507154728156733440,2022-03-25 00:37:43+00:00,False,"GENESIS: Spotlight 🕊

Antonym #8375 https://t.co/NZzmn4mXCm",71,52,557,2,{'media_keys': ['3_1507154618718978049']},"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/NZzmn4mXCm', 'expanded_url': 'https://twitter.com/AntonymNFT/status/1507154728156733440/photo/1', 'display_url': 'pic.twitter.com/NZzmn4mXCm'}]}"
5,1506655290241871879,2022-03-23 15:33:08+00:00,True,@KaijuFrenz Credit to @Ahee3l for the cross-over art piece 🕊,29,26,228,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'KaijuFrenz', 'id': '1467866741413855236'}, {'start': 22, 'end': 29, 'username': 'Ahee3l', 'id': '1466467143365668864'}]}"
6,1506655082850369538,2022-03-23 15:32:18+00:00,False,"Made some new friends 🔥

@KaijuFrenz x @AntonymNFT 

We will be giving away: 
• 🐲 5 whitelist spots for KaijuFrenz

To enter:
• Follow @AntonymNFT &amp; @KaijuFrenz 
• Like, RT &amp; Tag Your Friends

24hrs. ⏳ https://t.co/3qQWuf342g",26998,26090,26510,308,{'media_keys': ['3_1506648791834771461']},"{'urls': [{'start': 210, 'end': 233, 'url': 'https://t.co/3qQWuf342g', 'expanded_url': 'https://twitter.com/AntonymNFT/status/1506655082850369538/photo/1', 'display_url': 'pic.twitter.com/3qQWuf342g'}], 'mentions': [{'start': 25, 'end': 36, 'username': 'KaijuFrenz', 'id': '1467866741413855236'}, {'start': 39, 'end': 50, 'username': 'AntonymNFT', 'id': '1425997880083554310'}, {'start': 135, 'end': 146, 'username': 'AntonymNFT', 'id': '1425997880083554310'}, {'start': 153, 'end': 164, 'username': 'KaijuFrenz', 'id': '1467866741413855236'}]}"
7,1506452929783341059,2022-03-23 02:09:01+00:00,False,"RT @tyza_re: Just sniped another @Antonym artist edition 1/1, this time a collab with the legendary @Heart3_zoo Pumped to add this to this…",44,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'tyza_re', 'id': '1384858667019763722'}, {'start': 33, 'end': 41, 'username': 'AntonyM', 'id': '53336312'}, {'start': 100, 'end': 111, 'username': 'Heart3_zoo', 'id': '49063292'}]}"
8,1506408676529221636,2022-03-22 23:13:10+00:00,True,@9tales_NFT 🔥,0,2,24,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': '9tales_NFT', 'id': '1445699276160462850'}]}"
9,1506399801969049601,2022-03-22 22:37:55+00:00,False,"innovate = elevate 

haptic. https://t.co/HIGeVtUh8r",127,32,611,6,{'media_keys': ['3_1506399255501500419']},"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/HIGeVtUh8r', 'expanded_url': 'https://twitter.com/AntonymNFT/status/1506399801969049601/photo/1', 'display_url': 'pic.twitter.com/HIGeVtUh8r'}]}"
