,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508580376465182722,2022-03-28 23:02:44+00:00,False,"Boozy Tuesdays! Come join the discord and hangout with the Booze Bears Team! Will be doing AMA! 
#boozebears #boozebearsevolution #NFT #NFTGiveaways #NFTCommunity #NFTs #nftcollector #NFTdrop https://t.co/GhFVJe7NoE",21,7,41,2,{'media_keys': ['3_1508580372669349890']},"{'annotations': [{'start': 59, 'end': 74, 'probability': 0.3846, 'type': 'Organization', 'normalized_text': 'Booze Bears Team'}], 'urls': [{'start': 192, 'end': 215, 'url': 'https://t.co/GhFVJe7NoE', 'expanded_url': 'https://twitter.com/BoozeBears/status/1508580376465182722/photo/1', 'display_url': 'pic.twitter.com/GhFVJe7NoE'}], 'hashtags': [{'start': 97, 'end': 108, 'tag': 'boozebears'}, {'start': 109, 'end': 129, 'tag': 'boozebearsevolution'}, {'start': 130, 'end': 134, 'tag': 'NFT'}, {'start': 135, 'end': 148, 'tag': 'NFTGiveaways'}, {'start': 149, 'end': 162, 'tag': 'NFTCommunity'}, {'start': 163, 'end': 168, 'tag': 'NFTs'}, {'start': 169, 'end': 182, 'tag': 'nftcollector'}, {'start': 183, 'end': 191, 'tag': 'NFTdrop'}]}"
1,1508565848155295745,2022-03-28 22:05:00+00:00,True,@CryptoWarhead Glad to have you apart of the Booze Cruise!,0,0,6,0,,"{'annotations': [{'start': 45, 'end': 56, 'probability': 0.3493, 'type': 'Other', 'normalized_text': 'Booze Cruise'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'CryptoWarhead', 'id': '1442099727693013002'}]}"
2,1508565714558279680,2022-03-28 22:04:28+00:00,False,"RT @CryptoWarhead: 🚨Over 95% of @BoozeBears are delisted🚨

➡️Only 161 for sale
➡️155 to 1 ETH floor (current 0.03)
➡️Literally have their o…",32,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'CryptoWarhead', 'id': '1442099727693013002'}, {'start': 32, 'end': 43, 'username': 'BoozeBears', 'id': '1468469522776850435'}]}"
3,1507905388653395972,2022-03-27 02:20:34+00:00,True,@BeardedGear @IrishTexanLive Really appreciate both of you! Congrats again!,0,0,10,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BeardedGear', 'id': '1162250154507771906'}, {'start': 13, 'end': 28, 'username': 'IrishTexanLive', 'id': '940789729456480257'}]}"
4,1507905305853669376,2022-03-27 02:20:15+00:00,False,RT @BeardedGear: Thank you so much @BoozeBears for this amazing wedding gift to @IrishTexanLive and I. We are so happy to be part of a NFT…,11,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'BeardedGear', 'id': '1162250154507771906'}, {'start': 35, 'end': 46, 'username': 'BoozeBears', 'id': '1468469522776850435'}, {'start': 80, 'end': 95, 'username': 'IrishTexanLive', 'id': '940789729456480257'}]}"
5,1507870925206683649,2022-03-27 00:03:38+00:00,False,The amount listed is unheard of! Wait till everyone sees what we have planned! #evolution👀 https://t.co/lc5LA6gVms,41,17,63,3,{'media_keys': ['7_1507870910308515843']},"{'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/lc5LA6gVms', 'expanded_url': 'https://twitter.com/BoozeBears/status/1507870925206683649/video/1', 'display_url': 'pic.twitter.com/lc5LA6gVms'}], 'hashtags': [{'start': 79, 'end': 89, 'tag': 'evolution'}]}"
6,1507446434542456832,2022-03-25 19:56:51+00:00,False,SWEEP PARTY TONIGHT! We are giving away $100 in ETH to someone who sweeps during the party! #BoozeBears #BoozeBearsEvolution #NFTGiveaway #NFTs #NFTGiveaway #NFTCommunity https://t.co/Ie1rYe7RfK,15,6,29,3,{'media_keys': ['7_1507446399599738883']},"{'urls': [{'start': 171, 'end': 194, 'url': 'https://t.co/Ie1rYe7RfK', 'expanded_url': 'https://twitter.com/BoozeBears/status/1507446434542456832/video/1', 'display_url': 'pic.twitter.com/Ie1rYe7RfK'}], 'hashtags': [{'start': 92, 'end': 103, 'tag': 'BoozeBears'}, {'start': 104, 'end': 124, 'tag': 'BoozeBearsEvolution'}, {'start': 125, 'end': 137, 'tag': 'NFTGiveaway'}, {'start': 138, 'end': 143, 'tag': 'NFTs'}, {'start': 144, 'end': 156, 'tag': 'NFTGiveaway'}, {'start': 157, 'end': 170, 'tag': 'NFTCommunity'}]}"
7,1507432403777687554,2022-03-25 19:01:06+00:00,True,@CryptoWarhead Time will tell!!!!,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'CryptoWarhead', 'id': '1442099727693013002'}]}"
8,1506758616333778945,2022-03-23 22:23:43+00:00,False,Something’s Happening…. #BoozeBears #BoozeBearsEvolution #NFTGiveaways #NFTCollection #NFTdrop #NFTProject https://t.co/KeHihOJDTO,44,15,75,3,{'media_keys': ['7_1506758544216911875']},"{'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/KeHihOJDTO', 'expanded_url': 'https://twitter.com/BoozeBears/status/1506758616333778945/video/1', 'display_url': 'pic.twitter.com/KeHihOJDTO'}], 'hashtags': [{'start': 24, 'end': 35, 'tag': 'BoozeBears'}, {'start': 36, 'end': 56, 'tag': 'BoozeBearsEvolution'}, {'start': 57, 'end': 70, 'tag': 'NFTGiveaways'}, {'start': 71, 'end': 85, 'tag': 'NFTCollection'}, {'start': 86, 'end': 94, 'tag': 'NFTdrop'}, {'start': 95, 'end': 106, 'tag': 'NFTProject'}]}"
9,1506697124313927683,2022-03-23 18:19:22+00:00,False,RT @ArcherMeditate: @CryptoPhil_ @BoozeBears - won't be below 0.5 ETH for long - Just announced EVOLUTION. Genesis Booze Bears never burn..…,7,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'ArcherMeditate', 'id': '2360209706'}, {'start': 20, 'end': 32, 'username': 'CryptoPhil_', 'id': '944552820031750144'}, {'start': 33, 'end': 44, 'username': 'BoozeBears', 'id': '1468469522776850435'}]}"
10,1506357812087119883,2022-03-22 19:51:03+00:00,True,@deerockmusicc @OldRowOfficial We want a booze bear set 😎🐻,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'deerockmusicc', 'id': '1361698791175294978'}, {'start': 15, 'end': 30, 'username': 'OldRowOfficial', 'id': '194272236'}]}"
11,1506357440895401986,2022-03-22 19:49:35+00:00,True,@deerockmusicc @OldRowOfficial open dm!,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'deerockmusicc', 'id': '1361698791175294978'}, {'start': 15, 'end': 30, 'username': 'OldRowOfficial', 'id': '194272236'}]}"
