,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508624417810644993,2022-03-29 01:57:44+00:00,False,THE FIRST CATBLOX SUPPER CLUB STARTS #M3OW  🍽 https://t.co/n2pvQQJShb,26,20,100,0,{'media_keys': ['3_1508624411171049475']},"{'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/n2pvQQJShb', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1508624417810644993/photo/1', 'display_url': 'pic.twitter.com/n2pvQQJShb'}], 'hashtags': [{'start': 37, 'end': 42, 'tag': 'M3OW'}]}"
1,1508464959520272391,2022-03-28 15:24:06+00:00,False,"We're giving away 1 FREE CATBLOX NFT to celebrate one of our founders winning an Oscar last night + our first CatBlox Supper Club tonight 🎉 

To enter:🎁

🔁 Retweet 
🐱 Tag 3 cats 
👀 Follow us @CatBloxStudios 

Winner chosen in 48 hours ⏳ https://t.co/jRSD0oZ5iK",3480,3355,3250,41,{'media_keys': ['3_1508464957679042560']},"{'urls': [{'start': 237, 'end': 260, 'url': 'https://t.co/jRSD0oZ5iK', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1508464959520272391/photo/1', 'display_url': 'pic.twitter.com/jRSD0oZ5iK'}], 'mentions': [{'start': 191, 'end': 206, 'username': 'CatBloxStudios', 'id': '1473094376775512064'}]}"
2,1508292204535508998,2022-03-28 03:57:38+00:00,False,"One of our founders @Wolffleetwood is now a 2022 ACADEMY AWARD WINNER!!! 🎉

His company produced the Best Animated Short: ‘The Windshield Wiper’ 🎬

We are so proud! Check it out below👇🏼 

https://t.co/MLul3TLKtL

#Oscars",202,54,481,18,,"{'urls': [{'start': 188, 'end': 211, 'url': 'https://t.co/MLul3TLKtL', 'expanded_url': 'https://youtu.be/i8MQl7vCkMQ', 'display_url': 'youtu.be/i8MQl7vCkMQ'}], 'hashtags': [{'start': 213, 'end': 220, 'tag': 'Oscars'}], 'annotations': [{'start': 124, 'end': 143, 'probability': 0.4728, 'type': 'Other', 'normalized_text': 'The Windshield Wiper'}], 'mentions': [{'start': 20, 'end': 34, 'username': 'Wolffleetwood', 'id': '907774482936340480'}]}"
3,1508247989218775047,2022-03-28 01:01:57+00:00,False,"Tomorrow marks our first CatBlox Supper Club 🍽

We are so excited to get to meet some of our amazing holders face-to-face 🤝

Going to be an amazing evening filled with culinary delights, ambiance &amp; alpha 🔥 https://t.co/amLifXcCp5",51,24,269,1,{'media_keys': ['3_1508247983527063552']},"{'urls': [{'start': 210, 'end': 233, 'url': 'https://t.co/amLifXcCp5', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1508247989218775047/photo/1', 'display_url': 'pic.twitter.com/amLifXcCp5'}], 'annotations': [{'start': 25, 'end': 43, 'probability': 0.2678, 'type': 'Other', 'normalized_text': 'CatBlox Supper Club'}]}"
4,1508121176840675329,2022-03-27 16:38:02+00:00,False,"GM!☀️

Anyone else already looking forward to a cat nap?💤 #M3OW",47,28,258,0,,"{'hashtags': [{'start': 58, 'end': 63, 'tag': 'M3OW'}]}"
5,1507802505966620675,2022-03-26 19:31:45+00:00,False,"If you look closely, here’s a clue for our @PUMA x CatBlox wearable… 

All Genesis holders get this limited edition piece for FREE! 🙀

Any guesses? 👀 https://t.co/hyJAaFGlql",169,107,531,12,{'media_keys': ['3_1507802503059935233']},"{'urls': [{'start': 150, 'end': 173, 'url': 'https://t.co/hyJAaFGlql', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1507802505966620675/photo/1', 'display_url': 'pic.twitter.com/hyJAaFGlql'}], 'mentions': [{'start': 43, 'end': 48, 'username': 'PUMA', 'id': '50883209'}]}"
6,1507757452279775232,2022-03-26 16:32:44+00:00,False,"A purr-fect weekend activity😼

Kicking off in 90 minutes 🕒 https://t.co/qbkK11KTPn",24,3,123,1,,"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/qbkK11KTPn', 'expanded_url': 'https://twitter.com/catbloxstudios/status/1507378043349716993', 'display_url': 'twitter.com/catbloxstudios…'}]}"
7,1507498104563527689,2022-03-25 23:22:10+00:00,False,"Here’s your first look at early renders for two of this season’s Studio cats 👀

These cats are 1/1s and can be unlocked by staking ANY of your Genesis cats 🔥

These are only for Genesis holders and &lt;100 will get the chance to swap a common cat for these seasonal masterpieces🤤 https://t.co/BbIB5bIom0",216,75,571,16,"{'media_keys': ['3_1507498098842484739', '3_1507498098846691334']}","{'urls': [{'start': 280, 'end': 303, 'url': 'https://t.co/BbIB5bIom0', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1507498104563527689/photo/1', 'display_url': 'pic.twitter.com/BbIB5bIom0'}, {'start': 280, 'end': 303, 'url': 'https://t.co/BbIB5bIom0', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1507498104563527689/photo/1', 'display_url': 'pic.twitter.com/BbIB5bIom0'}]}"
8,1507463490520330240,2022-03-25 21:04:38+00:00,False,"Season 1: The Awakening weeks 1-3 key dates 👀

Note that our @PUMA x CatBlox wearable, Studio Cat drop, Puma capsule dates and so much more haven’t been revealed yet 🔥

Happy Friday 🎉 #M3OW https://t.co/cimKJlzWch",154,23,336,11,{'media_keys': ['3_1507463485214453766']},"{'urls': [{'start': 190, 'end': 213, 'url': 'https://t.co/cimKJlzWch', 'expanded_url': 'https://twitter.com/CatBloxStudios/status/1507463490520330240/photo/1', 'display_url': 'pic.twitter.com/cimKJlzWch'}], 'hashtags': [{'start': 184, 'end': 189, 'tag': 'M3OW'}], 'annotations': [{'start': 10, 'end': 22, 'probability': 0.4971, 'type': 'Other', 'normalized_text': 'The Awakening'}], 'mentions': [{'start': 61, 'end': 66, 'username': 'PUMA', 'id': '50883209'}]}"
9,1507378043349716993,2022-03-25 15:25:05+00:00,False,"Join us this Saturday 3/26 at 11:00am PT for The Awakening: Soundbath, a live music, special meditation experience to celebrate the launch of our first season. 😌

Beginners welcome. See you then! #M3OW",56,7,196,5,,"{'hashtags': [{'start': 196, 'end': 201, 'tag': 'M3OW'}]}"
