,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508384916345655305,2022-03-28 10:06:03+00:00,False,wen party? 👀,84,68,409,3,,
1,1507707192128020483,2022-03-26 13:13:01+00:00,False,This super rare rainbow sweatband was introduced in the Carnival bath party. Come party with the ducks to unlock new traits! https://t.co/RKEz8FhiOn,72,31,332,1,{'media_keys': ['3_1507707188466393091']},"{'urls': [{'start': 125, 'end': 148, 'url': 'https://t.co/RKEz8FhiOn', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1507707192128020483/photo/1', 'display_url': 'pic.twitter.com/RKEz8FhiOn'}]}"
2,1507030998202077190,2022-03-24 16:26:03+00:00,False,show us your toughest ducks! https://t.co/rAcBrC5qXO,40,79,245,1,"{'media_keys': ['3_1507030983018795011', '3_1507030983123558402']}","{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/rAcBrC5qXO', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1507030998202077190/photo/1', 'display_url': 'pic.twitter.com/rAcBrC5qXO'}, {'start': 29, 'end': 52, 'url': 'https://t.co/rAcBrC5qXO', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1507030998202077190/photo/1', 'display_url': 'pic.twitter.com/rAcBrC5qXO'}]}"
3,1506953355243003906,2022-03-24 11:17:32+00:00,True,"@ilyakazakov @Jishai @thegalshir @LazyLizzyyyy You rock it, Ilya!",0,0,8,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'ilyakazakov', 'id': '606446812'}, {'start': 13, 'end': 20, 'username': 'Jishai', 'id': '186957728'}, {'start': 21, 'end': 32, 'username': 'thegalshir', 'id': '2438767100'}, {'start': 33, 'end': 46, 'username': 'LazyLizzyyyy', 'id': '2693280456'}], 'annotations': [{'start': 60, 'end': 63, 'probability': 0.8628, 'type': 'Person', 'normalized_text': 'Ilya'}]}"
4,1506953320237346823,2022-03-24 11:17:24+00:00,False,"RT @ilyakazakov: Duck beanie received! 
Thank you @RubberDuckBP 🙇‍♂️ https://t.co/9TFrXHLXV4",14,0,0,0,{'media_keys': ['3_1506949350114668546']},"{'mentions': [{'start': 3, 'end': 15, 'username': 'ilyakazakov', 'id': '606446812'}, {'start': 50, 'end': 63, 'username': 'RubberDuckBP', 'id': '1451875170004647936'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/9TFrXHLXV4', 'expanded_url': 'https://twitter.com/ilyakazakov/status/1506949354950692867/photo/1', 'display_url': 'pic.twitter.com/9TFrXHLXV4'}]}"
5,1506387690534674434,2022-03-22 21:49:47+00:00,False,welcome @ijustine! 💛 https://t.co/y80sLfEgUO,150,88,552,4,{'media_keys': ['3_1506387102069575685']},"{'mentions': [{'start': 8, 'end': 17, 'username': 'ijustine', 'id': '7846'}], 'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/y80sLfEgUO', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1506387690534674434/photo/1', 'display_url': 'pic.twitter.com/y80sLfEgUO'}]}"
6,1506055360959950849,2022-03-21 23:49:13+00:00,False,"well, that was a crazy bath party! 💛 https://t.co/FOEPs42xcR",121,36,473,9,{'media_keys': ['3_1506054701288239109']},"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/FOEPs42xcR', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1506055360959950849/photo/1', 'display_url': 'pic.twitter.com/FOEPs42xcR'}]}"
7,1505947393358979080,2022-03-21 16:40:12+00:00,False,"Duckies are back home! 💛 If you sent your duck to the bath party, you can now see its new version live on OpenSea. Show us what happened to you duck! https://t.co/pykYrvokhJ",83,92,352,8,{'media_keys': ['7_1505946849106178050']},"{'urls': [{'start': 150, 'end': 173, 'url': 'https://t.co/pykYrvokhJ', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1505947393358979080/video/1', 'display_url': 'pic.twitter.com/pykYrvokhJ'}], 'annotations': [{'start': 107, 'end': 113, 'probability': 0.2823, 'type': 'Other', 'normalized_text': 'OpenSea'}]}"
8,1505909854220734469,2022-03-21 14:11:02+00:00,False,"DOORS ARE CLOSED! 💛 

The lights are off now and the Carnival bath party is over. In an hour or two, your ducks will come home and we'll push a metadata update to everyone who attended the party. Thank you!",97,52,451,4,,
9,1505893554824130560,2022-03-21 13:06:16+00:00,False,One hour left to enter the bath party! https://t.co/fvF2dVsFxS,31,9,160,0,,"{'urls': [{'start': 39, 'end': 62, 'url': 'https://t.co/fvF2dVsFxS', 'expanded_url': 'https://duck.art/party', 'display_url': 'duck.art/party'}]}"
