,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508620443745660928,2022-03-29 01:41:57+00:00,False,"Thank you to our core dev team @SignorCrypto @Olmost95 and all that you do for Sad Bots (and the wider NFT space). Without you, this wouldn't be possible ❤ 

We love the Signor Crypto 🤖🥰",4,1,11,0,,"{'mentions': [{'start': 31, 'end': 44, 'username': 'SignorCrypto', 'id': '1392851484975509508'}, {'start': 45, 'end': 54, 'username': 'Olmost95', 'id': '1465631658128912385'}]}"
1,1508494985234370565,2022-03-28 17:23:25+00:00,False,"GMM

Reminder that whatever this week throws at you, you’re gonna smash it 🥊🥊",4,1,22,0,,
2,1508469984628195333,2022-03-28 15:44:05+00:00,False,"🤖 Sad Bots X Crocodoods 🐊

We're happy to announce a collaboration with the Crocodoods!
To celebrate that, we are giving away:

2 x Doodlists (WL)

To enter:

✅ Follow @SadBotsNFT  &amp; @crocodood 
✅ Like and Retweet!  
✅ Tag 3 doods

Good luck! 
⏰ 24 hrs https://t.co/JkylLxs5oX",897,881,929,5,{'media_keys': ['3_1508469792831078403']},"{'urls': [{'start': 257, 'end': 280, 'url': 'https://t.co/JkylLxs5oX', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1508469984628195333/photo/1', 'display_url': 'pic.twitter.com/JkylLxs5oX'}], 'mentions': [{'start': 168, 'end': 179, 'username': 'SadBotsNFT', 'id': '1460134658004324352'}, {'start': 187, 'end': 197, 'username': 'crocodood', 'id': '1499585467670482957'}]}"
3,1508110745359482882,2022-03-27 15:56:35+00:00,False,GM ☀️ How are you using this Sunday to reset? ❤️,2,2,22,0,,
4,1508101495925133315,2022-03-27 15:19:50+00:00,False,"𝚙𝚛𝚒𝚗𝚝(“𝙶𝙼, 𝚆𝚘𝚛𝚕𝚍!”)",8,14,36,0,,
5,1507947948730032131,2022-03-27 05:09:41+00:00,True,"@shinobibunnynft Winners 🏆
• @giselle_yx
• @anuoluwa_x
• @HTAO98
• @f3abigwin
• @jhkanko

Congratulations! 🎉 You will receive a DM with further details on how to claim your WL spot! https://t.co/bEznkWSIWN",1,2,8,0,{'media_keys': ['3_1507947934402326535']},"{'urls': [{'start': 182, 'end': 205, 'url': 'https://t.co/bEznkWSIWN', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1507947948730032131/photo/1', 'display_url': 'pic.twitter.com/bEznkWSIWN'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'shinobibunnynft', 'id': '1491789188047400974'}, {'start': 29, 'end': 40, 'username': 'giselle_yx', 'id': '163563861'}, {'start': 43, 'end': 54, 'username': 'anuoluwa_x', 'id': '394978857'}, {'start': 57, 'end': 64, 'username': 'HTAO98', 'id': '939991388955074560'}, {'start': 67, 'end': 77, 'username': 'f3abigwin', 'id': '1365517873687371777'}, {'start': 80, 'end': 88, 'username': 'jhkanko', 'id': '1449392547550285828'}]}"
6,1507564479886032897,2022-03-26 03:45:55+00:00,False,"🥷 Shinobi Bunny NFT x Sad Bots 🤖

5 x WL Giveaway! 🎁

7,777 Shinobi bunnies taking over 🔥

1⃣ Follow @shinobibunnynft &amp; @SadBotsNFT 
2⃣ Like and re-tweet! ❤️
3⃣ Join their discord! https://t.co/QVPLmHsifY

⏰24 hours, good luck! 🍀 https://t.co/0YoOJp3dv2",192,85,236,0,{'media_keys': ['3_1507564422017216522']},"{'urls': [{'start': 185, 'end': 208, 'url': 'https://t.co/QVPLmHsifY', 'expanded_url': 'https://discord.gg/bMduKutfC9', 'display_url': 'discord.gg/bMduKutfC9'}, {'start': 234, 'end': 257, 'url': 'https://t.co/0YoOJp3dv2', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1507564479886032897/photo/1', 'display_url': 'pic.twitter.com/0YoOJp3dv2'}], 'mentions': [{'start': 101, 'end': 117, 'username': 'shinobibunnynft', 'id': '1491789188047400974'}, {'start': 124, 'end': 135, 'username': 'SadBotsNFT', 'id': '1460134658004324352'}]}"
7,1507465262794444801,2022-03-25 21:11:40+00:00,True,"@Cyborg86nft Winner 🏆: @ddongba_

Congratulations! 🎉 You will receive a DM with further instructions on how to claim. https://t.co/XQ8htClrYU",0,1,6,0,{'media_keys': ['3_1507465246176587776']},"{'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/XQ8htClrYU', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1507465262794444801/photo/1', 'display_url': 'pic.twitter.com/XQ8htClrYU'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'Cyborg86nft', 'id': '1470760790290489354'}, {'start': 23, 'end': 32, 'username': 'ddongba_', 'id': '1494302714117103617'}]}"
8,1507401929223069699,2022-03-25 17:00:00+00:00,False,"3D files being loaded for our holders...

@oncyber_io see you soon :) https://t.co/fbaxQLTS1d",13,5,46,1,{'media_keys': ['3_1507337712655024132']},"{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/fbaxQLTS1d', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1507401929223069699/photo/1', 'display_url': 'pic.twitter.com/fbaxQLTS1d'}], 'mentions': [{'start': 42, 'end': 53, 'username': 'oncyber_io', 'id': '1376904088177283074'}]}"
9,1507391690893836289,2022-03-25 16:19:19+00:00,False,"GM Sad Gang

Guess who…?🥸🧐 

…The weekend ! 😏

Congratulate yourself for making it through yet another week 🥳",5,1,21,0,,
10,1507127984850759692,2022-03-24 22:51:27+00:00,True,"@cubexnft @777studio_ Winners 🏆
• @andrey_nft_
• @3Q2OP
• @JoeSin96650644
• @YangYan15645789
• @salimkas35

Congratulations!!! 🎉 You will receive a DM with further details on how to claim your WL win :) https://t.co/oaEa4Ah6Je",1,2,3,0,{'media_keys': ['3_1507127960825786377']},"{'urls': [{'start': 203, 'end': 226, 'url': 'https://t.co/oaEa4Ah6Je', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1507127984850759692/photo/1', 'display_url': 'pic.twitter.com/oaEa4Ah6Je'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cubexnft', 'id': '1497758039163691015'}, {'start': 10, 'end': 21, 'username': '777studio_', 'id': '1497754968782262274'}, {'start': 34, 'end': 46, 'username': 'andrey_nft_', 'id': '1471904712408580096'}, {'start': 49, 'end': 55, 'username': '3Q2OP', 'id': '1249677097536126976'}, {'start': 58, 'end': 73, 'username': 'JoeSin96650644', 'id': '1279944119838625792'}, {'start': 76, 'end': 92, 'username': 'YangYan15645789', 'id': '1468516542443065347'}, {'start': 95, 'end': 106, 'username': 'salimkas35', 'id': '1488113308461060099'}]}"
11,1507018898042126336,2022-03-24 15:37:59+00:00,False,"GM ☕

Atticus likes to start the day with a nice warm cup of Robotsta coffee, what about you? 🌤 https://t.co/RqYmY884tr",14,10,70,0,{'media_keys': ['3_1507018891129913345']},"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/RqYmY884tr', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1507018898042126336/photo/1', 'display_url': 'pic.twitter.com/RqYmY884tr'}], 'annotations': [{'start': 6, 'end': 12, 'probability': 0.4326, 'type': 'Person', 'normalized_text': 'Atticus'}]}"
12,1506677160794333195,2022-03-23 17:00:02+00:00,False,somethings coming... #SadBots3D https://t.co/C0EXimXpbI,25,9,78,3,{'media_keys': ['7_1506503996953214977']},"{'hashtags': [{'start': 21, 'end': 31, 'tag': 'SadBots3D'}], 'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/C0EXimXpbI', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1506677160794333195/video/1', 'display_url': 'pic.twitter.com/C0EXimXpbI'}]}"
13,1506646958118739972,2022-03-23 15:00:01+00:00,False,gm say it back 🤖❤,5,22,37,0,,
