,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508604444656738320,2022-03-29 00:38:22+00:00,False,"RT @Lobes604: Set a reminder for my upcoming Space! https://t.co/UacWEnOpKe
@loserclubreborn Join myself,  @KylieDegenner and others as we…",23,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Lobes604', 'id': '744230670'}, {'start': 76, 'end': 92, 'username': 'loserclubreborn', 'id': '1488191770399760385'}, {'start': 107, 'end': 121, 'username': 'KylieDegenner', 'id': '1431389671313924098'}], 'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/UacWEnOpKe', 'expanded_url': 'https://twitter.com/i/spaces/1yoKMWBXONjJQ', 'display_url': 'twitter.com/i/spaces/1yoKM…'}]}"
1,1508603504465698821,2022-03-29 00:34:38+00:00,True,@BaldNBougie @NotYourBroNFT @fame_ladies You are beautiful 💜,1,1,7,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BaldNBougie', 'id': '1053387249176334336'}, {'start': 13, 'end': 27, 'username': 'NotYourBroNFT', 'id': '1481103597840769024'}, {'start': 28, 'end': 40, 'username': 'fame_ladies', 'id': '1425122574221017090'}]}"
2,1508602996581715971,2022-03-29 00:32:37+00:00,False,RT @codybayne: Come empty leave full . Official Unofficial NFTLA MEETUP..Specials just for us Losers .. I’m vegan and I might crossover for…,26,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'codybayne', 'id': '68644394'}]}"
3,1508508718903836674,2022-03-28 18:17:59+00:00,False,"If you are in LA tonight, join in the festivities for the unofficial Loser event🌴 

Ps. There might be a little surprise announced for the losers there 😉
.@itsjvon @LadyInvsible are excited to meet you all🥂 https://t.co/E0qNekdtpM",97,26,329,16,{'media_keys': ['3_1508508716395642884']},"{'mentions': [{'start': 155, 'end': 163, 'username': 'itsjvon', 'id': '583415381'}, {'start': 164, 'end': 177, 'username': 'LadyInvsible', 'id': '1472432195021287426'}], 'annotations': [{'start': 14, 'end': 15, 'probability': 0.956, 'type': 'Place', 'normalized_text': 'LA'}], 'urls': [{'start': 207, 'end': 230, 'url': 'https://t.co/E0qNekdtpM', 'expanded_url': 'https://twitter.com/loserclubreborn/status/1508508718903836674/photo/1', 'display_url': 'pic.twitter.com/E0qNekdtpM'}]}"
4,1508308287590215686,2022-03-28 05:01:33+00:00,False,"RT @itsjvon: met @melanie1206 &amp; @bryancalhoun tonight which was a highlight. 

🥺💜💜💜 https://t.co/6Jwf1hDzro",15,0,0,0,"{'media_keys': ['3_1508307554509631492', '3_1508307554505428994', '3_1508307554505396224']}","{'mentions': [{'start': 3, 'end': 11, 'username': 'itsjvon', 'id': '583415381'}, {'start': 17, 'end': 29, 'username': 'melanie1206', 'id': '15315146'}, {'start': 36, 'end': 49, 'username': 'bryancalhoun', 'id': '27000563'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/6Jwf1hDzro', 'expanded_url': 'https://twitter.com/itsjvon/status/1508307560180330499/photo/1', 'display_url': 'pic.twitter.com/6Jwf1hDzro'}, {'start': 88, 'end': 111, 'url': 'https://t.co/6Jwf1hDzro', 'expanded_url': 'https://twitter.com/itsjvon/status/1508307560180330499/photo/1', 'display_url': 'pic.twitter.com/6Jwf1hDzro'}, {'start': 88, 'end': 111, 'url': 'https://t.co/6Jwf1hDzro', 'expanded_url': 'https://twitter.com/itsjvon/status/1508307560180330499/photo/1', 'display_url': 'pic.twitter.com/6Jwf1hDzro'}]}"
5,1508307141626576898,2022-03-28 04:57:00+00:00,True,@NFTherder 👀,10,13,152,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'NFTherder', 'id': '1434811797807247360'}]}"
6,1508306910373728256,2022-03-28 04:56:05+00:00,False,RT @alloutofeth: Hey remember wen @itsjvon from @loserclubreborn spontaneously gave out a @loserclubreborn NFT during the @jpegprty #3 raff…,22,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'alloutofeth', 'id': '1410496613462667266'}, {'start': 34, 'end': 42, 'username': 'itsjvon', 'id': '583415381'}, {'start': 48, 'end': 64, 'username': 'loserclubreborn', 'id': '1488191770399760385'}, {'start': 90, 'end': 106, 'username': 'loserclubreborn', 'id': '1488191770399760385'}, {'start': 122, 'end': 131, 'username': 'jpegprty', 'id': '1433608505215184898'}]}"
7,1508214617721511936,2022-03-27 22:49:20+00:00,False,RT @mozz6000: @loserclubreborn a moment in history for me 🙏🏾 a pleasure to meet @itsjvon irl https://t.co/jfHd7SshaC,17,0,0,0,{'media_keys': ['3_1508197754236928005']},"{'mentions': [{'start': 3, 'end': 12, 'username': 'mozz6000', 'id': '1490404993135824898'}, {'start': 14, 'end': 30, 'username': 'loserclubreborn', 'id': '1488191770399760385'}, {'start': 80, 'end': 88, 'username': 'itsjvon', 'id': '583415381'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/jfHd7SshaC', 'expanded_url': 'https://twitter.com/mozz6000/status/1508197759723061252/photo/1', 'display_url': 'pic.twitter.com/jfHd7SshaC'}]}"
8,1507896977476005889,2022-03-27 01:47:09+00:00,False,"RT @benjamin____s: Pulled up as a winner, left as a loser. 

Loser #9059 : Pink with Anger Dad rocking rare Unicorn Cap 🦄

@loserclubreborn…",35,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'benjamin____s', 'id': '1182151163040284672'}, {'start': 123, 'end': 139, 'username': 'loserclubreborn', 'id': '1488191770399760385'}]}"
9,1507896878452645898,2022-03-27 01:46:45+00:00,False,"Welcome new Loser holders and even if you don’t hold one, you’re still apart of the crew 💜

https://t.co/foH4dLWRQi https://t.co/i60os8BzZF",23,4,119,1,,"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/foH4dLWRQi', 'expanded_url': 'https://discord.gg/loserclub', 'display_url': 'discord.gg/loserclub', 'images': [{'url': 'https://pbs.twimg.com/news_img/1505999632056287233/7vPI0ogI?format=jpg&name=orig', 'width': 512, 'height': 170}, {'url': 'https://pbs.twimg.com/news_img/1505999632056287233/7vPI0ogI?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/loserclub'}, {'start': 116, 'end': 139, 'url': 'https://t.co/i60os8BzZF', 'expanded_url': 'https://twitter.com/itsjvon/status/1507896369121357827', 'display_url': 'twitter.com/itsjvon/status…'}]}"
