,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1.50775E+18,2022-03-26 16:16:20+00:00,FALSE,"ALI &amp; His Friends🦊x Aou🐯

Here comes ALI’s new friend @aounft, group of the most powerful AouMate🐅

📢To celebrate we are giving away:
🎁5x Aou WL Spots

Follow @0xALINFT &amp; @aounft
Like + RT
Tag 3 friends https://t.co/jfvrWyHcKT",50,49,63,,{'media_keys': ['3_1507750027321511942']},"{'urls': [{'start': 211, 'end': 234, 'url': 'https://t.co/jfvrWyHcKT', 'expanded_url': 'https://twitter.com/0xALINFT/status/1507753327974440966/photo/1', 'display_url': 'pic.twitter.com/jfvrWyHcKT'}], 'mentions': [{'start': 58, 'end': 65, 'username': 'aounft', 'id': '1498536055942762499'}, {'start': 163, 'end': 172, 'username': '0xALINFT', 'id': '1473561489634037760'}, {'start': 179, 'end': 186, 'username': 'aounft', 'id': '1498536055942762499'}]}",2
1,1.50774E+18,2022-03-26 15:34:26+00:00,FALSE,RT @flyingninja1201: @0xALINFT Thanks Ali! Was fun playing! https://t.co/nUvRGkMVCT,2,0,0,,{'media_keys': ['3_1507709713651146752']},"{'annotations': [{'start': 38, 'end': 40, 'probability': 0.9205, 'type': 'Person', 'normalized_text': 'Ali'}], 'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/nUvRGkMVCT', 'expanded_url': 'https://twitter.com/flyingninja1201/status/1507709747369152519/photo/1', 'display_url': 'pic.twitter.com/nUvRGkMVCT'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'flyingninja1201', 'id': '1273464888'}, {'start': 21, 'end': 30, 'username': '0xALINFT', 'id': '1473561489634037760'}]}",0
2,1.50771E+18,2022-03-26 13:07:12+00:00,FALSE,"📢What a journey! The top 10 NFT prizes have all been distributed! Check your wallet. 
❤️Congrats to all winners. You guys deserve it! Ali hopes every one of you enjoys the hunt.🙌 https://t.co/c0J4ugSeq7",8,5,17,,,"{'annotations': [{'start': 135, 'end': 137, 'probability': 0.7761, 'type': 'Person', 'normalized_text': 'Ali'}], 'urls': [{'start': 179, 'end': 202, 'url': 'https://t.co/c0J4ugSeq7', 'expanded_url': 'https://twitter.com/0xALINFT/status/1505925393802416130', 'display_url': 'twitter.com/0xALINFT/statu…'}]}",0
3,1.50667E+18,2022-03-23 16:14:16+00:00,TRUE,"@NFTSHOUNEN Winners 🏆
• @seiiibb3176
• @xiaoluo0205
• @Lsong39838321
• @angelicacascia1
• @MagbulosReggie

✔️ https://t.co/xieRLKi0fg
Please DM ALI your Discord ID and ETH Wallet address with proof.",1,4,9,,,"{'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/xieRLKi0fg', 'expanded_url': 'https://twitterpicker.com/d/af8fw5a8', 'display_url': 'twitterpicker.com/d/af8fw5a8'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'NFTSHOUNEN', 'id': '568946493'}, {'start': 24, 'end': 36, 'username': 'seiiibb3176', 'id': '893832080844443653'}, {'start': 39, 'end': 51, 'username': 'xiaoluo0205', 'id': '1479797278957207552'}, {'start': 54, 'end': 68, 'username': 'Lsong39838321', 'id': '844191361284759552'}, {'start': 71, 'end': 87, 'username': 'angelicacascia1', 'id': '1392476266696253440'}, {'start': 90, 'end': 105, 'username': 'MagbulosReggie', 'id': '1485935624570175495'}]}",0
4,1.50626E+18,2022-03-22 13:19:38+00:00,FALSE,"Chapter 2 just unlocked, have you noticed any changes on our Twitter?👀Use as much recourse as possible.📹📺Share your thoughts down below.❤️ https://t.co/c0J4ugSeq7",19,14,40,,,"{'annotations': [{'start': 61, 'end': 67, 'probability': 0.8082, 'type': 'Product', 'normalized_text': 'Twitter'}], 'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/c0J4ugSeq7', 'expanded_url': 'https://twitter.com/0xALINFT/status/1505925393802416130', 'display_url': 'twitter.com/0xALINFT/statu…'}]}",4
5,1.50593E+18,2022-03-21 15:12:47+00:00,FALSE,"📢Chapter 1 has just been unlocked. Complete 5 chapters' quests to claim your grand final prize.😍 
❤️More details in https://t.co/b88oc6cXp0 https://t.co/xoUnHVRd1c",36,14,57,,{'media_keys': ['3_1505924595567628299']},"{'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/b88oc6cXp0', 'expanded_url': 'https://discord.gg/alinft', 'display_url': 'discord.gg/alinft'}, {'start': 140, 'end': 163, 'url': 'https://t.co/xoUnHVRd1c', 'expanded_url': 'https://twitter.com/0xALINFT/status/1505925393802416130/photo/1', 'display_url': 'pic.twitter.com/xoUnHVRd1c'}]}",4
6,1.50487E+18,2022-03-18 17:15:41+00:00,TRUE,@NFTSHOUNEN Tons of other WL spots rewards will be included from Treasure Hunt👀,7,4,41,,,"{'annotations': [{'start': 65, 'end': 77, 'probability': 0.5777, 'type': 'Other', 'normalized_text': 'Treasure Hunt'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'NFTSHOUNEN', 'id': '568946493'}]}",0
7,1.50487E+18,2022-03-18 17:12:25+00:00,FALSE,"🦊 ALINFT x SHOUNEN

📢To celebrate we are giving away:
🎁5x SHOUNEN WL Spots

Follow @0xALINFT &amp; @NFTSHOUNEN
Like + RT
Tag 3 friends

Winners in 24 hours. Good luck everyone! 🤞 https://t.co/fwchmiClxw",465,441,489,,{'media_keys': ['3_1504868165846589445']},"{'urls': [{'start': 179, 'end': 202, 'url': 'https://t.co/fwchmiClxw', 'expanded_url': 'https://twitter.com/0xALINFT/status/1504868336856809473/photo/1', 'display_url': 'pic.twitter.com/fwchmiClxw'}], 'mentions': [{'start': 83, 'end': 92, 'username': '0xALINFT', 'id': '1473561489634037760'}, {'start': 99, 'end': 110, 'username': 'NFTSHOUNEN', 'id': '568946493'}]}",7
8,1.50485E+18,2022-03-18 16:17:27+00:00,FALSE,"RT @Jarticul: Practically one of the Best Team in the NFT space @0xALINFT 
Under Promise over Deliver!
I can’t wait for the Treasure Hunttt…",7,0,0,,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Jarticul', 'id': '3852058247'}, {'start': 64, 'end': 73, 'username': '0xALINFT', 'id': '1473561489634037760'}]}",0
9,1.50485E+18,2022-03-18 16:12:24+00:00,FALSE,"📢We just did a reveal for our upcoming Treasure Hunt winner! He will be joining the #BAKC family with this cutie. 🦊❤️🐶
🎁More rewards are on the way! Share the news now! https://t.co/2XuckwbS9h https://t.co/V9TRygBWxK",51,19,85,,{'media_keys': ['3_1504852481389391874']},"{'hashtags': [{'start': 84, 'end': 89, 'tag': 'BAKC'}], 'annotations': [{'start': 40, 'end': 52, 'probability': 0.7738, 'type': 'Other', 'normalized_text': 'Treasure Hunt'}], 'urls': [{'start': 169, 'end': 192, 'url': 'https://t.co/2XuckwbS9h', 'expanded_url': 'https://twitter.com/0xALINFT/status/1504853232786366465/photo/1', 'display_url': 'pic.twitter.com/2XuckwbS9h'}, {'start': 193, 'end': 216, 'url': 'https://t.co/V9TRygBWxK', 'expanded_url': 'https://twitter.com/0xALINFT/status/1504120941273526274', 'display_url': 'twitter.com/0xALINFT/statu…'}]}",5
