,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508456307879288833,2022-03-28 14:49:44+00:00,False,"RT @The_RebelOne: Just sent over this completed Custom @Alleykatznft Deck for @ItsJust09.

 These are so much fun to make! 

For anyone int…",6,0,0,,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'The_RebelOne', 'id': '1433151549526532096'}, {'start': 55, 'end': 68, 'username': 'Alleykatznft', 'id': '1456007747892301826'}, {'start': 78, 'end': 88, 'username': 'ItsJust09', 'id': '1472666476314304519'}]}",0.0
1,1508456122709159936,2022-03-28 14:49:00+00:00,False,Gᗰ ᗩK ᖴᗩᗰ,9,8,40,,,,0.0
2,1508258852663398401,2022-03-28 01:45:07+00:00,False,RT @Ryan_dgen: Where my AK family at? @Alleykatznft https://t.co/B0zNY0ubtc,12,0,0,,"{'media_keys': ['3_1508179477431468044', '3_1508179548365627402', '3_1508179554254340101', '3_1508179583597744131']}","{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/B0zNY0ubtc', 'expanded_url': 'https://twitter.com/Ryan_dgen/status/1508179706134339591/photo/1', 'display_url': 'pic.twitter.com/B0zNY0ubtc'}, {'start': 52, 'end': 75, 'url': 'https://t.co/B0zNY0ubtc', 'expanded_url': 'https://twitter.com/Ryan_dgen/status/1508179706134339591/photo/1', 'display_url': 'pic.twitter.com/B0zNY0ubtc'}, {'start': 52, 'end': 75, 'url': 'https://t.co/B0zNY0ubtc', 'expanded_url': 'https://twitter.com/Ryan_dgen/status/1508179706134339591/photo/1', 'display_url': 'pic.twitter.com/B0zNY0ubtc'}, {'start': 52, 'end': 75, 'url': 'https://t.co/B0zNY0ubtc', 'expanded_url': 'https://twitter.com/Ryan_dgen/status/1508179706134339591/photo/1', 'display_url': 'pic.twitter.com/B0zNY0ubtc'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'Ryan_dgen', 'id': '1434263995024805892'}, {'start': 38, 'end': 51, 'username': 'Alleykatznft', 'id': '1456007747892301826'}]}",0.0
3,1508157232818671616,2022-03-27 19:01:19+00:00,False,"Rumbles royals going live in the Alley! 
AK prizes

https://t.co/0hkIzINKqJ",3,0,9,,,"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/0hkIzINKqJ', 'expanded_url': 'https://discord.gg/pKqgsnMFpf', 'display_url': 'discord.gg/pKqgsnMFpf'}]}",0.0
4,1508133252359499779,2022-03-27 17:26:01+00:00,False,its true 😎 https://t.co/FnshVCgwav,15,1,42,,,"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/FnshVCgwav', 'expanded_url': 'https://twitter.com/NiftyCoolCat/status/1508132485317771271', 'display_url': 'twitter.com/NiftyCoolCat/s…'}]}",0.0
5,1508119690824105987,2022-03-27 16:32:08+00:00,False,"YOU KNOW WHAT TIME IT IS? RUMBBBBBLE TIME!!!!
Rumbles in our discord at 2pm CST with prizes again!
https://t.co/0hkIzINKqJ

#NFTGiveaways #NFTCommuntiy",6,3,16,,,"{'hashtags': [{'start': 124, 'end': 137, 'tag': 'NFTGiveaways'}, {'start': 138, 'end': 151, 'tag': 'NFTCommuntiy'}], 'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/0hkIzINKqJ', 'expanded_url': 'https://discord.gg/pKqgsnMFpf', 'display_url': 'discord.gg/pKqgsnMFpf'}]}",0.0
6,1508119175935447053,2022-03-27 16:30:05+00:00,False,G͓̽M͓̽ ͓̽A͓̽K͓̽ ͓̽F͓̽A͓̽M͓̽,8,6,38,,,,0.0
7,1507805988425977858,2022-03-26 19:45:35+00:00,False,RT @peyjoniETH: @Alleykatznft just got his bad boy on the FLOOR??? 🔥 https://t.co/DcEnNQSVRr,6,0,0,,{'media_keys': ['3_1507796152778903568']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/DcEnNQSVRr', 'expanded_url': 'https://twitter.com/peyjoniETH/status/1507796374141685760/photo/1', 'display_url': 'pic.twitter.com/DcEnNQSVRr'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'peyjoniETH', 'id': '1497638968640348160'}, {'start': 16, 'end': 29, 'username': 'Alleykatznft', 'id': '1456007747892301826'}]}",0.0
8,1507795612368048138,2022-03-26 19:04:22+00:00,False,RT @Quinoa_NFT: Today is payday!! You know what that means? Another undervalued kat! What do you guys think? #AlleyKatz #AlleyKatzNFT #NoSt…,13,0,0,,,"{'hashtags': [{'start': 109, 'end': 119, 'tag': 'AlleyKatz'}, {'start': 120, 'end': 133, 'tag': 'AlleyKatzNFT'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Quinoa_NFT', 'id': '1440837485081227270'}]}",0.0
9,1507795283429703682,2022-03-26 19:03:03+00:00,False,Drop your fav @Alleykatznft 👇,13,40,62,,,"{'mentions': [{'start': 14, 'end': 27, 'username': 'Alleykatznft', 'id': '1456007747892301826'}]}",0.0
