,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508526158471737352,2022-03-28 19:27:17+00:00,True,"🍬We leaked a sketch of The Maker.

🍬Marketing is our priority and we're working behind the scenes to implement a Marketing Strategy in the upcoming days.

We will be posting updates every Monday after our Sweet Talk. 

🧵 3/3",5,0,19,,,"{'annotations': [{'start': 24, 'end': 32, 'probability': 0.3523, 'type': 'Organization', 'normalized_text': 'The Maker'}]}",0.0
1,1508526157037068288,2022-03-28 19:27:17+00:00,True,"🍬Confirmed that Sweetopia is going to be composed of mini games. 

🍬We're looking to expand the team from within the community first, still some positions open looking for applications.

🍬Confirmed the next Curated Candy artist is @fors_nft 

🧵 2/3",5,2,22,,,"{'annotations': [{'start': 17, 'end': 25, 'probability': 0.54, 'type': 'Person', 'normalized_text': 'Sweetopia'}], 'mentions': [{'start': 231, 'end': 240, 'username': 'fors_nft', 'id': '1392401271911501825'}]}",0.0
2,1508526154097045512,2022-03-28 19:27:16+00:00,False,"#CandyCrew thank you for being present in our Friday's Sweet Talk.  

Here's a summary on the updates to our roadmap:

🍬 NFTWorld builder has been chosen. Agreement with the builder is in progress. 

🍬Candy Hunters NFTWorld is staked and earning $WRLD today.

🧵 1/3 https://t.co/mIEJ11IAbN",25,7,55,,{'media_keys': ['3_1508517936302022665']},"{'urls': [{'start': 266, 'end': 289, 'url': 'https://t.co/mIEJ11IAbN', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1508526154097045512/photo/1', 'display_url': 'pic.twitter.com/mIEJ11IAbN'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'CandyCrew'}], 'cashtags': [{'start': 246, 'end': 251, 'tag': 'WRLD'}]}",2.0
3,1508459579855847433,2022-03-28 15:02:44+00:00,False,"gm #candycrew

Hold on to your butts, this week is going to be sweet.",19,10,89,,,"{'hashtags': [{'start': 3, 'end': 13, 'tag': 'candycrew'}]}",1.0
4,1507740132354539521,2022-03-26 15:23:54+00:00,False,"RT @mfriendsnft: We love our candy friends at the @CandyHuntersNFT 💜🍭

Excited to collab with fun people. 

Come have fun with us https://t…",10,0,0,,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'mfriendsnft', 'id': '1497953299764584455'}, {'start': 50, 'end': 66, 'username': 'CandyHuntersNFT', 'id': '1455157323161296897'}]}",0.0
5,1507415378930323457,2022-03-25 17:53:27+00:00,True,@SimplyVenom Happy Birthday! https://t.co/7Ue61bYALu,0,0,1,,{'media_keys': ['16_1507415372395425801']},"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/7Ue61bYALu', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1507415378930323457/photo/1', 'display_url': 'pic.twitter.com/7Ue61bYALu'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'SimplyVenom', 'id': '3864063623'}]}",0.0
6,1507378793115234310,2022-03-25 15:28:04+00:00,True,"#candycrew Hunters Got Talent! 

Congratulations to our Sweet Meme Contest Winners! 🥳

🍬 1st place: Candy Hunter #3404 @nftSugabebeh
🍬 2nd place: 5,000 Candies (for Gumball) @theoneclair
🍬 Team Choice:  2,500 Candies (for Gumball) @Brotractor",3,1,7,,,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'candycrew'}], 'mentions': [{'start': 119, 'end': 132, 'username': 'nftSugabebeh', 'id': '2436855762'}, {'start': 174, 'end': 186, 'username': 'theoneclair', 'id': '1493392624610418688'}, {'start': 231, 'end': 242, 'username': 'Brotractor', 'id': '15909188'}]}",0.0
7,1507356957644107793,2022-03-25 14:01:18+00:00,False,"SWEET TALK LIVE! 🎙

Come talk with the Candy Team in this hangout sesh NOW on our discord!

https://t.co/bojqGPXuXJ https://t.co/l6hby5PuC1",4,1,34,,{'media_keys': ['3_1507356858771718147']},"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/bojqGPXuXJ', 'expanded_url': 'http://discord.gg/candyhuntersnft', 'display_url': 'discord.gg/candyhuntersnft'}, {'start': 116, 'end': 139, 'url': 'https://t.co/l6hby5PuC1', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1507356957644107793/photo/1', 'display_url': 'pic.twitter.com/l6hby5PuC1'}]}",0.0
8,1507092086725787654,2022-03-24 20:28:48+00:00,False,"Hey #candycrew this weeks Sweet Talk will be taking place in our Discord! 

Come hang out with the team in a more informal hangout sesh tomorrow 03/25 at 10:00am EST

https://t.co/bojqGPXuXJ https://t.co/wQXIsuNcA8",13,4,40,,{'media_keys': ['3_1507092045709684749']},"{'urls': [{'start': 167, 'end': 190, 'url': 'https://t.co/bojqGPXuXJ', 'expanded_url': 'http://discord.gg/candyhuntersnft', 'display_url': 'discord.gg/candyhuntersnft'}, {'start': 191, 'end': 214, 'url': 'https://t.co/wQXIsuNcA8', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1507092086725787654/photo/1', 'display_url': 'pic.twitter.com/wQXIsuNcA8'}], 'hashtags': [{'start': 4, 'end': 14, 'tag': 'candycrew'}]}",1.0
9,1507083130519363588,2022-03-24 19:53:13+00:00,False,"#candycrew our friends at  @lolpopsnft are giving 5 pre-sales spots to our #NFTCommmunity !

🎉5 pre-sale spots - Ends in 24hrs ⏰ 

To enter:
✅Follow @CandyHuntersNFT &amp; @lolpopsnft
✅RT &amp; like, tag 3 frens

#NFT #NFTGiveaways https://t.co/sAKAgGldPz",18,12,27,,{'media_keys': ['16_1507082971894976513']},"{'urls': [{'start': 232, 'end': 255, 'url': 'https://t.co/sAKAgGldPz', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1507083130519363588/photo/1', 'display_url': 'pic.twitter.com/sAKAgGldPz'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'candycrew'}, {'start': 75, 'end': 89, 'tag': 'NFTCommmunity'}, {'start': 213, 'end': 217, 'tag': 'NFT'}, {'start': 218, 'end': 231, 'tag': 'NFTGiveaways'}], 'mentions': [{'start': 27, 'end': 38, 'username': 'lolpopsnft', 'id': '1449041855425941508'}, {'start': 149, 'end': 165, 'username': 'CandyHuntersNFT', 'id': '1455157323161296897'}, {'start': 172, 'end': 183, 'username': 'lolpopsnft', 'id': '1449041855425941508'}]}",2.0
10,1506983732275728385,2022-03-24 13:18:14+00:00,False,"Wen Penelope?

Now Penelope!

The raffles for our latest Legend of Sweetopia and CH #9157 are live!

Winners will be selected tomorrow 03/24 at 2pm EST.

Haven’t joined the #candycrew just yet? Here’s your chance! 

https://t.co/K7LQY9xkim https://t.co/wxQN7yJEwd",17,4,46,,{'media_keys': ['3_1506982597490098176']},"{'annotations': [{'start': 4, 'end': 11, 'probability': 0.7084, 'type': 'Person', 'normalized_text': 'Penelope'}, {'start': 19, 'end': 26, 'probability': 0.8881, 'type': 'Person', 'normalized_text': 'Penelope'}, {'start': 57, 'end': 75, 'probability': 0.3151, 'type': 'Other', 'normalized_text': 'Legend of Sweetopia'}], 'urls': [{'start': 216, 'end': 239, 'url': 'https://t.co/K7LQY9xkim', 'expanded_url': 'http://Discord.gg/candyhuntersnft', 'display_url': 'Discord.gg/candyhuntersnft'}, {'start': 240, 'end': 263, 'url': 'https://t.co/wxQN7yJEwd', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1506983732275728385/photo/1', 'display_url': 'pic.twitter.com/wxQN7yJEwd'}], 'hashtags': [{'start': 173, 'end': 183, 'tag': 'candycrew'}]}",1.0
11,1506768482054164485,2022-03-23 23:02:55+00:00,False,"RT @SeaTurtleBC: ⚡ STBC x Candy Hunters ⚡

We have 5 Allowlist spots for our frens from the Candyverse!

How to enter:
⚡Follow @SeaTurtleBC…",32,0,0,,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'SeaTurtleBC', 'id': '1506103127275352064'}, {'start': 127, 'end': 139, 'username': 'SeaTurtleBC', 'id': '1506103127275352064'}]}",0.0
12,1506709989947281422,2022-03-23 19:10:29+00:00,False,"#candycrew meet.. 

Well, you tell us.

Announcing our first Lore contest! We’re leaving it up to our amazing community to give this Legend a name and a story to live forever within the collection.

Leave your submissions in the comments below 

Winner announced on 04/01 https://t.co/Qs9kdi7pFI",44,27,108,,{'media_keys': ['3_1506709807755141127']},"{'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/Qs9kdi7pFI', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1506709989947281422/photo/1', 'display_url': 'pic.twitter.com/Qs9kdi7pFI'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'candycrew'}]}",4.0
13,1506642957730033675,2022-03-23 14:44:07+00:00,True,"Congrats 
@srikant_1986
@CRYPTO_DANGLER
@777ChrisC
@JZRDIME
@JohnCTing
@rynoRyn0
@Robinsama77
@Degen3Nft
@FreeGilbert
@darthyosu https://t.co/ErpBPA9D9c",1,6,15,,{'media_keys': ['3_1506642882970722305']},"{'urls': [{'start': 129, 'end': 152, 'url': 'https://t.co/ErpBPA9D9c', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1506642957730033675/photo/1', 'display_url': 'pic.twitter.com/ErpBPA9D9c'}], 'mentions': [{'start': 10, 'end': 23, 'username': 'srikant_1986', 'id': '780938516150706176'}, {'start': 24, 'end': 39, 'username': 'CRYPTO_DANGLER', 'id': '1450983002364915721'}, {'start': 40, 'end': 50, 'username': '777ChrisC', 'id': '1477680746726768644'}, {'start': 51, 'end': 59, 'username': 'JZRDIME', 'id': '1356237955161985033'}, {'start': 60, 'end': 70, 'username': 'JohnCTing', 'id': '301440414'}, {'start': 71, 'end': 80, 'username': 'rynoRyn0', 'id': '906821247098535936'}, {'start': 81, 'end': 93, 'username': 'Robinsama77', 'id': '987574138410754049'}, {'start': 94, 'end': 104, 'username': 'Degen3Nft', 'id': '1429632066639962122'}, {'start': 105, 'end': 117, 'username': 'FreeGilbert', 'id': '575983680'}, {'start': 118, 'end': 128, 'username': 'darthyosu', 'id': '451873472'}]}",1.0
