,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508505045578313729,2022-03-28 18:03:24+00:00,True,"@loveless_city Winners 🏆
• @toro_to247
• @woxinzangzaich2
• @lockicrypto
• @CharlesLee9961
• @JamiePe54483921
MINT IS SOON. Please respond to our DM asap. Need your discord ID and eth wallet :) 
✔️ https://t.co/kq7YaC0eDP",0,4,31,,,"{'urls': [{'start': 198, 'end': 221, 'url': 'https://t.co/kq7YaC0eDP', 'expanded_url': 'https://twitterpicker.com/d/fmn4m76y', 'display_url': 'twitterpicker.com/d/fmn4m76y'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'loveless_city', 'id': '1429944861860392962'}, {'start': 27, 'end': 38, 'username': 'toro_to247', 'id': '1498908319548723203'}, {'start': 41, 'end': 57, 'username': 'woxinzangzaich2', 'id': '1484936872350699523'}, {'start': 60, 'end': 72, 'username': 'lockicrypto', 'id': '1466214519559147522'}, {'start': 75, 'end': 90, 'username': 'CharlesLee9961', 'id': '1490201572197814274'}, {'start': 93, 'end': 109, 'username': 'JamiePe54483921', 'id': '1487537106931318784'}]}",0.0
1,1508503233802620928,2022-03-28 17:56:12+00:00,False,Who’s becoming a Weirdo and partying with us in LA this week?,25,22,156,,,"{'annotations': [{'start': 48, 'end': 49, 'probability': 0.9377, 'type': 'Place', 'normalized_text': 'LA'}]}",4.0
2,1508470901511057408,2022-03-28 15:47:43+00:00,False,"gm ☀️ frens — ETH pumping? Perfect time to ape into a forever project 🌈🌵🔥🍄

https://t.co/buxY8TDoUE",55,14,139,,,"{'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/buxY8TDoUE', 'expanded_url': 'https://opensea.io/collection/ilyyw', 'display_url': 'opensea.io/collection/ily…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1506086859310436356/Fjgkrucx?format=jpg&name=orig', 'width': 1400, 'height': 400}, {'url': 'https://pbs.twimg.com/news_img/1506086859310436356/Fjgkrucx?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': ""I Like You, You're Weird - Collection | OpenSea"", 'description': 'A community-driven collectibles project featuring art by Amber Park and Mason Rothschild. Across the 10,000 Weirdos in our collection, no two are the same - much like humankind itself. Consider every Weirdo minted representative of that holder’s inner Weirdo, a cosmic embodiment of our one-of-a-kind oddities.', 'unwound_url': 'https://opensea.io/collection/ilyyw'}]}",1.0
3,1508206874406969345,2022-03-27 22:18:34+00:00,False,"Do as @ianndior does and change your profile picture to your Weirdo 🌈🌵🔥🍄

When your done reply to this Tweet with #WeirdosGonnaMakeIt

One lucky reply with win a Weirdo! 👀 https://t.co/nNl9QvBmk5",143,257,362,,{'media_keys': ['3_1508206870355271682']},"{'urls': [{'start': 172, 'end': 195, 'url': 'https://t.co/nNl9QvBmk5', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1508206874406969345/photo/1', 'display_url': 'pic.twitter.com/nNl9QvBmk5'}], 'hashtags': [{'start': 114, 'end': 133, 'tag': 'WeirdosGonnaMakeIt'}], 'mentions': [{'start': 6, 'end': 15, 'username': 'ianndior', 'id': '1090502326442446854'}]}",10.0
4,1508189151144775681,2022-03-27 21:08:09+00:00,True,"@DreadfulzNFT Winners 🏆
• @ribeiro_aldo
• @rm_arem
• @lingw52551139
• @AndreaNftParis
• @honnverse
 
Congrats! Keep an eye on your DM's as we will need your discord ID and ETH address :) 
✔️ https://t.co/yubZMNLbFP",8,10,35,,,"{'urls': [{'start': 191, 'end': 214, 'url': 'https://t.co/yubZMNLbFP', 'expanded_url': 'https://twitterpicker.com/d/f92t6jgr', 'display_url': 'twitterpicker.com/d/f92t6jgr'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'DreadfulzNFT', 'id': '1484387754637393924'}, {'start': 26, 'end': 39, 'username': 'ribeiro_aldo', 'id': '154600881'}, {'start': 42, 'end': 50, 'username': 'rm_arem', 'id': '201569857'}, {'start': 53, 'end': 67, 'username': 'lingw52551139', 'id': '1410964105561739267'}, {'start': 70, 'end': 85, 'username': 'AndreaNftParis', 'id': '1505321710391894020'}, {'start': 88, 'end': 98, 'username': 'honnverse', 'id': '1470734872159584256'}]}",0.0
5,1508185028290777090,2022-03-27 20:51:46+00:00,False,"RT @ILYYWNFT: 🌈🌵I Like You, You’re Weird 🤝 Dreadfulz🔥🍄
 
• Follow @ILYYWNFT and @DreadfulzNFT 
• Like and Retweet
• Tag three frens

24 hou…",5234,0,0,,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 66, 'end': 75, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 80, 'end': 93, 'username': 'DreadfulzNFT', 'id': '1484387754637393924'}]}",0.0
6,1508178775938273281,2022-03-27 20:26:55+00:00,False,"🌈🌵I Like You, You’re Weird 🤝 Loveless City🔥🍄
 
• Follow @ILYYWNFT and @loveless_city 
• Like and Retweet
• Tag three frens

24 hours. 5 Whitelist spots up for grabs 👑🔥❤️ https://t.co/dephkwgzx7",2754,2668,2948,,{'media_keys': ['16_1508178727586344963']},"{'urls': [{'start': 170, 'end': 193, 'url': 'https://t.co/dephkwgzx7', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1508178775938273281/photo/1', 'display_url': 'pic.twitter.com/dephkwgzx7'}], 'mentions': [{'start': 56, 'end': 65, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 70, 'end': 84, 'username': 'loveless_city', 'id': '1429944861860392962'}]}",12.0
7,1508120689244459015,2022-03-27 16:36:06+00:00,False,gm frens — testing Scarys ☢️ https://t.co/pISMUgyFAi,147,41,408,,{'media_keys': ['3_1508120685415043075']},"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/pISMUgyFAi', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1508120689244459015/photo/1', 'display_url': 'pic.twitter.com/pISMUgyFAi'}]}",8.0
8,1507933495758188548,2022-03-27 04:12:16+00:00,False,Just wait til’ you see these Scarys fully animated fren ☢️ https://t.co/2FYc9BOc8M,298,54,550,,"{'media_keys': ['3_1507933482713903105', '3_1507933482701385736']}","{'annotations': [{'start': 29, 'end': 34, 'probability': 0.4954, 'type': 'Person', 'normalized_text': 'Scarys'}], 'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/2FYc9BOc8M', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1507933495758188548/photo/1', 'display_url': 'pic.twitter.com/2FYc9BOc8M'}, {'start': 59, 'end': 82, 'url': 'https://t.co/2FYc9BOc8M', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1507933495758188548/photo/1', 'display_url': 'pic.twitter.com/2FYc9BOc8M'}]}",23.0
9,1507884833921400835,2022-03-27 00:58:54+00:00,False,Flur you need a Weirdo. It just makes sense. https://t.co/Z1fsUs6uUE,28,11,126,,,"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/Z1fsUs6uUE', 'expanded_url': 'https://twitter.com/FlurETH/status/1507879784449294343', 'display_url': 'twitter.com/FlurETH/status…'}]}",0.0
