,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508365413092143109,2022-03-28 08:48:33+00:00,False,"The launch of our Main Collection will be on the 31st of March. Are you ready?

#NFT #kamitribe #NFTCommunity #kamily https://t.co/BowSQ4nC7h",36,16,73,,{'media_keys': ['3_1508365221294968839']},"{'hashtags': [{'start': 80, 'end': 84, 'tag': 'NFT'}, {'start': 85, 'end': 95, 'tag': 'kamitribe'}, {'start': 96, 'end': 109, 'tag': 'NFTCommunity'}, {'start': 110, 'end': 117, 'tag': 'kamily'}], 'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/BowSQ4nC7h', 'expanded_url': 'https://twitter.com/KamiTribe/status/1508365413092143109/photo/1', 'display_url': 'pic.twitter.com/BowSQ4nC7h'}]}",3.0
1,1508338101290037250,2022-03-28 07:00:01+00:00,False,"👹KOSEKAI X KAMITRIBE 👹

Kosekai team were kind enough to provide 5 #WL for the Kamily 😁

To enter👇 
1️⃣ Follow @kosekai_NFT , @KamiTribe
2️⃣ Like + RT
3️⃣ Tag  3 friends &amp;  join their discord: https://t.co/FUbLOFK3Ob
https://t.co/XctfejsDLX
Winners announced in 24 hours ⏳

#NFT https://t.co/mWQJfdeZHo",172,160,193,,{'media_keys': ['3_1508309150073335812']},"{'hashtags': [{'start': 67, 'end': 70, 'tag': 'WL'}, {'start': 278, 'end': 282, 'tag': 'NFT'}], 'mentions': [{'start': 111, 'end': 123, 'username': 'kosekai_NFT', 'id': '1472404268153860096'}, {'start': 126, 'end': 136, 'username': 'KamiTribe', 'id': '1441842744960323584'}], 'urls': [{'start': 197, 'end': 220, 'url': 'https://t.co/FUbLOFK3Ob', 'expanded_url': 'http://discord.gg/kamitribe', 'display_url': 'discord.gg/kamitribe'}, {'start': 221, 'end': 244, 'url': 'https://t.co/XctfejsDLX', 'expanded_url': 'http://discord.gg/kosekai', 'display_url': 'discord.gg/kosekai'}, {'start': 283, 'end': 306, 'url': 'https://t.co/mWQJfdeZHo', 'expanded_url': 'https://twitter.com/KamiTribe/status/1508338101290037250/photo/1', 'display_url': 'pic.twitter.com/mWQJfdeZHo'}]}",1.0
2,1508333238103666688,2022-03-28 06:40:42+00:00,False,"👹 Kamitribe X Infinite Virtual Space 👹

We are giving away:
10x IVS WL Spots
10x Kamitribe WL Spots

1⃣ Follow @IVSProtocol and @KamiTribe
2⃣ Like &amp; RT ✅
3️⃣Join IVS (200 only) &amp; Kamitribe
https://t.co/9vMlOpWwyA
https://t.co/NESMXC0Eiv https://t.co/T1tClFmUs6",2949,1832,2946,,{'media_keys': ['7_1508332922205396992']},"{'mentions': [{'start': 111, 'end': 123, 'username': 'IVSProtocol', 'id': '1435511062896336899'}, {'start': 128, 'end': 138, 'username': 'KamiTribe', 'id': '1441842744960323584'}], 'urls': [{'start': 197, 'end': 220, 'url': 'https://t.co/9vMlOpWwyA', 'expanded_url': 'https://discord.gg/ePnjBn5j', 'display_url': 'discord.gg/ePnjBn5j', 'images': [{'url': 'https://pbs.twimg.com/news_img/1508333241547169793/i2Fp1YCQ?format=jpg&name=orig', 'width': 512, 'height': 277}, {'url': 'https://pbs.twimg.com/news_img/1508333241547169793/i2Fp1YCQ?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the ♾ Infinite Virtual Space Discord Server!', 'description': 'Check out the ♾ Infinite Virtual Space community on Discord - hang out with 17,281 other members and enjoy free voice and text chat.', 'unwound_url': 'https://discord.com/invite/ePnjBn5j'}, {'start': 221, 'end': 244, 'url': 'https://t.co/NESMXC0Eiv', 'expanded_url': 'https://discord.gg/kamitribe', 'display_url': 'discord.gg/kamitribe', 'images': [{'url': 'https://pbs.twimg.com/news_img/1506527775938650116/F4M5r6q6?format=jpg&name=orig', 'width': 512, 'height': 288}, {'url': 'https://pbs.twimg.com/news_img/1506527775938650116/F4M5r6q6?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the Kamitribe Discord Server!', 'description': 'Kamitribe are 6,999 hand-drawn NFT characters with +100 randomly generated traits living in the Ethereum blockchain. | 24,890 members', 'unwound_url': 'https://discord.com/invite/kamitribe'}, {'start': 245, 'end': 268, 'url': 'https://t.co/T1tClFmUs6', 'expanded_url': 'https://twitter.com/KamiTribe/status/1508333238103666688/video/1', 'display_url': 'pic.twitter.com/T1tClFmUs6'}]}",5.0
3,1508279104730284043,2022-03-28 03:05:35+00:00,False,"If you only face forward, there is something you will miss seeing. 👀👀
 #AnimeNFT #Kamitribe",14,5,24,,,"{'hashtags': [{'start': 71, 'end': 80, 'tag': 'AnimeNFT'}, {'start': 81, 'end': 91, 'tag': 'Kamitribe'}]}",2.0
4,1507504536709128208,2022-03-25 23:47:44+00:00,False,"RT @isogiftroom: [🔥isoroom x @KamiTribe 5 WL🔥]

To Enter: 
✅ Follow @isoroomnft + @isogiftroom + @KamiTribe + @CloneX7100
✅ Like + RT + Tag…",547,0,0,,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'isogiftroom', 'id': '1496398461822029825'}, {'start': 29, 'end': 39, 'username': 'KamiTribe', 'id': '1441842744960323584'}, {'start': 68, 'end': 79, 'username': 'isoroomnft', 'id': '1454689803635605508'}, {'start': 82, 'end': 94, 'username': 'isogiftroom', 'id': '1496398461822029825'}, {'start': 97, 'end': 107, 'username': 'KamiTribe', 'id': '1441842744960323584'}, {'start': 110, 'end': 121, 'username': 'CloneX7100', 'id': '1400420192765816836'}]}",0.0
5,1506938482505117698,2022-03-24 10:18:26+00:00,True,"@NoHesiCarClub Winners 🏆
• @redplumn
• @KevLin__
• @mrF4k3_
• @duminnewin
• @lewis_CR7_

✔️ https://t.co/EWRBx8RgaV",0,2,6,,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'NoHesiCarClub', 'id': '1472013857379926023'}, {'start': 27, 'end': 36, 'username': 'redplumn', 'id': '2421181'}, {'start': 39, 'end': 48, 'username': 'KevLin__', 'id': '918196093'}, {'start': 51, 'end': 59, 'username': 'mrF4k3_', 'id': '1483720359409221634'}, {'start': 62, 'end': 73, 'username': 'duminnewin', 'id': '1494217321237577731'}, {'start': 76, 'end': 87, 'username': 'lewis_CR7_', 'id': '1355588017746890753'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/EWRBx8RgaV', 'expanded_url': 'https://twitterpicker.com/d/hwmrf54u', 'display_url': 'twitterpicker.com/d/hwmrf54u'}]}",1.0
6,1506938133807468544,2022-03-24 10:17:03+00:00,True,"@PuffME_Puff Winners 🏆
• @shq160314
• @Thedhuke1
• @OxoyOxNFT

✔️ https://t.co/XuIfzzTiCo",1,0,6,,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'PuffME_Puff', 'id': '1469195271963770883'}, {'start': 25, 'end': 35, 'username': 'shq160314', 'id': '709370784234352640'}, {'start': 38, 'end': 48, 'username': 'Thedhuke1', 'id': '1087149560286318592'}, {'start': 51, 'end': 61, 'username': 'OxoyOxNFT', 'id': '1489534528402395136'}], 'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/XuIfzzTiCo', 'expanded_url': 'https://twitterpicker.com/d/g8jk7y47', 'display_url': 'twitterpicker.com/d/g8jk7y47'}]}",1.0
7,1506937906807533573,2022-03-24 10:16:09+00:00,True,"@ProjectDarkEye Winners 🏆
• @Oriebir_1234
• @3iv0Y
• @AltanKadiir
• @lewis_CR7_
• @dudwlsths2

✔️ https://t.co/FkhukZCjxH",1,1,4,,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'ProjectDarkEye', 'id': '1477099741053739011'}, {'start': 28, 'end': 41, 'username': 'Oriebir_1234', 'id': '1375139127579045901'}, {'start': 44, 'end': 50, 'username': '3iv0Y', 'id': '1443799774063251458'}, {'start': 53, 'end': 65, 'username': 'AltanKadiir', 'id': '1221815874178494465'}, {'start': 68, 'end': 79, 'username': 'lewis_CR7_', 'id': '1355588017746890753'}, {'start': 82, 'end': 93, 'username': 'dudwlsths2', 'id': '1475098733369249799'}], 'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/FkhukZCjxH', 'expanded_url': 'https://twitterpicker.com/d/x9mgcbax', 'display_url': 'twitterpicker.com/d/x9mgcbax'}]}",0.0
8,1506937699566972928,2022-03-24 10:15:19+00:00,True,"@TopDJ_io Winners 🏆
• @giselle_yx
• @NFTCampaign2022
• @AkazaTt

✔️ https://t.co/aSThbgJmat",0,0,3,,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'TopDJ_io', 'id': '1452846411347759104'}, {'start': 22, 'end': 33, 'username': 'giselle_yx', 'id': '163563861'}, {'start': 36, 'end': 52, 'username': 'NFTCampaign2022', 'id': '1484235123554156545'}, {'start': 55, 'end': 63, 'username': 'AkazaTt', 'id': '1500827823187050503'}], 'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/aSThbgJmat', 'expanded_url': 'https://twitterpicker.com/d/aecjyauk', 'display_url': 'twitterpicker.com/d/aecjyauk'}]}",0.0
9,1506708789428473869,2022-03-23 19:05:43+00:00,False,"RT @NeuromodNFTs: Neuromod X @KamiTribe our friends have given us some WL!

3 x WL @KamiTribe
3 x WL @neuromodnfts 

HOW TO ENTER:

Follow…",195,0,0,,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'NeuromodNFTs', 'id': '1484846470863982594'}, {'start': 29, 'end': 39, 'username': 'KamiTribe', 'id': '1441842744960323584'}, {'start': 83, 'end': 93, 'username': 'KamiTribe', 'id': '1441842744960323584'}, {'start': 101, 'end': 114, 'username': 'NeuromodNFTs', 'id': '1484846470863982594'}]}",0.0
