,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508544878237478913,2022-03-28 20:41:41+00:00,False,RT @SkeletGuys: v2 Roadmap 💀 https://t.co/1lhLrJa5tI,77,0,0,,{'media_keys': ['3_1508268864542437376']},"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/1lhLrJa5tI', 'expanded_url': 'https://twitter.com/SkeletGuys/status/1508268868073975814/photo/1', 'display_url': 'pic.twitter.com/1lhLrJa5tI'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
1,1508532935917404160,2022-03-28 19:54:13+00:00,False,We’ll be hosting a little late night AMA for anyone who wants to come up and ask questions about the roadmap or project in general! Hope to see you there! 💀 https://t.co/pcf3ctGLC1,20,3,33,,,"{'urls': [{'start': 157, 'end': 180, 'url': 'https://t.co/pcf3ctGLC1', 'expanded_url': 'https://twitter.com/i/spaces/1dRKZlAQMbNJB', 'display_url': 'twitter.com/i/spaces/1dRKZ…'}]}",2.0
2,1508514278009184259,2022-03-28 18:40:05+00:00,False,RT @kaiyabunga: Just grabbed this rank 41 💀 @SkeletGuys drop your Skelet 👇 #skeletfollowskelet https://t.co/f6woEi0yXc,38,0,0,,{'media_keys': ['3_1508513893177507850']},"{'hashtags': [{'start': 75, 'end': 94, 'tag': 'skeletfollowskelet'}], 'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/f6woEi0yXc', 'expanded_url': 'https://twitter.com/kaiyabunga/status/1508513896574894091/photo/1', 'display_url': 'pic.twitter.com/f6woEi0yXc'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'kaiyabunga', 'id': '43755592'}, {'start': 44, 'end': 55, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
3,1508453143163682819,2022-03-28 14:37:09+00:00,False,RT @letsdip: @SkeletGuys was a free mint and they still have plans for us in the future. It’s a great thing to see.,9,0,0,,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'letsdip', 'id': '514148937'}, {'start': 13, 'end': 24, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
4,1508444235648933899,2022-03-28 14:01:45+00:00,False,RT @GraffirapNFT: #NewNFTProfilePic Prepared for anything tomorrow with this bad boy Skeley by @SkeletGuys https://t.co/ctwWCOQBP5,11,0,0,,{'media_keys': ['3_1508339007125610497']},"{'hashtags': [{'start': 18, 'end': 35, 'tag': 'NewNFTProfilePic'}], 'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/ctwWCOQBP5', 'expanded_url': 'https://twitter.com/GraffirapNFT/status/1508339009751289856/photo/1', 'display_url': 'pic.twitter.com/ctwWCOQBP5'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'GraffirapNFT', 'id': '1411774207168557056'}, {'start': 95, 'end': 106, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
5,1508272897609154569,2022-03-28 02:40:55+00:00,False,RT @johnbakern: where my @SkeletGuys fam at??? https://t.co/F3KvcdCFk2,15,0,0,,{'media_keys': ['3_1508272361786814476']},"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/F3KvcdCFk2', 'expanded_url': 'https://twitter.com/johnbakern/status/1508272632499736576/photo/1', 'display_url': 'pic.twitter.com/F3KvcdCFk2'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'johnbakern', 'id': '762734059973926913'}, {'start': 25, 'end': 36, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
6,1508268868073975814,2022-03-28 02:24:55+00:00,False,v2 Roadmap 💀 https://t.co/1lhLrJa5tI,77,26,191,,{'media_keys': ['3_1508268864542437376']},"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/1lhLrJa5tI', 'expanded_url': 'https://twitter.com/SkeletGuys/status/1508268868073975814/photo/1', 'display_url': 'pic.twitter.com/1lhLrJa5tI'}]}",12.0
7,1508254363189452803,2022-03-28 01:27:16+00:00,False,"RT @GraffirapNFT: Gonna do a new @SkeletGuys pfp every day for a week.

Anyone else bullish on Skelets? 

Art is clean. Lead artist is part…",14,0,0,,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'GraffirapNFT', 'id': '1411774207168557056'}, {'start': 33, 'end': 44, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
8,1508254272055660545,2022-03-28 01:26:55+00:00,False,RT @JayVegas24: @CgsJorge @SkeletGuys @CosmicCats_ @SkeletGuys is a dope community! Just won a free one on poker night! https://t.co/glMv7R…,6,0,0,,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'JayVegas24', 'id': '1057290945090076673'}, {'start': 16, 'end': 25, 'username': 'CgsJorge', 'id': '1171622811808534528'}, {'start': 26, 'end': 37, 'username': 'SkeletGuys', 'id': '1462974895298469888'}, {'start': 38, 'end': 50, 'username': 'CosmicCats_', 'id': '1487543893373636617'}, {'start': 51, 'end': 62, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
9,1508187564670439428,2022-03-27 21:01:50+00:00,False,RT @MustyNuts: @DeeOG_NFT @salmahayek @SkeletGuys https://t.co/FiDkA6YrZh,7,0,0,,"{'media_keys': ['3_1508186610289971201', '3_1508186610298343426']}","{'urls': [{'start': 50, 'end': 73, 'url': 'https://t.co/FiDkA6YrZh', 'expanded_url': 'https://twitter.com/MustyNuts/status/1508186612617777154/photo/1', 'display_url': 'pic.twitter.com/FiDkA6YrZh'}, {'start': 50, 'end': 73, 'url': 'https://t.co/FiDkA6YrZh', 'expanded_url': 'https://twitter.com/MustyNuts/status/1508186612617777154/photo/1', 'display_url': 'pic.twitter.com/FiDkA6YrZh'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'MustyNuts', 'id': '1452463956644143106'}, {'start': 15, 'end': 25, 'username': 'DeeOG_NFT', 'id': '1488763712341041153'}, {'start': 26, 'end': 37, 'username': 'salmahayek', 'id': '3099613624'}, {'start': 38, 'end': 49, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}",0.0
