,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508608635626303488,2022-03-29 00:55:01+00:00,False,RT @metaandmagic: Setting sail !tovalhalla with @WaveCatchersNFT marketplace today! ⛓✨⚔️ https://t.co/gFxCBFtNoS,11,0,0,,{'media_keys': ['16_1508607208581443585']},"{'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/gFxCBFtNoS', 'expanded_url': 'https://twitter.com/metaandmagic/status/1508608416146731008/photo/1', 'display_url': 'pic.twitter.com/gFxCBFtNoS'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'metaandmagic', 'id': '1496850552294354945'}, {'start': 48, 'end': 64, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}]}",0.0
1,1508566614836277253,2022-03-28 22:08:03+00:00,False,RT @tribsonn: @WWDucks @WaveCatchersNFT,1,0,0,,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'tribsonn', 'id': '1489303446821953540'}, {'start': 14, 'end': 22, 'username': 'WWDucks', 'id': '1503585100398841856'}, {'start': 23, 'end': 39, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}]}",0.0
2,1508493882694291458,2022-03-28 17:19:02+00:00,False,"🌊Wave Catchers x VARIANT🌊

We’re giving away 3 @VARIANT whitelist spots from our whitelist marketplace!

To enter:
🤙🏻 Follow @WaveCatchersNFT &amp; @VARIANT 
🤙🏻 Like + RT
🤙🏻 Tag 3 Frens

Winners will be announced in 24 Hours! https://t.co/diJvbPOqSp",329,304,335,,{'media_keys': ['3_1508493875840790531']},"{'urls': [{'start': 226, 'end': 249, 'url': 'https://t.co/diJvbPOqSp', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1508493882694291458/photo/1', 'display_url': 'pic.twitter.com/diJvbPOqSp'}], 'mentions': [{'start': 47, 'end': 55, 'username': 'VARIANT', 'id': '1480422687004635136'}, {'start': 125, 'end': 141, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 148, 'end': 156, 'username': 'VARIANT', 'id': '1480422687004635136'}]}",3.0
3,1508492862559821829,2022-03-28 17:14:59+00:00,True,"Winners 🏆
• @Baraq__Tee
• @OnuPencil
• @Zga0gdmcNLePwHW

✔️ https://t.co/32MWggdZHp

The @litterkittens team will contact you via DM! 🤙🏻",0,1,2,,,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/32MWggdZHp', 'expanded_url': 'https://twitterpicker.com/d/cbmwfdu4', 'display_url': 'twitterpicker.com/d/cbmwfdu4'}], 'mentions': [{'start': 12, 'end': 23, 'username': 'Baraq__Tee', 'id': '1507513211368706051'}, {'start': 26, 'end': 36, 'username': 'OnuPencil', 'id': '1320835868299505666'}, {'start': 39, 'end': 55, 'username': 'Zga0gdmcNLePwHW', 'id': '1419962993538961409'}, {'start': 89, 'end': 103, 'username': 'litterkittens', 'id': '1451245883492904961'}]}",0.0
4,1508490769077735433,2022-03-28 17:06:40+00:00,True,@nftn0ah @KiwamiNFT @DirtyRobotWorks https://t.co/kdz8AeAJ47,1,0,14,,{'media_keys': ['16_1508490741135249413']},"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/kdz8AeAJ47', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1508490769077735433/photo/1', 'display_url': 'pic.twitter.com/kdz8AeAJ47'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'nftn0ah', 'id': '1454585332255580163'}, {'start': 9, 'end': 19, 'username': 'KiwamiNFT', 'id': '1486866037320863744'}, {'start': 20, 'end': 36, 'username': 'DirtyRobotWorks', 'id': '271031175'}]}",0.0
5,1508490535694057473,2022-03-28 17:05:44+00:00,False,"RT @nftn0ah: @WaveCatchersNFT Alpha cooked this weekend🔥

@KiwamiNFT:  called at .12 -&gt; .45 
(Not counting the whitelist mints @ .08e that…",16,0,0,,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'nftn0ah', 'id': '1454585332255580163'}, {'start': 13, 'end': 29, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 58, 'end': 68, 'username': 'KiwamiNFT', 'id': '1486866037320863744'}]}",0.0
6,1508246152529039364,2022-03-28 00:54:39+00:00,False,RT @RealMrShowcase: @Kiwami_eth floor has now nearly 4x'd what I paid for it. Thanks to @WaveCatchersNFT for giving me access to the WL. St…,9,0,0,,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'RealMrShowcase', 'id': '1350229943934971906'}, {'start': 20, 'end': 31, 'username': 'Kiwami_eth', 'id': '1019542957'}, {'start': 88, 'end': 104, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}]}",0.0
7,1508183282235629569,2022-03-27 20:44:49+00:00,True,@nftn0ah Wen staking ser??,4,4,27,,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'nftn0ah', 'id': '1454585332255580163'}]}",0.0
8,1508183181597593604,2022-03-27 20:44:25+00:00,False,"RT @nftn0ah: Wave Catchers launched on March 3rd.

A day later, we launched the first on-chain whitelist marketplace. 

In the 24 days sinc…",38,0,0,,,"{'annotations': [{'start': 13, 'end': 25, 'probability': 0.5146, 'type': 'Organization', 'normalized_text': 'Wave Catchers'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'nftn0ah', 'id': '1454585332255580163'}]}",0.0
9,1508115197730476033,2022-03-27 16:14:17+00:00,False,"Gm, happy Sunday 🏖️

L2 Whitelists for @litterkittens &amp; @Smolegends? We got you covered. https://t.co/cbbcTc2AkO",92,42,161,,{'media_keys': ['3_1508114901260247044']},"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/cbbcTc2AkO', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1508115197730476033/photo/1', 'display_url': 'pic.twitter.com/cbbcTc2AkO'}], 'mentions': [{'start': 39, 'end': 53, 'username': 'litterkittens', 'id': '1451245883492904961'}, {'start': 60, 'end': 71, 'username': 'Smolegends', 'id': '1476160735390552067'}]}",1.0
10,1508091638035460103,2022-03-27 14:40:40+00:00,True,@CryptoAds10 You can look on our website under the market tab!,0,1,1,,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'CryptoAds10', 'id': '1472258882147868673'}]}",0.0
11,1507947995727335426,2022-03-27 05:09:53+00:00,False,"🌊Wave Catchers x Litter Kittens🌊

We’re giving away 3 @litterkittens whitelist spots from our whitelist marketplace!

To enter:
🤙🏻 Follow @WaveCatchersNFT &amp; @litterkittens 
🤙🏻 Like + RT
🤙🏻 Tag 3 Frens

Winners will be announced in 24 Hours! https://t.co/llxAeWpvrb",2181,2098,2221,,{'media_keys': ['3_1507947812037795850']},"{'urls': [{'start': 245, 'end': 268, 'url': 'https://t.co/llxAeWpvrb', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1507947995727335426/photo/1', 'display_url': 'pic.twitter.com/llxAeWpvrb'}], 'mentions': [{'start': 54, 'end': 68, 'username': 'litterkittens', 'id': '1451245883492904961'}, {'start': 138, 'end': 154, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 161, 'end': 175, 'username': 'litterkittens', 'id': '1451245883492904961'}]}",16.0
12,1507877560717389828,2022-03-27 00:30:00+00:00,True,@CryptoSponge11 Yup,0,1,6,,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'CryptoSponge11', 'id': '1444004779923968000'}]}",0.0
13,1507876615392571403,2022-03-27 00:26:14+00:00,False,"Optional time-locked staking is almost done and coming very soon 👀 

There will be three different options to lock your Wave Catchers: 1 week, 1 month, or 3 months. The longer you stake, the higher your daily $COCO yield 🥥 

Only ~7% listed, get ready for the supply shock 🌊",43,10,101,,,"{'cashtags': [{'start': 209, 'end': 214, 'tag': 'COCO'}]}",7.0
14,1507752953410695168,2022-03-26 16:14:51+00:00,True,"@TheEverai just minted out and are selling for ~.4E on secondary. 

Good thing we had WL spots on the $COCO marketplace; Wave Catchers holders are minting for .15E tomorrow. https://t.co/JSyY0rSAnQ",13,2,33,,{'media_keys': ['3_1507752721549598726']},"{'cashtags': [{'start': 102, 'end': 107, 'tag': 'COCO'}], 'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/JSyY0rSAnQ', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1507752953410695168/photo/1', 'display_url': 'pic.twitter.com/JSyY0rSAnQ'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'TheEverai', 'id': '1432312842967994372'}]}",3.0
15,1507489068019556352,2022-03-25 22:46:16+00:00,False,"🌊Wave Catchers x Cyberia NFT🌊

We’re giving away 3 @EnterCyberia whitelist spots from our whitelist marketplace!

To enter:
🤙🏻 Follow @WaveCatchersNFT &amp; @EnterCyberia 
🤙🏻 Like + RT
🤙🏻 Tag 3 Frens

Winners will be announced in 24 Hours! https://t.co/urRMwZZzEe",283,263,292,,{'media_keys': ['3_1507489064202776583']},"{'urls': [{'start': 240, 'end': 263, 'url': 'https://t.co/urRMwZZzEe', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1507489068019556352/photo/1', 'display_url': 'pic.twitter.com/urRMwZZzEe'}], 'mentions': [{'start': 51, 'end': 64, 'username': 'EnterCyberia', 'id': '1469694418378760200'}, {'start': 134, 'end': 150, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 157, 'end': 170, 'username': 'EnterCyberia', 'id': '1469694418378760200'}]}",5.0
16,1507488331084582915,2022-03-25 22:43:20+00:00,True,"Winners 🏆
• @msn_teymoori
• @Ajibola_Ben
• @JuniorVaccarin

✔️ https://t.co/jgGRaW1G3w

The @NFTSHOUNEN team will contact you via DM!🤙🏻",0,1,5,,,"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/jgGRaW1G3w', 'expanded_url': 'https://twitterpicker.com/d/f75bs9x5', 'display_url': 'twitterpicker.com/d/f75bs9x5'}], 'mentions': [{'start': 12, 'end': 25, 'username': 'msn_teymoori', 'id': '2921440036'}, {'start': 28, 'end': 40, 'username': 'Ajibola_Ben', 'id': '1190409996359622657'}, {'start': 43, 'end': 58, 'username': 'JuniorVaccarin', 'id': '1439258390841241600'}, {'start': 92, 'end': 103, 'username': 'NFTSHOUNEN', 'id': '568946493'}]}",0.0
17,1507486423984877568,2022-03-25 22:35:45+00:00,True,@SmolBrainsNFT 🤙🏻👀,14,15,51,,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'SmolBrainsNFT', 'id': '2991279784'}]}",0.0
18,1507371336024436738,2022-03-25 14:58:26+00:00,False,Want a whitelist spot for @kurorobeast ? We got you covered in 24 hours: https://t.co/zmNfQAD1Uy https://t.co/cKJeHsVxzX,14,3,39,,{'media_keys': ['3_1507371057195405313']},"{'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/zmNfQAD1Uy', 'expanded_url': 'https://www.wavecatchers.io/market.html', 'display_url': 'wavecatchers.io/market.html'}, {'start': 97, 'end': 120, 'url': 'https://t.co/cKJeHsVxzX', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1507371336024436738/photo/1', 'display_url': 'pic.twitter.com/cKJeHsVxzX'}], 'mentions': [{'start': 26, 'end': 38, 'username': 'kurorobeast', 'id': '1464405620044484609'}]}",0.0
19,1507214419406860291,2022-03-25 04:34:54+00:00,False,"RT @RealMrShowcase: Three steps for NFT success: 

1) Use @WaveCatchersNFT to acquire free WL for @KiwamiNFT using $COCO.

2) Kiwami floor…",15,0,0,,,"{'cashtags': [{'start': 115, 'end': 120, 'tag': 'COCO'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'RealMrShowcase', 'id': '1350229943934971906'}, {'start': 58, 'end': 74, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 98, 'end': 108, 'username': 'KiwamiNFT', 'id': '1486866037320863744'}]}",0.0
20,1506831676550397954,2022-03-24 03:14:01+00:00,False,"🌊Wave Catchers x S H O U N E N🌊

We’re giving away 3 @NFTSHOUNEN whitelist spots from our whitelist marketplace!

To enter:
🤙🏻 Follow @WaveCatchersNFT &amp; @NFTSHOUNEN 
🤙🏻 Like + RT
🤙🏻 Tag 3 Frens

Winners will be announced in 24 Hours! https://t.co/sDjnyJDh0Q",463,543,470,,{'media_keys': ['3_1506831671278059525']},"{'urls': [{'start': 238, 'end': 261, 'url': 'https://t.co/sDjnyJDh0Q', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1506831676550397954/photo/1', 'display_url': 'pic.twitter.com/sDjnyJDh0Q'}], 'mentions': [{'start': 53, 'end': 64, 'username': 'NFTSHOUNEN', 'id': '568946493'}, {'start': 134, 'end': 150, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 157, 'end': 168, 'username': 'NFTSHOUNEN', 'id': '568946493'}]}",4.0
21,1506830899958194180,2022-03-24 03:10:56+00:00,True,"Winners 🏆
• @Teento16
• @Bi_Ready_

✔️ https://t.co/YZggZHEKq7

Contact us via DM for your free Wave Catcher!🤙🏻",0,3,3,,,"{'urls': [{'start': 39, 'end': 62, 'url': 'https://t.co/YZggZHEKq7', 'expanded_url': 'https://twitterpicker.com/d/jwwb4f24', 'display_url': 'twitterpicker.com/d/jwwb4f24'}], 'mentions': [{'start': 12, 'end': 21, 'username': 'Teento16', 'id': '1128401116230758403'}, {'start': 24, 'end': 34, 'username': 'Bi_Ready_', 'id': '1370450544729456645'}]}",0.0
22,1506830426123476995,2022-03-24 03:09:03+00:00,True,"Winners 🏆
• @TomJerry1996
• @toucancptnft
• @liyun51552533
• @loca08357484
• @yvoml77

✔️ https://t.co/RxaCyS0THg

The @DreadfulzNFT team will contact you via DM! 🤙🏻",1,1,4,,,"{'urls': [{'start': 90, 'end': 113, 'url': 'https://t.co/RxaCyS0THg', 'expanded_url': 'https://twitterpicker.com/d/kdvbeswn', 'display_url': 'twitterpicker.com/d/kdvbeswn', 'status': 404, 'unwound_url': 'https://twitterpicker.com/d/kdvbeswn'}], 'mentions': [{'start': 12, 'end': 25, 'username': 'TomJerry1996', 'id': '1484876699393470467'}, {'start': 28, 'end': 41, 'username': 'toucancptnft', 'id': '1434791122119839747'}, {'start': 44, 'end': 58, 'username': 'liyun51552533', 'id': '1492036459582287874'}, {'start': 61, 'end': 74, 'username': 'loca08357484', 'id': '1499566798295175170'}, {'start': 77, 'end': 85, 'username': 'yvoml77', 'id': '1446896983353008130'}, {'start': 119, 'end': 132, 'username': 'DreadfulzNFT', 'id': '1484387754637393924'}]}",0.0
