,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508600772996521984,2022-03-29 00:23:47+00:00,False,"NFT LA isn’t just IRL 👀

Here’s our lineup for Twitter Spaces covering everything throughout the week! 🎶 https://t.co/lGo7ztyUyV",10,3,27,,{'media_keys': ['3_1508600768164675584']},"{'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/lGo7ztyUyV', 'expanded_url': 'https://twitter.com/iamchillpill/status/1508600772996521984/photo/1', 'display_url': 'pic.twitter.com/lGo7ztyUyV'}]}",0.0
1,1508576945809764354,2022-03-28 22:49:06+00:00,False,RT @rhearajj: so excited to write/produce/record a new song tonight with the @smilesss &amp; @iamchillpill fam at Record Plant 💽,12,0,0,,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'rhearajj', 'id': '813668360'}, {'start': 77, 'end': 86, 'username': 'smilesss', 'id': '1422576121242083333'}, {'start': 93, 'end': 106, 'username': 'iamchillpill', 'id': '1214757469785747457'}]}",0.0
2,1508528082923184131,2022-03-28 19:34:56+00:00,False,"HAPPENING TONIGHT: 
::) @smilesss x @iamchillpill 💊

RSVP full, waitlist: https://t.co/NL7vtoJdCk 👀 https://t.co/wlmopsRyUr",18,2,66,,{'media_keys': ['3_1508528078808657924']},"{'mentions': [{'start': 24, 'end': 33, 'username': 'smilesss', 'id': '1422576121242083333'}, {'start': 36, 'end': 49, 'username': 'iamchillpill', 'id': '1214757469785747457'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/NL7vtoJdCk', 'expanded_url': 'http://par.tf/YnLR', 'display_url': 'par.tf/YnLR'}, {'start': 100, 'end': 123, 'url': 'https://t.co/wlmopsRyUr', 'expanded_url': 'https://twitter.com/iamchillpill/status/1508528082923184131/photo/1', 'display_url': 'pic.twitter.com/wlmopsRyUr'}]}",0.0
3,1508279003928481803,2022-03-28 03:05:11+00:00,True,"🎧 Theme Song should be a track made by yourself that you think encapsulates the vision of Chill Rx 🎶

The 10 samples you can use can be found here: https://t.co/lkD5mG0TbA

🏆 Deadline: Saturday 4/2",2,2,8,,,"{'urls': [{'start': 148, 'end': 171, 'url': 'https://t.co/lkD5mG0TbA', 'expanded_url': 'https://drive.google.com/drive/mobile/folders/1Era7beT5Lfa2FBkSZrBNlLngK-nYAjet?usp=sharing', 'display_url': 'drive.google.com/drive/mobile/f…'}]}",0.0
4,1508279002531827717,2022-03-28 03:05:11+00:00,True,"🎨 Fan Art can be anything made by yourself incorporating something from Chill Rx!

🏆 Deadline: Saturday 4/2",2,1,10,,,,0.0
5,1508278997817475075,2022-03-28 03:05:10+00:00,False,"🎨 Fan Art &amp; Theme Song Contest 🎧

For NFT LA we will be having Chill Rx art &amp; music all over the city including from community submissions! 👀

Details below, reply to this tweet with your entry 👇 https://t.co/nW2MybyB5A",21,5,70,,{'media_keys': ['3_1508278990141902851']},"{'urls': [{'start': 204, 'end': 227, 'url': 'https://t.co/nW2MybyB5A', 'expanded_url': 'https://twitter.com/iamchillpill/status/1508278997817475075/photo/1', 'display_url': 'pic.twitter.com/nW2MybyB5A'}]}",3.0
6,1507926763942428675,2022-03-27 03:45:31+00:00,True,What would you like to see in Q2? 👀👇,5,11,30,,,,0.0
7,1507926758116532225,2022-03-27 03:45:29+00:00,True,"And Q2 is going to be EVEN MORE EVENTFUL 🚀

Future activations are ONLY AVAILABLE to Chill Rx HOLDERS: https://t.co/qsmiAiuXb7",13,1,43,,,"{'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/qsmiAiuXb7', 'expanded_url': 'https://opensea.io/collection/chillrx', 'display_url': 'opensea.io/collection/chi…'}]}",1.0
8,1507926752651190279,2022-03-27 03:45:28+00:00,True,"WEEK 5️⃣:
✅ Added $APE to the treasury
✅ Dropped Chill Rx NFT LA events calendar
✅ Began decentralized album rollout strategy 👀
✅ Started pre-production for future airdrop 👀
✅ Picked next single 👀",9,3,42,,,"{'cashtags': [{'start': 18, 'end': 22, 'tag': 'APE'}]}",1.0
9,1507926746317864962,2022-03-27 03:45:26+00:00,True,"WEEK 4️⃣:
✅ Chill Rx SXSW Web3 Music Artist Showcase
✅ Launched weekly sample flip contest
✅ Setup 4 NFT LA music events
✅ CHARGER hit 500k streams &amp; 10m views 🎉",7,1,35,,,,0.0
