,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities,qutotes
0,1508603827468918789,2022-03-29 00:35:55+00:00,False,RT @Sattvaism: @RikiTheDragon @myinternetfrens https://t.co/bGoqQrHqOi,2,0,0,,{'media_keys': ['3_1508590628443078661']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'Sattvaism', 'id': '1502894205865103360'}, {'start': 15, 'end': 29, 'username': 'RikiTheDragon', 'id': '1486791489086582787'}, {'start': 30, 'end': 46, 'username': 'myinternetfrens', 'id': '1480719402009985026'}], 'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/bGoqQrHqOi', 'expanded_url': 'https://twitter.com/Sattvaism/status/1508590631832104962/photo/1', 'display_url': 'pic.twitter.com/bGoqQrHqOi'}]}",0.0
1,1508603811270586368,2022-03-29 00:35:51+00:00,False,RT @desolemaman: @fintist @myinternetfrens by @NFTStineMarie 💯💯💯 https://t.co/FIsSUzqtaW,3,0,0,,"{'media_keys': ['3_1508592736978579457', '3_1508592736978587658', '3_1508592737012133893', '3_1508592737989414917']}","{'mentions': [{'start': 3, 'end': 15, 'username': 'desolemaman', 'id': '466194301'}, {'start': 17, 'end': 25, 'username': 'fintist', 'id': '1363988179704049667'}, {'start': 26, 'end': 42, 'username': 'myinternetfrens', 'id': '1480719402009985026'}, {'start': 46, 'end': 60, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}], 'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/FIsSUzqtaW', 'expanded_url': 'https://twitter.com/desolemaman/status/1508592744314413056/photo/1', 'display_url': 'pic.twitter.com/FIsSUzqtaW'}, {'start': 65, 'end': 88, 'url': 'https://t.co/FIsSUzqtaW', 'expanded_url': 'https://twitter.com/desolemaman/status/1508592744314413056/photo/1', 'display_url': 'pic.twitter.com/FIsSUzqtaW'}, {'start': 65, 'end': 88, 'url': 'https://t.co/FIsSUzqtaW', 'expanded_url': 'https://twitter.com/desolemaman/status/1508592744314413056/photo/1', 'display_url': 'pic.twitter.com/FIsSUzqtaW'}, {'start': 65, 'end': 88, 'url': 'https://t.co/FIsSUzqtaW', 'expanded_url': 'https://twitter.com/desolemaman/status/1508592744314413056/photo/1', 'display_url': 'pic.twitter.com/FIsSUzqtaW'}]}",0.0
2,1508603779116986369,2022-03-29 00:35:44+00:00,False,RT @badhabithands: @arturo_j6 @myinternetfrens https://t.co/30efvzC30q,1,0,0,,{'media_keys': ['3_1508594896629911564']},"{'mentions': [{'start': 3, 'end': 17, 'username': 'badhabithands', 'id': '1390272209944449027'}, {'start': 19, 'end': 29, 'username': 'arturo_j6', 'id': '3396821601'}, {'start': 30, 'end': 46, 'username': 'myinternetfrens', 'id': '1480719402009985026'}], 'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/30efvzC30q', 'expanded_url': 'https://twitter.com/badhabithands/status/1508594900752814088/photo/1', 'display_url': 'pic.twitter.com/30efvzC30q'}]}",0.0
3,1508603768237031425,2022-03-29 00:35:41+00:00,False,RT @your_Mr_right3: @arturo_j6 @myinternetfrens My squad is here to follow all frens! https://t.co/M1xNtVPeR6,1,0,0,,"{'media_keys': ['3_1508596004307808260', '3_1508596004303609857', '3_1508596004307755013']}","{'mentions': [{'start': 3, 'end': 18, 'username': 'your_Mr_right3', 'id': '542097946'}, {'start': 20, 'end': 30, 'username': 'arturo_j6', 'id': '3396821601'}, {'start': 31, 'end': 47, 'username': 'myinternetfrens', 'id': '1480719402009985026'}], 'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/M1xNtVPeR6', 'expanded_url': 'https://twitter.com/your_Mr_right3/status/1508596014252445704/photo/1', 'display_url': 'pic.twitter.com/M1xNtVPeR6'}, {'start': 86, 'end': 109, 'url': 'https://t.co/M1xNtVPeR6', 'expanded_url': 'https://twitter.com/your_Mr_right3/status/1508596014252445704/photo/1', 'display_url': 'pic.twitter.com/M1xNtVPeR6'}, {'start': 86, 'end': 109, 'url': 'https://t.co/M1xNtVPeR6', 'expanded_url': 'https://twitter.com/your_Mr_right3/status/1508596014252445704/photo/1', 'display_url': 'pic.twitter.com/M1xNtVPeR6'}]}",0.0
4,1508603755020763138,2022-03-29 00:35:38+00:00,False,RT @ericklm97: @desolemaman @fintist @myinternetfrens @NFTStineMarie https://t.co/cQEu0SuVd7,2,0,0,,{'media_keys': ['3_1508597153492520964']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'ericklm97', 'id': '527923074'}, {'start': 15, 'end': 27, 'username': 'desolemaman', 'id': '466194301'}, {'start': 28, 'end': 36, 'username': 'fintist', 'id': '1363988179704049667'}, {'start': 37, 'end': 53, 'username': 'myinternetfrens', 'id': '1480719402009985026'}, {'start': 54, 'end': 68, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/cQEu0SuVd7', 'expanded_url': 'https://twitter.com/ericklm97/status/1508597157812654090/photo/1', 'display_url': 'pic.twitter.com/cQEu0SuVd7'}]}",0.0
5,1508603739598254090,2022-03-29 00:35:34+00:00,False,RT @Greens_84: @arturo_j6 @myinternetfrens High #frens!! 👋❤️✌️ https://t.co/OvtWihytfb,1,0,0,,"{'media_keys': ['3_1508600537784197128', '3_1508600537784201228', '3_1508600538002337796', '3_1508600538002247682']}","{'hashtags': [{'start': 48, 'end': 54, 'tag': 'frens'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'Greens_84', 'id': '160214491'}, {'start': 15, 'end': 25, 'username': 'arturo_j6', 'id': '3396821601'}, {'start': 26, 'end': 42, 'username': 'myinternetfrens', 'id': '1480719402009985026'}], 'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/OvtWihytfb', 'expanded_url': 'https://twitter.com/Greens_84/status/1508600541013852178/photo/1', 'display_url': 'pic.twitter.com/OvtWihytfb'}, {'start': 63, 'end': 86, 'url': 'https://t.co/OvtWihytfb', 'expanded_url': 'https://twitter.com/Greens_84/status/1508600541013852178/photo/1', 'display_url': 'pic.twitter.com/OvtWihytfb'}, {'start': 63, 'end': 86, 'url': 'https://t.co/OvtWihytfb', 'expanded_url': 'https://twitter.com/Greens_84/status/1508600541013852178/photo/1', 'display_url': 'pic.twitter.com/OvtWihytfb'}, {'start': 63, 'end': 86, 'url': 'https://t.co/OvtWihytfb', 'expanded_url': 'https://twitter.com/Greens_84/status/1508600541013852178/photo/1', 'display_url': 'pic.twitter.com/OvtWihytfb'}]}",0.0
6,1508581637042294789,2022-03-28 23:07:45+00:00,True,@NFTStineMarie 👌🏽🥶🔥,0,0,4,,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}]}",0.0
7,1508579354493681667,2022-03-28 22:58:40+00:00,False,"Ghost-vampire?! SHEEEEESH!
@NFTStineMarie #internetfrens #NFTCommunity #WGMI https://t.co/gjPrHbZhqE",4,2,16,,,"{'hashtags': [{'start': 42, 'end': 56, 'tag': 'internetfrens'}, {'start': 57, 'end': 70, 'tag': 'NFTCommunity'}, {'start': 71, 'end': 76, 'tag': 'WGMI'}], 'mentions': [{'start': 27, 'end': 41, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}], 'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/gjPrHbZhqE', 'expanded_url': 'https://twitter.com/Trunk11291/status/1508578742855159812', 'display_url': 'twitter.com/Trunk11291/sta…'}]}",5.0
8,1508576987056525315,2022-03-28 22:49:16+00:00,False,Welcome fren! 🤝🌐 https://t.co/XMIfVn3FGm,2,1,13,,,"{'urls': [{'start': 17, 'end': 40, 'url': 'https://t.co/XMIfVn3FGm', 'expanded_url': 'https://twitter.com/Eddie_VonAllmen/status/1508575959758348288', 'display_url': 'twitter.com/Eddie_VonAllme…'}]}",0.0
9,1508576961852895232,2022-03-28 22:49:10+00:00,True,@Eddie_VonAllmen 🤝🏽🙌🏽👌🏽🌐,0,1,6,,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Eddie_VonAllmen', 'id': '399774147'}]}",0.0
10,1508576889404764161,2022-03-28 22:48:53+00:00,True,@NFTStineMarie 🤝🏽🙌🏽👌🏽🌐,0,0,5,,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}]}",0.0
11,1508554815198048259,2022-03-28 21:21:10+00:00,False,RT @Sattvaism: @fintist @MysticSisNFT @OutlawGalsMC @BeyondPowerNFT @cosmos_cyber @angelallianceth @angelsofaether @womenintechnft @urbande…,4,0,0,,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'Sattvaism', 'id': '1502894205865103360'}, {'start': 15, 'end': 23, 'username': 'fintist', 'id': '1363988179704049667'}, {'start': 24, 'end': 37, 'username': 'MysticSisNFT', 'id': '1453153839700316162'}, {'start': 38, 'end': 51, 'username': 'OutlawGalsMC', 'id': '1428053476542713858'}, {'start': 52, 'end': 67, 'username': 'BeyondPowerNFT', 'id': '1465785867818213376'}, {'start': 68, 'end': 81, 'username': 'cosmos_cyber', 'id': '1452484581580361731'}, {'start': 82, 'end': 98, 'username': 'angelallianceth', 'id': '1484281924491399175'}, {'start': 99, 'end': 114, 'username': 'angelsofaether', 'id': '1406302916990976009'}, {'start': 115, 'end': 130, 'username': 'womenintechnft', 'id': '1476016757458583554'}]}",0.0
12,1508554205149085697,2022-03-28 21:18:44+00:00,False,"Ooof!! That amphibian! 🥶🔥
#NFTCommunity https://t.co/ym7i3HWQ0K",4,2,14,,,"{'hashtags': [{'start': 26, 'end': 39, 'tag': 'NFTCommunity'}], 'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/ym7i3HWQ0K', 'expanded_url': 'https://twitter.com/desolemaman/status/1508545971629789188', 'display_url': 'twitter.com/desolemaman/st…'}]}",0.0
