,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508118937904553984,2022-03-27 16:29:08+00:00,True,"@stevewilldoit @freshegokid11 Congratulations on winning @freshegokid11!

Could you please drop us a DM as we're unable to find your Rollbit username. Thank you!",1,12,31,1,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'stevewilldoit', 'id': '1049265018280263680'}, {'start': 15, 'end': 29, 'username': 'freshegokid11', 'id': '1507046772413190158'}, {'start': 57, 'end': 71, 'username': 'freshegokid11', 'id': '1507046772413190158'}]}"
1,1507023584761466886,2022-03-24 15:56:36+00:00,False,"We're excited to announce @SteveWillDoIt as our latest partner 🙌

Steve will be exclusively playing on Rollbit 🎰

100% real money gambling 💸

We're hosting a $100,000 giveaway to kick things off!

More details soon 👀

Rollbit x SteveWillDoIt🤝 https://t.co/wDMHyURzgh",771,583,1311,28,{'media_keys': ['7_1507019898425262082']},"{'mentions': [{'start': 26, 'end': 40, 'username': 'stevewilldoit', 'id': '1049265018280263680'}], 'annotations': [{'start': 67, 'end': 71, 'probability': 0.6801, 'type': 'Person', 'normalized_text': 'Steve'}], 'urls': [{'start': 243, 'end': 266, 'url': 'https://t.co/wDMHyURzgh', 'expanded_url': 'https://twitter.com/rollbitcom/status/1507023584761466886/video/1', 'display_url': 'pic.twitter.com/wDMHyURzgh'}]}"
2,1506701072953491462,2022-03-23 18:35:03+00:00,True,"The winners have been drawn 🍀

Congratulations to the following:
@Trevor95351488🎉
@MnerPhar🎉
@psg5852🎉
@alexs20081🎉
@EricaCl19709299🎉

Lookout for our DM 👀

Verify the results: https://t.co/rieYSJHLTh",13,37,69,0,,"{'mentions': [{'start': 65, 'end': 80, 'username': 'Trevor95351488', 'id': '1411583993141551110'}, {'start': 82, 'end': 91, 'username': 'MnerPhar', 'id': '1502093877884309507'}, {'start': 93, 'end': 101, 'username': 'psg5852', 'id': '1188677696'}, {'start': 103, 'end': 114, 'username': 'alexs20081', 'id': '722394803120521216'}, {'start': 116, 'end': 132, 'username': 'EricaCl19709299', 'id': '1355754146339631108'}], 'urls': [{'start': 177, 'end': 200, 'url': 'https://t.co/rieYSJHLTh', 'expanded_url': 'https://pickaw.app/contests/check#p2KtgtjGbmGmX7Uu', 'display_url': 'pickaw.app/contests/check…'}]}"
3,1506351675744960516,2022-03-22 19:26:40+00:00,False,"RT @AyeZeeVIP: 🚨 LEADERBOARD UPDATE 

9 days to go on our $200,000 monthly leaderboard. These players are in the top 3 on their way to win:…",12,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'AyeZeeVIP', 'id': '1502730511864762373'}]}"
4,1505589990478254087,2022-03-20 17:00:00+00:00,False,"$APE is now available on Rollbit!

Trade @ApeCoin with up to 200x leverage 🚀

Trade: https://t.co/KZCy0ctRVm 📈

We own @BoredApeYC #7832, which made us eligible for the $APE airdrop 🦧

We're giving away 1,000 $APE ($10k+) between 5 lucky winners.

RT + Follow to enter! 💸 https://t.co/J7kQeqyKje",8696,778,5845,23,{'media_keys': ['3_1505585159134928897']},"{'mentions': [{'start': 41, 'end': 49, 'username': 'apecoin', 'id': '1489018530511175681'}, {'start': 119, 'end': 130, 'username': 'BoredApeYC', 'id': '1381699264011771906'}], 'cashtags': [{'start': 0, 'end': 4, 'tag': 'APE'}, {'start': 169, 'end': 173, 'tag': 'APE'}, {'start': 209, 'end': 213, 'tag': 'APE'}], 'urls': [{'start': 85, 'end': 108, 'url': 'https://t.co/KZCy0ctRVm', 'expanded_url': 'https://rollbit.com/trading/APE', 'display_url': 'rollbit.com/trading/APE'}, {'start': 272, 'end': 295, 'url': 'https://t.co/J7kQeqyKje', 'expanded_url': 'https://twitter.com/rollbitcom/status/1505589990478254087/photo/1', 'display_url': 'pic.twitter.com/J7kQeqyKje'}]}"
5,1505314426131472393,2022-03-19 22:45:01+00:00,False,"The Ukraine donation has been sent 🇺🇦

We rounded the donation up to 100 ETH

TXID: https://t.co/BdjajIOSvk

Thanks again to everyone that participated, we couldn't be happier with the result and the cause the funds have been sent to 🙌

Congrats again @Duelbits!

#PrayForUkraine https://t.co/E51m2tinlQ",325,148,478,7,{'media_keys': ['3_1505307223442038785']},"{'mentions': [{'start': 252, 'end': 261, 'username': 'Duelbits', 'id': '1225097874658222080'}], 'annotations': [{'start': 4, 'end': 10, 'probability': 0.8659, 'type': 'Place', 'normalized_text': 'Ukraine'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/BdjajIOSvk', 'expanded_url': 'https://etherscan.io/tx/0x95ef3d622b0f55ce03a513d249e04ec97f7a62f8247b2a3a6fc2907d1af5e17b', 'display_url': 'etherscan.io/tx/0x95ef3d622…'}, {'start': 280, 'end': 303, 'url': 'https://t.co/E51m2tinlQ', 'expanded_url': 'https://twitter.com/rollbitcom/status/1505314426131472393/photo/1', 'display_url': 'pic.twitter.com/E51m2tinlQ'}], 'hashtags': [{'start': 264, 'end': 279, 'tag': 'PrayForUkraine'}]}"
6,1505298500002721793,2022-03-19 21:41:44+00:00,False,"Our Sportsbook is now live for everyone! 🚨

Check it out: https://t.co/626pLcFav8 ⚽

We're supporting over 80 sports from launch 🏸

Additional benefits for Sports Rollbots holders 🤖 https://t.co/p3udfugtb4",206,90,315,4,{'media_keys': ['3_1505296258201800716']},"{'annotations': [{'start': 4, 'end': 13, 'probability': 0.6717, 'type': 'Organization', 'normalized_text': 'Sportsbook'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/626pLcFav8', 'expanded_url': 'https://rollbit.com/sports', 'display_url': 'rollbit.com/sports'}, {'start': 182, 'end': 205, 'url': 'https://t.co/p3udfugtb4', 'expanded_url': 'https://twitter.com/rollbitcom/status/1505298500002721793/photo/1', 'display_url': 'pic.twitter.com/p3udfugtb4'}]}"
7,1505278811830894593,2022-03-19 20:23:30+00:00,False,"The Sports Rollbots sale sold out! ⚡

The sale took only 2 minutes 🤯

Congratulations if you copped some! 🙌

Let's see how many you picked up below! 👇 https://t.co/7YsANpNSiD",303,226,529,5,{'media_keys': ['3_1505278406354784268']},"{'urls': [{'start': 151, 'end': 174, 'url': 'https://t.co/7YsANpNSiD', 'expanded_url': 'https://twitter.com/rollbitcom/status/1505278811830894593/photo/1', 'display_url': 'pic.twitter.com/7YsANpNSiD'}]}"
8,1505272903788498949,2022-03-19 20:00:01+00:00,False,"The Sports Rollbots NFT sale is live 🚨

Mint here: https://t.co/8LkaeMCgYA

Supply: 4,000 Sports Rollbots 🤖
Discount: $900 for WL &amp; V1 stakers 💸
Price: $1,000 for everyone else 💸

Join in the fun: https://t.co/Ylj7zfA4PU

GOOD LUCK 🍀 https://t.co/JilmDPF0P9",129,36,174,2,{'media_keys': ['3_1505270484081991683']},"{'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/8LkaeMCgYA', 'expanded_url': 'https://rollbot.com/nft/sportsbots', 'display_url': 'rollbot.com/nft/sportsbots'}, {'start': 201, 'end': 224, 'url': 'https://t.co/Ylj7zfA4PU', 'expanded_url': 'https://discord.gg/rollbots', 'display_url': 'discord.gg/rollbots'}, {'start': 238, 'end': 261, 'url': 'https://t.co/JilmDPF0P9', 'expanded_url': 'https://twitter.com/rollbitcom/status/1505272903788498949/photo/1', 'display_url': 'pic.twitter.com/JilmDPF0P9'}]}"
9,1505270381741019141,2022-03-19 19:50:00+00:00,False,"The Sports Rollbots NFT public sale is live in 10 mins!

Mint here: https://t.co/8LkaeMTSna

Supply: 4,000 Sports Rollbots 🤖
Discount: $900 for WL &amp; V1 stakers 💸
Price: $1,000 for everyone else 💸

Join in the fun: https://t.co/Ylj7zfRGeu https://t.co/9G92PVPaME",164,37,208,1,{'media_keys': ['3_1505268335482707971']},"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/8LkaeMTSna', 'expanded_url': 'https://rollbot.com/nft/sportsbots', 'display_url': 'rollbot.com/nft/sportsbots', 'status': 200, 'title': 'Rollbit', 'unwound_url': 'https://rollbot.com/nft/sportsbots'}, {'start': 218, 'end': 241, 'url': 'https://t.co/Ylj7zfRGeu', 'expanded_url': 'https://discord.gg/rollbots', 'display_url': 'discord.gg/rollbots'}, {'start': 242, 'end': 265, 'url': 'https://t.co/9G92PVPaME', 'expanded_url': 'https://twitter.com/rollbitcom/status/1505270381741019141/photo/1', 'display_url': 'pic.twitter.com/9G92PVPaME'}]}"
