,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1530216119617097728,2022-05-27 15:55:27+00:00,False,"This week for the battle scene to do adjustments, settings and modifications. Next week will launch the first demo version (internal) to coordinate the debugging of various functions https://t.co/ypFiKRIta3",6,5,17,0,{'media_keys': ['3_1530216084514942976']},"{'urls': [{'start': 183, 'end': 206, 'url': 'https://t.co/ypFiKRIta3', 'expanded_url': 'https://twitter.com/0xALINFT/status/1530216119617097728/photo/1', 'display_url': 'pic.twitter.com/ypFiKRIta3', 'media_key': '3_1530216084514942976'}]}"
1,1529123087157202945,2022-05-24 15:32:08+00:00,False,"For holders of Cometary #MusicNFT, 52 posters with autographs of #Paulwong will be given away.
Drawing of 5 whitelists #Whitelist 

1. Follow @0xALINFT &amp; @hmxnft 
2. Like + Retweet + Tag three friends
3. Join Discord: https://t.co/FWthms7W1k
24 hours deadline https://t.co/bAydkvo4sA",4,3,9,0,,"{'urls': [{'start': 222, 'end': 245, 'url': 'https://t.co/FWthms7W1k', 'expanded_url': 'http://discord.gg/2wvbX348Rt', 'display_url': 'discord.gg/2wvbX348Rt'}, {'start': 264, 'end': 287, 'url': 'https://t.co/bAydkvo4sA', 'expanded_url': 'https://twitter.com/hmxnft/status/1528009435301433344', 'display_url': 'twitter.com/hmxnft/status/…'}], 'hashtags': [{'start': 24, 'end': 33, 'tag': 'MusicNFT'}, {'start': 65, 'end': 74, 'tag': 'Paulwong'}, {'start': 119, 'end': 129, 'tag': 'Whitelist'}], 'mentions': [{'start': 142, 'end': 151, 'username': '0xALINFT', 'id': '1473561489634037760'}, {'start': 158, 'end': 165, 'username': 'hmxnft', 'id': '1507033394512687105'}]}"
2,1529122405658300417,2022-05-24 15:29:25+00:00,False,"RT @hmxnft: Paul Wong's autographed posters could be yours!

🎁On the day containing love, we would like to announce an exclusive benefit: 5…",1276,0,0,0,,"{'annotations': [{'start': 12, 'end': 20, 'probability': 0.9755, 'type': 'Person', 'normalized_text': 'Paul Wong'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'hmxnft', 'id': '1507033394512687105'}]}"
3,1529086847326244865,2022-05-24 13:08:08+00:00,True,"@burger_cities Winners 🏆
• @Fabryz77
• @shengchangli

✔️ https://t.co/Xe17fMnuVn",0,2,4,0,,"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/Xe17fMnuVn', 'expanded_url': 'https://twitterpicker.com/d/s7ev99rw', 'display_url': 'twitterpicker.com/d/s7ev99rw'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'burger_cities', 'id': '1303716662538047490'}, {'start': 27, 'end': 36, 'username': 'Fabryz77', 'id': '1380473740098691073'}, {'start': 39, 'end': 52, 'username': 'shengchangli', 'id': '888375774771675136'}]}"
4,1527971769185087490,2022-05-21 11:17:12+00:00,False,"Burger Cities X ALINFT
To celebrate the collab with BurgerCities——The first standardizing MetaFi Game on BSC.
2x First BC Residents NFT
✅ follow @burger_cities &amp; @0xALINFT
✅ ❤️ &amp; rt
✅ join dc: https://t.co/WAdtb8Iv5z https://t.co/nrDKEjEhfd",34,10,55,4,{'media_keys': ['3_1527971745533415424']},"{'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/WAdtb8Iv5z', 'expanded_url': 'https://discord.gg/burgercities', 'display_url': 'discord.gg/burgercities'}, {'start': 225, 'end': 248, 'url': 'https://t.co/nrDKEjEhfd', 'expanded_url': 'https://twitter.com/0xALINFT/status/1527971769185087490/photo/1', 'display_url': 'pic.twitter.com/nrDKEjEhfd', 'media_key': '3_1527971745533415424'}], 'mentions': [{'start': 145, 'end': 159, 'username': 'burger_cities', 'id': '1303716662538047490'}, {'start': 166, 'end': 175, 'username': '0xALINFT', 'id': '1473561489634037760'}]}"
5,1525129635763453952,2022-05-13 15:03:35+00:00,False,ALI THE FIGHT~🦊🦾 https://t.co/DEU4KOjNLX,10,2,30,1,{'media_keys': ['3_1525129464539394048']},"{'urls': [{'start': 17, 'end': 40, 'url': 'https://t.co/DEU4KOjNLX', 'expanded_url': 'https://twitter.com/0xALINFT/status/1525129635763453952/photo/1', 'display_url': 'pic.twitter.com/DEU4KOjNLX', 'media_key': '3_1525129464539394048'}]}"
6,1523697479711334402,2022-05-09 16:12:42+00:00,False,"🎉 Giving away 5 WL spots for 
@flickplayapp
 
🎉 

To participate : 
- Follow 
@flickplayapp &amp; @0xALINFT
- Like &amp; RT
- Tag 3 Friends 

Ends In 24 hours! https://t.co/UADOgD8wdh",20,21,22,0,{'media_keys': ['3_1523697455015272448']},"{'urls': [{'start': 160, 'end': 183, 'url': 'https://t.co/UADOgD8wdh', 'expanded_url': 'https://twitter.com/0xALINFT/status/1523697479711334402/photo/1', 'display_url': 'pic.twitter.com/UADOgD8wdh', 'media_key': '3_1523697455015272448'}], 'mentions': [{'start': 30, 'end': 43, 'username': 'flickplayapp', 'id': '1167255979945127936'}, {'start': 78, 'end': 91, 'username': 'flickplayapp', 'id': '1167255979945127936'}, {'start': 98, 'end': 107, 'username': '0xALINFT', 'id': '1473561489634037760'}]}"
7,1522634422390243328,2022-05-06 17:48:30+00:00,False,Ali wants to show you some hero skills. So cool! 😎 😎 https://t.co/Hv9OpNaeWr,8,7,23,0,"{'media_keys': ['3_1522634280920555520', '3_1522634392564547584', '3_1522634410763616256']}","{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/Hv9OpNaeWr', 'expanded_url': 'https://twitter.com/0xALINFT/status/1522634422390243328/photo/1', 'display_url': 'pic.twitter.com/Hv9OpNaeWr', 'media_key': '3_1522634280920555520'}, {'start': 53, 'end': 76, 'url': 'https://t.co/Hv9OpNaeWr', 'expanded_url': 'https://twitter.com/0xALINFT/status/1522634422390243328/photo/1', 'display_url': 'pic.twitter.com/Hv9OpNaeWr', 'media_key': '3_1522634392564547584'}, {'start': 53, 'end': 76, 'url': 'https://t.co/Hv9OpNaeWr', 'expanded_url': 'https://twitter.com/0xALINFT/status/1522634422390243328/photo/1', 'display_url': 'pic.twitter.com/Hv9OpNaeWr', 'media_key': '3_1522634410763616256'}], 'annotations': [{'start': 0, 'end': 2, 'probability': 0.9076, 'type': 'Person', 'normalized_text': 'Ali'}]}"
8,1522633530597310464,2022-05-06 17:44:57+00:00,True,"@PlanktonsParty Winners 🏆
• @kevinxte
• @SamWPJ
• @redsky995
• @Wraithallblack
• @JobsofNFT

✔️ https://t.co/QGrqSIiglg 
Please DM ALI your Discord ID and ETH Wallet address with proof.",0,2,4,0,,"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/QGrqSIiglg', 'expanded_url': 'https://twitterpicker.com/d/kb32m56c', 'display_url': 'twitterpicker.com/d/kb32m56c'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'PlanktonsParty', 'id': '1437484089683099658'}, {'start': 28, 'end': 37, 'username': 'kevinxte', 'id': '422635799'}, {'start': 40, 'end': 47, 'username': 'SamWPJ', 'id': '1489637297847140352'}, {'start': 50, 'end': 60, 'username': 'redsky995', 'id': '1376170481359851527'}, {'start': 63, 'end': 78, 'username': 'Wraithallblack', 'id': '1498091404471513090'}, {'start': 81, 'end': 91, 'username': 'JobsofNFT', 'id': '1487776893382369293'}]}"
9,1520057787929489408,2022-04-29 15:09:52+00:00,False,"The5⃣continents in the map have their own style and live different races 

🦊🦊There are also powerful guardians blocking access to other continents, the beavers must find ways to defeat them and restore peace on the continent.

#GameFi https://t.co/mhkxUegi36",11,8,34,0,{'media_keys': ['3_1520057120011751424']},"{'urls': [{'start': 235, 'end': 258, 'url': 'https://t.co/mhkxUegi36', 'expanded_url': 'https://twitter.com/0xALINFT/status/1520057787929489408/photo/1', 'display_url': 'pic.twitter.com/mhkxUegi36', 'media_key': '3_1520057120011751424'}], 'hashtags': [{'start': 227, 'end': 234, 'tag': 'GameFi'}]}"
10,1519366552256380930,2022-04-27 17:23:09+00:00,False,"🎧 Thanks to Planktons Party for dropping 5x Planklist spots! 

To win: 
1️⃣ Follow @PlanktonsParty &amp; @0xALINFT
2️⃣ Like &amp; Retweet 
3️⃣ Tag 3 Friends 

Ends in 48 hours! ⏰

Plankton gonna light it up 🚀

#NFT #NFTGiveaway https://t.co/lTgvqbK1tH",56,62,78,2,{'media_keys': ['3_1519366534589980672']},"{'urls': [{'start': 228, 'end': 251, 'url': 'https://t.co/lTgvqbK1tH', 'expanded_url': 'https://twitter.com/0xALINFT/status/1519366552256380930/photo/1', 'display_url': 'pic.twitter.com/lTgvqbK1tH', 'media_key': '3_1519366534589980672'}], 'hashtags': [{'start': 210, 'end': 214, 'tag': 'NFT'}, {'start': 215, 'end': 227, 'tag': 'NFTGiveaway'}], 'mentions': [{'start': 83, 'end': 98, 'username': 'PlanktonsParty', 'id': '1437484089683099658'}, {'start': 105, 'end': 114, 'username': '0xALINFT', 'id': '1473561489634037760'}]}"
