,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1527148758298808322,2022-05-19 04:46:51+00:00,True,"🎉Winners:

@D3M0N_D3G3N
@nft44059865
@monkeykwong02
@itsvivihime
@aa870507

DM us within 6 hours to claim your role!",0,2,3,0,,"{'mentions': [{'start': 11, 'end': 23, 'username': 'D3M0N_D3G3N', 'id': '1496771066475073542'}, {'start': 24, 'end': 36, 'username': 'nft44059865', 'id': '1456601720679956480'}, {'start': 37, 'end': 51, 'username': 'monkeykwong02', 'id': '1501970497885642755'}, {'start': 52, 'end': 64, 'username': 'itsvivihime', 'id': '1482570528472797184'}, {'start': 65, 'end': 74, 'username': 'aa870507', 'id': '2220036716'}]}"
1,1527148128280801280,2022-05-19 04:44:21+00:00,True,"Winners:
@Lordkishore13
@zoro5672
@Neffozz

DM us within 6 hours to claim your role!",0,2,3,0,,"{'mentions': [{'start': 9, 'end': 23, 'username': 'Lordkishore13', 'id': '1469174137729916930'}, {'start': 24, 'end': 33, 'username': 'zoro5672', 'id': '1371729415265214464'}, {'start': 34, 'end': 42, 'username': 'Neffozz', 'id': '1337463494'}]}"
2,1527147751623884800,2022-05-19 04:42:51+00:00,True,"🎉Winners:
@Lancerx_lb
@fukuroskinft
@BIGMIKEnftt
@RMARA_HJ
@synonymxx_

DM us within 6 hours to claim your role!",0,0,2,0,,"{'mentions': [{'start': 10, 'end': 21, 'username': 'Lancerx_lb', 'id': '1488449749292306432'}, {'start': 22, 'end': 35, 'username': 'fukuroskinft', 'id': '1492761928472547332'}, {'start': 36, 'end': 48, 'username': 'BIGMIKEnftt', 'id': '1482545012822798342'}, {'start': 49, 'end': 58, 'username': 'RMARA_HJ', 'id': '1494288365591486466'}, {'start': 59, 'end': 70, 'username': 'synonymxx_', 'id': '1495122476803764224'}]}"
3,1526475529750077440,2022-05-17 08:11:41+00:00,False,"A red warrior, tattooed from head to toe.🩸
3 clans, 600 traits, mint is in 2 days. 👀

LAST CALL 5x WL GIVEAWAY🎉
To enter:
   ✧ ❤️ &amp; RT
   ✧ !avenge

888🔥

#nft #AnimeNFT #NFTGiveaway #NFTCommunity https://t.co/pGmaothGc3",310,287,372,5,{'media_keys': ['3_1526475525803241473']},"{'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/pGmaothGc3', 'expanded_url': 'https://twitter.com/888_onryo/status/1526475529750077440/photo/1', 'display_url': 'pic.twitter.com/pGmaothGc3', 'media_key': '3_1526475525803241473'}], 'hashtags': [{'start': 159, 'end': 163, 'tag': 'nft'}, {'start': 164, 'end': 173, 'tag': 'AnimeNFT'}, {'start': 174, 'end': 186, 'tag': 'NFTGiveaway'}, {'start': 187, 'end': 200, 'tag': 'NFTCommunity'}]}"
4,1526097649933291521,2022-05-16 07:10:07+00:00,False,"One last sneak peek coming up before mint. 👀
This one's our personal favorite.🩸

🚨 The next 555 RTs will be raffled for some of the last WL spots. 
Good luck!🍀

888🔥

#nft #NFTGiveaway #NFTCommumity #AnimeNFT https://t.co/B9fPrLJQY3",267,96,270,1,{'media_keys': ['3_1526097644409327616']},"{'urls': [{'start': 209, 'end': 232, 'url': 'https://t.co/B9fPrLJQY3', 'expanded_url': 'https://twitter.com/888_onryo/status/1526097649933291521/photo/1', 'display_url': 'pic.twitter.com/B9fPrLJQY3', 'media_key': '3_1526097644409327616'}], 'hashtags': [{'start': 167, 'end': 171, 'tag': 'nft'}, {'start': 172, 'end': 184, 'tag': 'NFTGiveaway'}, {'start': 185, 'end': 198, 'tag': 'NFTCommumity'}, {'start': 199, 'end': 208, 'tag': 'AnimeNFT'}]}"
5,1525398245970546689,2022-05-14 08:50:57+00:00,False,"In response to market conditions, we've updated minting details. Here's the new schedule, more info in discord. https://t.co/fIQZhkyP5r

Let's try this again:
Another 5x WL will be given on this post. 🎉
   ✧ ❤️ &amp; RT
   ✧ Tag 3 frens

888🔥 https://t.co/5eqjdmAVzA",201,214,235,0,{'media_keys': ['3_1525398241931431936']},"{'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/fIQZhkyP5r', 'expanded_url': 'http://discord.gg/888-onryo', 'display_url': 'discord.gg/888-onryo', 'images': [{'url': 'https://pbs.twimg.com/news_img/1525023944457089024/A7KGGvUg?format=jpg&name=orig', 'width': 512, 'height': 237}, {'url': 'https://pbs.twimg.com/news_img/1525023944457089024/A7KGGvUg?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/888-onryo'}, {'start': 243, 'end': 266, 'url': 'https://t.co/5eqjdmAVzA', 'expanded_url': 'https://twitter.com/888_onryo/status/1525398245970546689/photo/1', 'display_url': 'pic.twitter.com/5eqjdmAVzA', 'media_key': '3_1525398241931431936'}]}"
6,1524849319525789696,2022-05-12 20:29:42+00:00,False,"RT @AlphaGangX: 🔥Alpha Gang x Onryo888 🥷

1x Onryo Whitelist Giveaway 🎉
Supply: 888 🥷

To Enter:
1️⃣Follow 
@AlphaGangX
@888_onryo
@Luubrot…",920,0,0,0,,"{'annotations': [{'start': 18, 'end': 61, 'probability': 0.4675, 'type': 'Product', 'normalized_text': 'Alpha Gang x Onryo888 🥷 1x Onryo Whitelist'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 108, 'end': 119, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 120, 'end': 130, 'username': '888_onryo', 'id': '1501708246410838018'}]}"
7,1524299159515238400,2022-05-11 08:03:34+00:00,True,Amazing fan animation by: @soysoomer,1,0,8,0,,"{'mentions': [{'start': 26, 'end': 36, 'username': 'soysoomer', 'id': '1507374960179777540'}]}"
8,1524299085104046080,2022-05-11 08:03:16+00:00,False,"Only true OGs know remember this one.
LAST CALL WL GIVEAWAY 1/2🎉

5x spots to be given on this post.👀
To enter:
   ✧ ❤️ &amp; RT
   ✧ !avenge

Tagging friends will improve your chances.

Good luck, onryō. 🍀
888🔥 https://t.co/uAGO3NNPTx",279,292,315,2,{'media_keys': ['7_1524299064807809024']},"{'urls': [{'start': 212, 'end': 235, 'url': 'https://t.co/uAGO3NNPTx', 'expanded_url': 'https://twitter.com/888_onryo/status/1524299085104046080/video/1', 'display_url': 'pic.twitter.com/uAGO3NNPTx', 'media_key': '7_1524299064807809024'}]}"
9,1523582977862643712,2022-05-09 08:37:43+00:00,True,"Winners:
@Dravlem
@Alexcubs75
@dimsum_jpeg

Dm us!",1,1,14,0,,"{'mentions': [{'start': 9, 'end': 17, 'username': 'Dravlem', 'id': '172262829'}, {'start': 18, 'end': 29, 'username': 'Alexcubs75', 'id': '1437741418672529412'}, {'start': 30, 'end': 42, 'username': 'dimsum_jpeg', 'id': '1208817478446370816'}]}"
