,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536731369329479680,2022-06-14 15:24:44+00:00,False,"GM☁️🐉

We are proud to announce that we are an official event partner of the widely raved after Degen Yacht Party organized by @MagicEden and @phantom for NFT NYC!

We will be extending the opportunities to our community members.

More information will be shared in our Discord! https://t.co/tGccCs3seM",53,19,196,3,{'media_keys': ['3_1536731248516771840']},"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/tGccCs3seM', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536731369329479680/photo/1', 'display_url': 'pic.twitter.com/tGccCs3seM', 'media_key': '3_1536731248516771840'}], 'annotations': [{'start': 97, 'end': 113, 'probability': 0.285, 'type': 'Organization', 'normalized_text': 'Degen Yacht Party'}, {'start': 156, 'end': 162, 'probability': 0.5187, 'type': 'Place', 'normalized_text': 'NFT NYC'}], 'mentions': [{'start': 127, 'end': 137, 'username': 'MagicEden', 'id': '1433121559057559555'}, {'start': 142, 'end': 150, 'username': 'phantom', 'id': '1379053041995890695'}]}"
1,1536723782236221440,2022-06-14 14:54:35+00:00,False,"RT @onchainbigbrain: I round the dungeon corner, ready for any danger lying in wait.

""Oh! Well hello there, boi,"" I marvel at the dragon's…",13,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'onchainbigbrain', 'id': '1377729799888760837'}]}"
2,1536391070010859520,2022-06-13 16:52:30+00:00,True,@Abrakad33568171 this looks amazing,0,1,7,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Abrakad33568171', 'id': '1347593523982319618'}]}"
3,1536354722105655296,2022-06-13 14:28:04+00:00,True,@khenith lfg 🫶,0,0,7,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'khenith', 'id': '73113042'}]}"
4,1536346368226127873,2022-06-13 13:54:52+00:00,True,"7/7
Should you require someone to talk to, all of our community members will be here for you.

Come talk to us, and let's hunker down, and get through this all together.

Towards Greater Heights. 

With love,
from the team at BOKU Labz. https://t.co/6gtDDvjXaO",3,2,57,0,{'media_keys': ['16_1536346355219591169']},"{'urls': [{'start': 237, 'end': 260, 'url': 'https://t.co/6gtDDvjXaO', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536346368226127873/photo/1', 'display_url': 'pic.twitter.com/6gtDDvjXaO', 'media_key': '16_1536346355219591169'}], 'annotations': [{'start': 226, 'end': 234, 'probability': 0.2847, 'type': 'Person', 'normalized_text': 'BOKU Labz'}]}"
5,1536346352908546048,2022-06-13 13:54:49+00:00,True,"6/7
One should make the necessary moves to protect oneself in periods of uncertainty like this.

Periods like this can be disruptive to one's mental health and well-being.

We hope you will continue to watch out for yourself and your loved ones around you. https://t.co/LQ6Y6os2hv",1,1,43,0,{'media_keys': ['16_1536346339302199297']},"{'urls': [{'start': 257, 'end': 280, 'url': 'https://t.co/LQ6Y6os2hv', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536346352908546048/photo/1', 'display_url': 'pic.twitter.com/LQ6Y6os2hv', 'media_key': '16_1536346339302199297'}]}"
6,1536346337167364097,2022-06-13 13:54:45+00:00,True,"5/7
As individuals are now evaluating their current financial positions amidst the uncertainties, know that there will be no shame at all.

Every individual undergoes a unique situation and no one should be making decisions on behalf of you.

You are the master of your own fate. https://t.co/2vkXA66Ryj",1,1,34,0,{'media_keys': ['16_1536346327092645889']},"{'urls': [{'start': 280, 'end': 303, 'url': 'https://t.co/2vkXA66Ryj', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536346337167364097/photo/1', 'display_url': 'pic.twitter.com/2vkXA66Ryj', 'media_key': '16_1536346327092645889'}]}"
7,1536346325045850112,2022-06-13 13:54:42+00:00,True,"4/7
We would like to use this opportunity to remind our community members to always put themselves as the first priority above all else.

BOKU Labz will continue to be a home for the past, the present and the future holders, no matter what the environmental factors are. https://t.co/3ir3aHBlqU",1,2,37,0,{'media_keys': ['16_1536346313456951299']},"{'urls': [{'start': 271, 'end': 294, 'url': 'https://t.co/3ir3aHBlqU', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536346325045850112/photo/1', 'display_url': 'pic.twitter.com/3ir3aHBlqU', 'media_key': '16_1536346313456951299'}]}"
8,1536346311569444868,2022-06-13 13:54:39+00:00,True,"3/7
Our plan to actively build and drive long term value remains completely undisrupted and are stronger than ever with the rise of BOKU Labz.

Our team will continue to monitor the situation and adapt to it as we deem fit. https://t.co/u0vGXPmW5h",2,1,42,0,{'media_keys': ['16_1536346300177739776']},"{'urls': [{'start': 224, 'end': 247, 'url': 'https://t.co/u0vGXPmW5h', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536346311569444868/photo/1', 'display_url': 'pic.twitter.com/u0vGXPmW5h', 'media_key': '16_1536346300177739776'}]}"
9,1536346298164518914,2022-06-13 13:54:36+00:00,True,"2/7
We have de-risked our treasury before the cascading has started taking place.

We have ample funds kept in stablecoins as we continue to adopt a long-term mindset in everything we do.

This provides us a long runway to keep building for the foreseeable future. https://t.co/5ZXZYdJRJx",1,2,49,0,{'media_keys': ['16_1536346283945799682']},"{'urls': [{'start': 265, 'end': 288, 'url': 'https://t.co/5ZXZYdJRJx', 'expanded_url': 'https://twitter.com/AkumuDragonz/status/1536346298164518914/photo/1', 'display_url': 'pic.twitter.com/5ZXZYdJRJx', 'media_key': '16_1536346283945799682'}]}"
