,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1544595929311084545,2022-07-06 08:15:41+00:00,False,"RT @DarkEchelonNFT: We would like to announce our long-term partnership with @Luubrothers666
 
Details:

- Expansion of Dark Echelon brand…",129,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'DarkEchelonNFT', 'id': '1441494439025905670'}, {'start': 77, 'end': 92, 'username': 'Luubrothers666', 'id': '1501618336542912514'}]}"
1,1544438059445366785,2022-07-05 21:48:22+00:00,False,"🎁 WHITELIST GIVEAWAY! 🎁

@AlphaGangX x @MysticsNFT 

We will be giving away:
• 🎟️ 2x WL spots for @MysticsNFT 

To enter:
• Follow @AlphaGangX &amp; @AG_Giveaway &amp; @MysticsNFT 
• Retweet + Like this post
• Tag 3 friends
• Ends in 48Hrs https://t.co/ZKVfElVQfx",1889,1330,1423,4,{'media_keys': ['7_1544437630665797632']},"{'urls': [{'start': 240, 'end': 263, 'url': 'https://t.co/ZKVfElVQfx', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1544438059445366785/video/1', 'display_url': 'pic.twitter.com/ZKVfElVQfx', 'media_key': '7_1544437630665797632'}], 'mentions': [{'start': 25, 'end': 36, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 39, 'end': 50, 'username': 'MysticsNFT', 'id': '1489066600816799747'}, {'start': 98, 'end': 109, 'username': 'MysticsNFT', 'id': '1489066600816799747'}, {'start': 131, 'end': 142, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 149, 'end': 161, 'username': 'AG_Giveaway', 'id': '1521524212225224709'}, {'start': 168, 'end': 179, 'username': 'MysticsNFT', 'id': '1489066600816799747'}]}"
2,1544391944155152384,2022-07-05 18:45:07+00:00,True,"@memeland @KaijuKingz @BoredApeYC @CryptoDickbutts @CyberKongz @GutterCatGang @moonbirds Let’s get the Gang some 🥔 , we love a good Meme 🤝 https://t.co/MY8SJA1FLB",53,34,84,0,{'media_keys': ['3_1544391935795859458']},"{'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/MY8SJA1FLB', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1544391944155152384/photo/1', 'display_url': 'pic.twitter.com/MY8SJA1FLB', 'media_key': '3_1544391935795859458'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'memeland', 'id': '1491285218422300673'}, {'start': 10, 'end': 21, 'username': 'KaijuKingz', 'id': '1444937781441187842'}, {'start': 22, 'end': 33, 'username': 'BoredApeYC', 'id': '1381699264011771906'}, {'start': 34, 'end': 50, 'username': 'CryptoDickbutts', 'id': '1366854653640597505'}, {'start': 51, 'end': 62, 'username': 'CyberKongz', 'id': '1367095024069062657'}, {'start': 63, 'end': 77, 'username': 'GutterCatGang', 'id': '1391917111614877696'}, {'start': 78, 'end': 88, 'username': 'moonbirds', 'id': '1498857371547828224'}]}"
3,1543978472238104577,2022-07-04 15:22:08+00:00,False,"🎁 WHITELIST GIVEAWAY! 🎁

We will be giving away:
• 🎟️3x WL spots for @yokaiverseio

To enter:
• Follow @AlphaGangX &amp; @AG_Giveaway &amp; @yokaiverseio
• Retweet + Like this post
• Tag 3 friends
• Ends in 48Hrs https://t.co/jxLJ9fO84P",1192,1114,1096,1,{'media_keys': ['3_1543978415933784065']},"{'urls': [{'start': 213, 'end': 236, 'url': 'https://t.co/jxLJ9fO84P', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1543978472238104577/photo/1', 'display_url': 'pic.twitter.com/jxLJ9fO84P', 'media_key': '3_1543978415933784065'}], 'mentions': [{'start': 69, 'end': 82, 'username': 'YokaiVerseIO', 'id': '1491109103107817476'}, {'start': 103, 'end': 114, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 121, 'end': 133, 'username': 'AG_Giveaway', 'id': '1521524212225224709'}, {'start': 140, 'end': 153, 'username': 'YokaiVerseIO', 'id': '1491109103107817476'}]}"
4,1543619409033691136,2022-07-03 15:35:20+00:00,False,"🎁 WHITELIST GIVEAWAY! 🎁

@AlphaGangX x @tinyastroNFT

We will be giving away:
• 🎟️ 2x WL spots for @tinyastroNFT
 
To enter:
• Follow @AlphaGangX &amp; @AG_Giveaway &amp; @tinyastroNFT
• Retweet + Like this post
• Tag 3 friends
• Ends in 48Hrs https://t.co/o119b3Otey",744,896,764,4,{'media_keys': ['7_1543619114715193344']},"{'urls': [{'start': 244, 'end': 267, 'url': 'https://t.co/o119b3Otey', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1543619409033691136/video/1', 'display_url': 'pic.twitter.com/o119b3Otey', 'media_key': '7_1543619114715193344'}], 'mentions': [{'start': 25, 'end': 36, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 39, 'end': 52, 'username': 'tinyastroNFT', 'id': '1485725676938444802'}, {'start': 99, 'end': 112, 'username': 'tinyastroNFT', 'id': '1485725676938444802'}, {'start': 134, 'end': 145, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 152, 'end': 164, 'username': 'AG_Giveaway', 'id': '1521524212225224709'}, {'start': 171, 'end': 184, 'username': 'tinyastroNFT', 'id': '1485725676938444802'}]}"
5,1543453851797315585,2022-07-03 04:37:28+00:00,False,Some of the 🔥 Whitelists our Gang Fam has been able to purchase on our Marketplace recently! https://t.co/DEYkCCGjRy,106,47,175,5,{'media_keys': ['3_1543453843685613568']},"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/DEYkCCGjRy', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1543453851797315585/photo/1', 'display_url': 'pic.twitter.com/DEYkCCGjRy', 'media_key': '3_1543453843685613568'}]}"
6,1543254518166847488,2022-07-02 15:25:24+00:00,False,"We have established a long term partnership with @2112Run

@AlphaGangX is happy to welcome the 2112 crew into the Gang Fam, thank you for your support 🤝

https://t.co/1f92Lj6q37",14,2,44,0,,"{'urls': [{'start': 154, 'end': 177, 'url': 'https://t.co/1f92Lj6q37', 'expanded_url': 'https://www.youtube.com/watch?v=ZkxO0UgsCAY', 'display_url': 'youtube.com/watch?v=ZkxO0U…', 'status': 200, 'title': '2112.RUN - UPCOMING P2E NFT GAME', 'description': 'Trailer for the upcoming P2E NFT project 2112.run.2112.run is a P2E RPG NFT project in the cyberpunk genre with strong utility and an active, professional de...', 'unwound_url': 'https://www.youtube.com/watch?v=ZkxO0UgsCAY'}], 'mentions': [{'start': 49, 'end': 57, 'username': '2112Run', 'id': '1427190853731291139'}, {'start': 59, 'end': 70, 'username': 'AlphaGangX', 'id': '1501903411855437829'}]}"
7,1542848179028512768,2022-07-01 12:30:45+00:00,False,"🎁 NFTs GIVEAWAY! 🎁

@AlphaGangX x @DiamondsClub_

We are giving away:
• 1 Diamonds Club NFT Pass [0.70ETH] 🤝
Airdrop
• 1 Alpha Gang Gen 2 by 🤝Airdrop

To enter:
• Follow @AlphaGangX &amp; @AG_Giveaway &amp; @DiamondsClub
• Retweet + Like this post
• Tag 3 friends
• in 48Hrs https://t.co/hNjvUU87p2",6639,8823,5195,9,{'media_keys': ['7_1542847858441068549']},"{'urls': [{'start': 275, 'end': 298, 'url': 'https://t.co/hNjvUU87p2', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1542848179028512768/video/1', 'display_url': 'pic.twitter.com/hNjvUU87p2', 'media_key': '7_1542847858441068549'}], 'mentions': [{'start': 20, 'end': 31, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 34, 'end': 48, 'username': 'DiamondsClub_', 'id': '1526826361427529728'}, {'start': 170, 'end': 181, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 188, 'end': 200, 'username': 'AG_Giveaway', 'id': '1521524212225224709'}, {'start': 207, 'end': 220, 'username': 'DiamondsClub', 'id': '141641078'}]}"
8,1542500113066520576,2022-06-30 13:27:39+00:00,False,"RT @AlphaBeesClub: 2DAYS TO MINT 好期待

#SneakPeek #中文社區 #ALPHA #NFTs #asiaalpha #eth #btc #Metaverse #asiamoney #NFTWorlds #NFTCommunity #NF…",31,0,0,0,,"{'hashtags': [{'start': 38, 'end': 48, 'tag': 'SneakPeek'}, {'start': 49, 'end': 54, 'tag': '中文社區'}, {'start': 55, 'end': 61, 'tag': 'ALPHA'}, {'start': 62, 'end': 67, 'tag': 'NFTs'}, {'start': 68, 'end': 78, 'tag': 'asiaalpha'}, {'start': 79, 'end': 83, 'tag': 'eth'}, {'start': 84, 'end': 88, 'tag': 'btc'}, {'start': 89, 'end': 99, 'tag': 'Metaverse'}, {'start': 100, 'end': 110, 'tag': 'asiamoney'}, {'start': 111, 'end': 121, 'tag': 'NFTWorlds'}, {'start': 122, 'end': 135, 'tag': 'NFTCommunity'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'AlphaBeesClub', 'id': '1493173801080688640'}]}"
9,1541812900855431169,2022-06-28 15:56:55+00:00,False,"🎁 WHITELIST GIVEAWAY! 🎁

@AlphaGangX x @PhantomZeroNFT

We will be giving away:
• 🎟️ 3x WL spot for @PhantomZeroNFT
 
To enter:
• Follow @AlphaGangX &amp; @AG_Giveaway &amp; @PhantomZeroNFT
• Retweet + Like this post
• Tag 3 friends
• Ends in 48Hrs https://t.co/6FNp715P5n",514,1718,475,1,{'media_keys': ['16_1541812871558201344']},"{'urls': [{'start': 249, 'end': 272, 'url': 'https://t.co/6FNp715P5n', 'expanded_url': 'https://twitter.com/AlphaGangX/status/1541812900855431169/photo/1', 'display_url': 'pic.twitter.com/6FNp715P5n', 'media_key': '16_1541812871558201344'}], 'mentions': [{'start': 25, 'end': 36, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 39, 'end': 54, 'username': 'PhantomZeroNFT', 'id': '1516358036662722560'}, {'start': 100, 'end': 115, 'username': 'PhantomZeroNFT', 'id': '1516358036662722560'}, {'start': 137, 'end': 148, 'username': 'AlphaGangX', 'id': '1501903411855437829'}, {'start': 155, 'end': 167, 'username': 'AG_Giveaway', 'id': '1521524212225224709'}, {'start': 174, 'end': 189, 'username': 'PhantomZeroNFT', 'id': '1516358036662722560'}]}"
