,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534053784531349506,2022-06-07 06:04:58+00:00,False,RT @metawuhuama: love in the garden @AzukiOfficial ⛩️🔊 https://t.co/aGjAf6Oui4,62,0,0,0,{'media_keys': ['7_1533801490649063424']},"{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/aGjAf6Oui4', 'expanded_url': 'https://twitter.com/metawuhuama/status/1533801635868454912/video/1', 'display_url': 'pic.twitter.com/aGjAf6Oui4', 'media_key': '7_1533801490649063424'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'metawuhuama', 'id': '905628305113497600'}, {'start': 36, 'end': 50, 'username': 'AzukiOfficial', 'id': '1432583226707484676'}]}"
1,1533884175010238465,2022-06-06 18:51:00+00:00,True,@metawuhuama @AzukiOfficial 🕊️🤘,0,1,22,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'metawuhuama', 'id': '905628305113497600'}, {'start': 13, 'end': 27, 'username': 'AzukiOfficial', 'id': '1432583226707484676'}]}"
2,1532777549583028224,2022-06-03 17:33:40+00:00,False,"For Antonym: Genesis holders, @exclusible has allocated a generous allocation of VIP WL spots for their upcoming Luxury Penthouse drop. 

Head to the link below by June 7th to enter:

https://t.co/WLWNDubxHf https://t.co/WGoUghKIIR",24,13,123,0,{'media_keys': ['3_1532777163530846209']},"{'urls': [{'start': 184, 'end': 207, 'url': 'https://t.co/WLWNDubxHf', 'expanded_url': 'https://www.premint.xyz/exclusible-penthouse-official/antonymgenesis/', 'display_url': 'premint.xyz/exclusible-pen…'}, {'start': 208, 'end': 231, 'url': 'https://t.co/WGoUghKIIR', 'expanded_url': 'https://twitter.com/AntonymNFT/status/1532777549583028224/photo/1', 'display_url': 'pic.twitter.com/WGoUghKIIR', 'media_key': '3_1532777163530846209'}], 'mentions': [{'start': 30, 'end': 41, 'username': 'exclusible', 'id': '1401858934474956804'}]}"
3,1532609497490857984,2022-06-03 06:25:53+00:00,False,"Antonym presents: EXPLANATORY GAP, in partnership with @exclusible

Parallel to https://t.co/fkIWSSYhVx, attendees get a first-ever look at physical editions and experience Antonym's concept space, brought to life in the heart of Chelsea, NYC. 

June 21. 4PM EST
Lavan 541. NYC https://t.co/O2erWRkKBb",44,16,151,5,{'media_keys': ['3_1532607618488799233']},"{'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/fkIWSSYhVx', 'expanded_url': 'http://NFT.NYC', 'display_url': 'NFT.NYC'}, {'start': 278, 'end': 301, 'url': 'https://t.co/O2erWRkKBb', 'expanded_url': 'https://twitter.com/AntonymNFT/status/1532609497490857984/photo/1', 'display_url': 'pic.twitter.com/O2erWRkKBb', 'media_key': '3_1532607618488799233'}], 'annotations': [{'start': 230, 'end': 236, 'probability': 0.8879, 'type': 'Place', 'normalized_text': 'Chelsea'}, {'start': 239, 'end': 241, 'probability': 0.5583, 'type': 'Place', 'normalized_text': 'NYC'}, {'start': 274, 'end': 276, 'probability': 0.6143, 'type': 'Place', 'normalized_text': 'NYC'}], 'mentions': [{'start': 55, 'end': 66, 'username': 'exclusible', 'id': '1401858934474956804'}]}"
4,1532421577525997569,2022-06-02 17:59:09+00:00,False,We’re live in 5. Join in to hear about our developing partnership with @exclusible and their upcoming Penthouse Drop https://t.co/GfFRE8NLsz,9,8,61,2,,"{'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/GfFRE8NLsz', 'expanded_url': 'https://twitter.com/i/spaces/1mnxedzPzRZJX', 'display_url': 'twitter.com/i/spaces/1mnxe…'}], 'mentions': [{'start': 71, 'end': 82, 'username': 'exclusible', 'id': '1401858934474956804'}]}"
5,1532409150071681044,2022-06-02 17:09:46+00:00,False,"RT @exclusible: Make sure you don't miss our @TwitterSpaces with @AntonymNFT today! 
Set the reminder: https://t.co/PUF1xU9RnI https://t.co…",11,0,0,0,,"{'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/PUF1xU9RnI', 'expanded_url': 'https://twitter.com/i/spaces/1mnxedzPzRZJX?s=20', 'display_url': 'twitter.com/i/spaces/1mnxe…'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'exclusible', 'id': '1401858934474956804'}, {'start': 45, 'end': 59, 'username': 'TwitterSpaces', 'id': '1065249714214457345'}, {'start': 65, 'end': 76, 'username': 'AntonymNFT', 'id': '1425997880083554310'}]}"
6,1532395289234927616,2022-06-02 16:14:42+00:00,False,https://t.co/GfFRE8NLsz,19,7,56,1,,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GfFRE8NLsz', 'expanded_url': 'https://twitter.com/i/spaces/1mnxedzPzRZJX', 'display_url': 'twitter.com/i/spaces/1mnxe…'}]}"
7,1532081701949612033,2022-06-01 19:28:37+00:00,True,@exclusible @napalm_eth @exclusible 🤝🏙️,4,1,32,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'exclusible', 'id': '1401858934474956804'}, {'start': 12, 'end': 23, 'username': 'napalm_eth', 'id': '866655565'}, {'start': 24, 'end': 35, 'username': 'exclusible', 'id': '1401858934474956804'}]}"
8,1530224870574788608,2022-05-27 16:30:14+00:00,False,RT @GotrillaGorilla: Anyone else grabbing @AntonymNFT for physicals? https://t.co/RwT8wylaV2,24,0,0,0,"{'media_keys': ['3_1530224430370144256', '3_1530224430374391808', '3_1530224430370238467', '3_1530224430366052352']}","{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/RwT8wylaV2', 'expanded_url': 'https://twitter.com/GotrillaGorilla/status/1530224435302629382/photo/1', 'display_url': 'pic.twitter.com/RwT8wylaV2', 'media_key': '3_1530224430370144256'}, {'start': 69, 'end': 92, 'url': 'https://t.co/RwT8wylaV2', 'expanded_url': 'https://twitter.com/GotrillaGorilla/status/1530224435302629382/photo/1', 'display_url': 'pic.twitter.com/RwT8wylaV2', 'media_key': '3_1530224430374391808'}, {'start': 69, 'end': 92, 'url': 'https://t.co/RwT8wylaV2', 'expanded_url': 'https://twitter.com/GotrillaGorilla/status/1530224435302629382/photo/1', 'display_url': 'pic.twitter.com/RwT8wylaV2', 'media_key': '3_1530224430370238467'}, {'start': 69, 'end': 92, 'url': 'https://t.co/RwT8wylaV2', 'expanded_url': 'https://twitter.com/GotrillaGorilla/status/1530224435302629382/photo/1', 'display_url': 'pic.twitter.com/RwT8wylaV2', 'media_key': '3_1530224430366052352'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'GotrillaGorilla', 'id': '922049207304966144'}, {'start': 42, 'end': 53, 'username': 'AntonymNFT', 'id': '1425997880083554310'}]}"
9,1530205826060722178,2022-05-27 15:14:33+00:00,False,"RT @rftpclub: #theartofprogress 
60k+ signups for the raffle.
we stand together, thank you web3 community. https://t.co/K2M1UtrDkG",49,0,0,0,{'media_keys': ['7_1529786180384038915']},"{'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/K2M1UtrDkG', 'expanded_url': 'https://twitter.com/rftpclub/status/1529786301704196097/video/1', 'display_url': 'pic.twitter.com/K2M1UtrDkG', 'media_key': '7_1529786180384038915'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'rftpclub', 'id': '1495419711714123776'}], 'hashtags': [{'start': 14, 'end': 31, 'tag': 'theartofprogress'}]}"
