,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1524102471383015424,2022-05-10 19:02:00+00:00,False,"Stay Bold, Stay Gold 🏆

Snap a pic of the boldest fit you have👇 https://t.co/NZZ6eCxLVi",83,52,298,1,{'media_keys': ['3_1524053485246828544']},"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/NZZ6eCxLVi', 'expanded_url': 'https://twitter.com/BBRCOfficial/status/1524102471383015424/photo/1', 'display_url': 'pic.twitter.com/NZZ6eCxLVi', 'media_key': '3_1524053485246828544'}]}"
1,1524041961916706817,2022-05-10 15:01:33+00:00,False,"The clock is ticking ⏰

The prize could be yours 😉 just follow these steps 👇

It’s as easy as 1️⃣2️⃣3️⃣ https://t.co/TbmxILhWxI",105,89,207,17,,"{'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/TbmxILhWxI', 'expanded_url': 'https://twitter.com/bbrcofficial/status/1523740772658388993', 'display_url': 'twitter.com/bbrcofficial/s…'}]}"
2,1524024055678046210,2022-05-10 13:50:24+00:00,False,"RT @MrGentleApe: Bearing good news till it’s Bullish again. 

Reveal -&gt; Air Drop -&gt; NYC NFT Party. Let’s go. https://t.co/t8d8W1XPHO",147,0,0,0,{'media_keys': ['3_1524020271040147457']},"{'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/t8d8W1XPHO', 'expanded_url': 'https://twitter.com/MrGentleApe/status/1524020281920004096/photo/1', 'display_url': 'pic.twitter.com/t8d8W1XPHO', 'media_key': '3_1524020271040147457'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'MrGentleApe', 'id': '258634938'}]}"
3,1524018728781815808,2022-05-10 13:29:14+00:00,False,"RT @Whale_Jim: Currently holding 3 @BBRCOfficial NFTs.
Launch was in the biggest bear market seen in a long time. Still BBRC has sold out w…",105,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'Whale_Jim', 'id': '1389899802197037057'}, {'start': 35, 'end': 48, 'username': 'BBRCOfficial', 'id': '1511596580683452418'}]}"
4,1523982102227668993,2022-05-10 11:03:42+00:00,False,"RT @IDJoey: Super smooth mint from the @BBRCOfficial #BBRC #IvyBoys team!!⚡️

I've been eyeing for this for a long time as the art reminded…",74,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': 'IDJoey', 'id': '139071163'}, {'start': 39, 'end': 52, 'username': 'BBRCOfficial', 'id': '1511596580683452418'}], 'hashtags': [{'start': 53, 'end': 58, 'tag': 'BBRC'}, {'start': 59, 'end': 67, 'tag': 'IvyBoys'}]}"
5,1523957295780032512,2022-05-10 09:25:07+00:00,False,"We are SOLD OUT! 🥳

Thank YOU for your incredible support!❤️

Stay tuned, we have loads more coming your way 😉

Hint: If you have an #IVYBOYS, you might wanna hold on to it 👀 https://t.co/dVIBxwniba",294,122,855,35,{'media_keys': ['3_1523956325201235969']},"{'urls': [{'start': 175, 'end': 198, 'url': 'https://t.co/dVIBxwniba', 'expanded_url': 'https://twitter.com/BBRCOfficial/status/1523957295780032512/photo/1', 'display_url': 'pic.twitter.com/dVIBxwniba', 'media_key': '3_1523956325201235969'}], 'hashtags': [{'start': 133, 'end': 141, 'tag': 'IVYBOYS'}]}"
6,1523955738338488321,2022-05-10 09:18:56+00:00,True,@PillCozbey Got to thank our devs for that 😏,1,4,12,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'PillCozbey', 'id': '3224165076'}]}"
7,1523955268693897216,2022-05-10 09:17:04+00:00,False,Trending on @NFTNerdsAI 👀 https://t.co/dsXLM6qagH,86,59,219,0,{'media_keys': ['3_1523955060698324992']},"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/dsXLM6qagH', 'expanded_url': 'https://twitter.com/BBRCOfficial/status/1523955268693897216/photo/1', 'display_url': 'pic.twitter.com/dsXLM6qagH', 'media_key': '3_1523955060698324992'}], 'mentions': [{'start': 12, 'end': 23, 'username': 'NFTNerdsAI', 'id': '1452711913100615683'}]}"
8,1523954756556795905,2022-05-10 09:15:02+00:00,True,@fabsverseNFT @MrGentleApe Welcome to the #IVYBOYS fam! 🎉,0,4,2,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'fabsverseNFT', 'id': '2847993267'}, {'start': 14, 'end': 26, 'username': 'MrGentleApe', 'id': '258634938'}], 'hashtags': [{'start': 42, 'end': 50, 'tag': 'IVYBOYS'}]}"
9,1523954579469004800,2022-05-10 09:14:20+00:00,False,"RT @fabsverseNFT: Just minted my @BBRCOfficial 👔
As a fashion lover I couldn’t miss this drop 🤙 @MrGentleApe 

#BBRC #BBRCOfficial #Ivyboys…",54,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'fabsverseNFT', 'id': '2847993267'}, {'start': 33, 'end': 46, 'username': 'BBRCOfficial', 'id': '1511596580683452418'}, {'start': 96, 'end': 108, 'username': 'MrGentleApe', 'id': '258634938'}], 'hashtags': [{'start': 111, 'end': 116, 'tag': 'BBRC'}, {'start': 117, 'end': 130, 'tag': 'BBRCOfficial'}, {'start': 131, 'end': 139, 'tag': 'Ivyboys'}]}"
10,1523954551904096256,2022-05-10 09:14:13+00:00,False,"RT @bettercall420: Yeessssir !🌍🪐 just minted (it was tough 🫡😅) @BBRCOfficial 

Waiting for reveal mode turned on 🪐😎 https://t.co/Jsq2AObK1Y",45,0,0,0,{'media_keys': ['3_1523954193807155200']},"{'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/Jsq2AObK1Y', 'expanded_url': 'https://twitter.com/bettercall420/status/1523954197812723712/photo/1', 'display_url': 'pic.twitter.com/Jsq2AObK1Y', 'media_key': '3_1523954193807155200'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'bettercall420', 'id': '4571018182'}, {'start': 63, 'end': 76, 'username': 'BBRCOfficial', 'id': '1511596580683452418'}]}"
11,1523954524850778112,2022-05-10 09:14:07+00:00,False,RT @macroreach: let's go! not sure where but still...let's go! @BBRCOfficial @MrGentleApe #NFTMinting https://t.co/EtXQlG9dHC,13,0,0,0,{'media_keys': ['3_1523954047606489090']},"{'urls': [{'start': 102, 'end': 125, 'url': 'https://t.co/EtXQlG9dHC', 'expanded_url': 'https://twitter.com/macroreach/status/1523954302930530309/photo/1', 'display_url': 'pic.twitter.com/EtXQlG9dHC', 'media_key': '3_1523954047606489090'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'macroreach', 'id': '1372082443390312450'}, {'start': 63, 'end': 76, 'username': 'BBRCOfficial', 'id': '1511596580683452418'}, {'start': 77, 'end': 89, 'username': 'MrGentleApe', 'id': '258634938'}], 'hashtags': [{'start': 90, 'end': 101, 'tag': 'NFTMinting'}]}"
12,1523951014906269698,2022-05-10 09:00:10+00:00,False,"🌟 PUBLIC MINT IS LIVE 🌟

1 wallet ➡️ 1 mint 

Our team designed the contract to have 1 wallet ➡️ 1 mint to give maximum unique holders for our collection.

We want as many people to own a #IVYBOYS NFT 🥳

Link: https://t.co/tJFfspttqA",73,65,172,1,,"{'urls': [{'start': 210, 'end': 233, 'url': 'https://t.co/tJFfspttqA', 'expanded_url': 'http://mint.bbrc.io', 'display_url': 'mint.bbrc.io'}], 'hashtags': [{'start': 188, 'end': 196, 'tag': 'IVYBOYS'}]}"
13,1523936182039588865,2022-05-10 08:01:13+00:00,False,"1 MORE HOUR TO PUBLIC MINT.

LFGGG🔥",62,43,249,1,,
14,1523929135592390662,2022-05-10 07:33:13+00:00,False,"RT @qynojuan: idc the gas fee ripped me off last night, bought mine in OS! LFG BOYS! 🔥 
@BBRCOfficial @MrGentleApe @MrHaotoshi 

 #bbrcnft…",52,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'qynojuan', 'id': '28965806'}, {'start': 88, 'end': 101, 'username': 'BBRCOfficial', 'id': '1511596580683452418'}, {'start': 102, 'end': 114, 'username': 'MrGentleApe', 'id': '258634938'}, {'start': 115, 'end': 126, 'username': 'MrHaotoshi', 'id': '1372050594253262854'}], 'hashtags': [{'start': 130, 'end': 138, 'tag': 'bbrcnft'}]}"
15,1523921717457870848,2022-05-10 07:03:45+00:00,False,"BATCH 2 MIN CLOSING IN ROUGHLY 2 HOURS TIME✨

Reminder for all raffle winners to mint, all remainders will go to public mint 😈",56,78,165,1,,
