,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1538993741649829888,2022-06-20 21:14:35+00:00,False,F*ck the 🐻 market! What NFTs have you got your lil paws on recently?,5,16,43,3,,
1,1538970144617254912,2022-06-20 19:40:49+00:00,True,@LuarnmamaC Awesome 😎,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'LuarnmamaC', 'id': '1482707249982500867'}]}"
2,1538926460538392578,2022-06-20 16:47:14+00:00,False,"Ofc everyone is invited to Binkyville 💌 but only holders can enjoy:
💝 Giveways &amp; WL
🚌 The BinkyAcademy
🏦 The BinkyBank
🏪 The Binkies Marketplace 
👀 Other exclusive perks

All these utilities from a Free Mint🎉",25,6,79,0,,
3,1538923291448057857,2022-06-20 16:34:39+00:00,True,@TheRealHambis @chriscantino ❤️❤️❤️,0,0,5,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'TheRealHambis', 'id': '1264675380'}, {'start': 15, 'end': 28, 'username': 'chriscantino', 'id': '99188594'}]}"
4,1538922996953399301,2022-06-20 16:33:28+00:00,True,@beaztbeatz @TurboooNFT @chriscantino Bad**s,1,0,3,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'beaztbeatz', 'id': '237881588'}, {'start': 12, 'end': 23, 'username': 'TurboooNFT', 'id': '1279467692509011969'}, {'start': 24, 'end': 37, 'username': 'chriscantino', 'id': '99188594'}]}"
5,1538921467005521922,2022-06-20 16:27:24+00:00,True,"@chriscantino 100% Binkies… Not even 2 weeks and already one of the strongest community in the NFT space. 

Look at the Binkies, they will soon conquer the world both IRL and Virtual https://t.co/nsFrLtQdCi",2,3,22,0,"{'media_keys': ['3_1538921462022778881', '3_1538921462022692865']}","{'mentions': [{'start': 0, 'end': 13, 'username': 'chriscantino', 'id': '99188594'}], 'urls': [{'start': 183, 'end': 206, 'url': 'https://t.co/nsFrLtQdCi', 'expanded_url': 'https://twitter.com/BinkiesNFT/status/1538921467005521922/photo/1', 'display_url': 'pic.twitter.com/nsFrLtQdCi', 'media_key': '3_1538921462022778881'}, {'start': 183, 'end': 206, 'url': 'https://t.co/nsFrLtQdCi', 'expanded_url': 'https://twitter.com/BinkiesNFT/status/1538921467005521922/photo/1', 'display_url': 'pic.twitter.com/nsFrLtQdCi', 'media_key': '3_1538921462022692865'}]}"
6,1538915871711805440,2022-06-20 16:05:10+00:00,True,@Lizbd_nft https://t.co/HgM8VazPr1,0,0,0,0,{'media_keys': ['16_1538915863822213120']},"{'mentions': [{'start': 0, 'end': 10, 'username': 'Lizbd_nft', 'id': '1534292723167010817'}], 'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/HgM8VazPr1', 'expanded_url': 'https://twitter.com/BinkiesNFT/status/1538915871711805440/photo/1', 'display_url': 'pic.twitter.com/HgM8VazPr1', 'media_key': '16_1538915863822213120'}]}"
7,1538910191495827459,2022-06-20 15:42:35+00:00,True,@zkvic_eth @Kiraka @RaritySniperNFT Big Binkies Crew,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'zkvic_eth', 'id': '1522234198249009154'}, {'start': 11, 'end': 18, 'username': 'Kiraka', 'id': '14194701'}, {'start': 19, 'end': 35, 'username': 'RaritySniperNFT', 'id': '1416070452372459523'}]}"
8,1538909604335296513,2022-06-20 15:40:15+00:00,True,@Kiraka @RaritySniperNFT Wow 🤩,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'Kiraka', 'id': '14194701'}, {'start': 8, 'end': 24, 'username': 'RaritySniperNFT', 'id': '1416070452372459523'}]}"
9,1538896487312236556,2022-06-20 14:48:08+00:00,True,Discord is where the alpha is given first. Not being in Discord is missing on great opportunities 👀👀,2,0,12,0,,"{'annotations': [{'start': 56, 'end': 62, 'probability': 0.3202, 'type': 'Other', 'normalized_text': 'Discord'}]}"
