,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1543945783178928128,2022-07-04 13:12:14+00:00,False,"July is here…

If you don’t have a BoardGamers NFT yet, now might be the time 👀

More info soon. Stay tuned! https://t.co/7YhlHAOa56",15,2,38,0,{'media_keys': ['3_1543945778300948480']},"{'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/7YhlHAOa56', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1543945783178928128/photo/1', 'display_url': 'pic.twitter.com/7YhlHAOa56', 'media_key': '3_1543945778300948480'}]}"
1,1541770628604248069,2022-06-28 13:08:57+00:00,False,Join us tomorrow! 🔥 https://t.co/MFG2Qm9d3y,8,3,22,0,,"{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/MFG2Qm9d3y', 'expanded_url': 'https://twitter.com/BearsRare/status/1541768769617334273', 'display_url': 'twitter.com/BearsRare/stat…'}]}"
2,1541461031087652866,2022-06-27 16:38:43+00:00,False,"Going through the game with the head of development. 

Everything is looking good. We are still on track for July 2022. 

Who’s excited? 🔥 https://t.co/Jl0Ogk3CSG",9,5,35,0,{'media_keys': ['3_1541461026612338690']},"{'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/Jl0Ogk3CSG', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1541461031087652866/photo/1', 'display_url': 'pic.twitter.com/Jl0Ogk3CSG', 'media_key': '3_1541461026612338690'}]}"
3,1538871822581735427,2022-06-20 13:10:08+00:00,False,"NOW REVEALED! 

Official Rarity Tool:
https://t.co/oP56wsTc1W",17,17,40,0,,"{'urls': [{'start': 38, 'end': 61, 'url': 'https://t.co/oP56wsTc1W', 'expanded_url': 'https://app.traitsniper.com/boardgamers-genesis', 'display_url': 'app.traitsniper.com/boardgamers-ge…'}]}"
4,1538857055548854273,2022-06-20 12:11:27+00:00,False,"REVEAL IS LIVE!

Rarity is available through our official rarity partner: @trait_sniper 

We are also featured on their homepage (probably nothing) 👀 https://t.co/qvtN6mImrx",7,3,28,0,{'media_keys': ['3_1538856274544234498']},"{'mentions': [{'start': 74, 'end': 87, 'username': 'trait_sniper', 'id': '1444987930586484741'}], 'urls': [{'start': 150, 'end': 173, 'url': 'https://t.co/qvtN6mImrx', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1538857055548854273/photo/1', 'display_url': 'pic.twitter.com/qvtN6mImrx', 'media_key': '3_1538856274544234498'}]}"
5,1538840572592635905,2022-06-20 11:05:57+00:00,False,"REVEALING IN LESS THAN ONE HOUR!

LETS SEE WHO'S HOLDING THE RARES 👀 https://t.co/pUO0YoRzmI",12,5,40,0,{'media_keys': ['3_1538840371869908992']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/pUO0YoRzmI', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1538840572592635905/photo/1', 'display_url': 'pic.twitter.com/pUO0YoRzmI', 'media_key': '3_1538840371869908992'}]}"
6,1538524566707904512,2022-06-19 14:10:15+00:00,False,"STAKING IS LIVE
https://t.co/pIgBbAUTUu

40% is already staking in less than 24 hours. 

Post-Mint AMA in the server later today. Link in bio. https://t.co/ywsT3aF75S",21,6,40,0,{'media_keys': ['3_1538524290886291456']},"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/pIgBbAUTUu', 'expanded_url': 'https://staking.boardgamersnft.com', 'display_url': 'staking.boardgamersnft.com'}, {'start': 143, 'end': 166, 'url': 'https://t.co/ywsT3aF75S', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1538524566707904512/photo/1', 'display_url': 'pic.twitter.com/ywsT3aF75S', 'media_key': '3_1538524290886291456'}]}"
7,1538199534597292033,2022-06-18 16:38:42+00:00,False,"REMAINING SUPPLY HAS BEEN BURNED!

OPENSEA IS YOUR ONLY WAY IN!

LETS SHOW THE WORLD WHO'S HERE! 
https://t.co/Qt49MomOgU https://t.co/kOnzaaUspj",47,18,88,1,{'media_keys': ['16_1538199527458492416']},"{'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/Qt49MomOgU', 'expanded_url': 'https://opensea.io/collection/boardgamers-genesis/', 'display_url': 'opensea.io/collection/boa…'}, {'start': 122, 'end': 145, 'url': 'https://t.co/kOnzaaUspj', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1538199534597292033/photo/1', 'display_url': 'pic.twitter.com/kOnzaaUspj', 'media_key': '16_1538199527458492416'}]}"
8,1538177643295776768,2022-06-18 15:11:42+00:00,False,"Burning the remaining supply in 1 hour. 

See you on the other side. https://t.co/quNsHI3t0a",12,12,55,0,{'media_keys': ['16_1538177636098355201']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/quNsHI3t0a', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1538177643295776768/photo/1', 'display_url': 'pic.twitter.com/quNsHI3t0a', 'media_key': '16_1538177636098355201'}]}"
9,1538153882269908992,2022-06-18 13:37:17+00:00,False,"500 MINTED 🔥

2,5 HOURS UNTIL WE BURN THE REST OF SUPPLY. 

OpenSea link: https://t.co/nIz8MNAyxP",25,23,54,0,,"{'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/nIz8MNAyxP', 'expanded_url': 'https://opensea.io/collection/boardgamers-genesis', 'display_url': 'opensea.io/collection/boa…'}]}"
10,1538119092749615104,2022-06-18 11:19:03+00:00,False,"LESS THAN ONE HOUR UNTILL MINT!

18 JUNE, 2PM CET

ARE YOU READY? https://t.co/fFRN8aaaVS",21,11,82,0,{'media_keys': ['3_1538118920762269696']},"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/fFRN8aaaVS', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1538119092749615104/photo/1', 'display_url': 'pic.twitter.com/fFRN8aaaVS', 'media_key': '3_1538118920762269696'}]}"
11,1537922224719396864,2022-06-17 22:16:46+00:00,False,"Minting in 14 hours! 

One lucky minter is going to see this 1/1 on reveal day 🔥

See you at 18 JUNE, 2PM CET. https://t.co/GazziTuRvY",16,7,64,0,{'media_keys': ['3_1537921533221302273']},"{'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/GazziTuRvY', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1537922224719396864/photo/1', 'display_url': 'pic.twitter.com/GazziTuRvY', 'media_key': '3_1537921533221302273'}]}"
12,1537165782739714054,2022-06-15 20:10:56+00:00,False,"We've officially partnered up with @KaijuKingz for this amazing 1/1.

One lucky minter will see this on reveal day!

Minting in 3 days 👀 https://t.co/gDFENSqEi9",33,9,93,0,{'media_keys': ['3_1537165145453080576']},"{'mentions': [{'start': 35, 'end': 46, 'username': 'KaijuKingz', 'id': '1444937781441187842'}], 'urls': [{'start': 137, 'end': 160, 'url': 'https://t.co/gDFENSqEi9', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1537165782739714054/photo/1', 'display_url': 'pic.twitter.com/gDFENSqEi9', 'media_key': '3_1537165145453080576'}]}"
13,1536697174750375937,2022-06-14 13:08:51+00:00,True,"We have always rewarded our most loyal members. This will also be the case at mint. 

💠 First 100 people who mint 2 NFTs: 5 people will receive 0.4 ETH through a lottery.

💠 There are 100 Elite Players (rare trait) in the collection. 80% are located in the first 2222 NFT’s.",5,2,24,0,,
14,1536697172120543233,2022-06-14 13:08:50+00:00,False,"MINT DETAILS:

Mint Date: 18 June 2022, 2PM CET
Mint Price: 0.06ETH
Supply: 3333 
Max Mint: 2
Mint Window: 4 hours

There is no public sale. Leftover supply will be burned. https://t.co/2vb2pUQuYJ",29,17,85,1,{'media_keys': ['3_1536696749460447233']},"{'urls': [{'start': 173, 'end': 196, 'url': 'https://t.co/2vb2pUQuYJ', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1536697172120543233/photo/1', 'display_url': 'pic.twitter.com/2vb2pUQuYJ', 'media_key': '3_1536696749460447233'}]}"
15,1536461845766279169,2022-06-13 21:33:44+00:00,False,"We've officially partnered up with @KarafuruNFT  for this amazing 1/1.

One lucky minter will see this on reveal day!

Minting in 5 days 👀 https://t.co/FvCggfuiA6",69,39,243,2,{'media_keys': ['3_1536461704602824704']},"{'mentions': [{'start': 35, 'end': 47, 'username': 'KarafuruNFT', 'id': '1478581829271654400'}], 'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/FvCggfuiA6', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1536461845766279169/photo/1', 'display_url': 'pic.twitter.com/FvCggfuiA6', 'media_key': '3_1536461704602824704'}]}"
16,1536039279998259200,2022-06-12 17:34:37+00:00,True,"@MetakamiNFT Winners 🏆
• @happyisrich7
• @samidiom
• @Peenuts__ 

Please join our server and open a support ticket to claim your spot.

✔️ https://t.co/0q26EjyCZf",0,3,14,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'MetakamiNFT', 'id': '1499318911577509894'}, {'start': 25, 'end': 38, 'username': 'happyisrich7', 'id': '1525124377918197762'}, {'start': 41, 'end': 50, 'username': 'samidiom', 'id': '1379035045684514817'}, {'start': 53, 'end': 63, 'username': 'Peenuts__', 'id': '1494341977357180932'}], 'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/0q26EjyCZf', 'expanded_url': 'https://twitterpicker.com/d/8xffvwn7', 'display_url': 'twitterpicker.com/d/8xffvwn7'}]}"
17,1535218741214171138,2022-06-10 11:14:05+00:00,False,"RT @BlvckAlphaPage: 🏴Blvck Paris x Board Gamers 🏴

3x WLs for @BoardGamersNFT

How to enter:
1, Follow @BoardGamersNFT &amp; @blvckparis &amp; @Blv…",440,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'BlvckAlphaPage', 'id': '1529750685910179841'}, {'start': 62, 'end': 77, 'username': 'BoardGamersNFT', 'id': '1491434516845674505'}, {'start': 103, 'end': 118, 'username': 'BoardGamersNFT', 'id': '1491434516845674505'}, {'start': 125, 'end': 136, 'username': 'BlvckParis', 'id': '1330836018195476481'}], 'annotations': [{'start': 22, 'end': 58, 'probability': 0.345, 'type': 'Product', 'normalized_text': 'Blvck Paris x Board Gamers 🏴 3x WLs'}]}"
18,1534959803033866244,2022-06-09 18:05:09+00:00,False,"The team at @MetaKamiNFT made us this awesome 1/1!

To celebrate our partnership we are giving away 3x Kami-List. To enter:

✨Follow @BoardGamersNFT &amp; @MetaKamiNFT
✨Like + RT
✨Tag your frens https://t.co/BYTx9gizrn",405,651,447,1,{'media_keys': ['3_1534958023575228429']},"{'mentions': [{'start': 12, 'end': 24, 'username': 'MetakamiNFT', 'id': '1499318911577509894'}, {'start': 133, 'end': 148, 'username': 'BoardGamersNFT', 'id': '1491434516845674505'}, {'start': 155, 'end': 167, 'username': 'MetakamiNFT', 'id': '1499318911577509894'}], 'urls': [{'start': 195, 'end': 218, 'url': 'https://t.co/BYTx9gizrn', 'expanded_url': 'https://twitter.com/BoardGamersNFT/status/1534959803033866244/photo/1', 'display_url': 'pic.twitter.com/BYTx9gizrn', 'media_key': '3_1534958023575228429'}]}"
