,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534589972136701954,2022-06-08 17:35:35+00:00,False,"RT @Jampzer: Again, super impressed with the way @BokiNFT handles our user experience, even in the Discord. I have NEVER seen an official l…",47,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'Jampzer', 'id': '1475014806025371651'}, {'start': 49, 'end': 57, 'username': 'BokiNFT', 'id': '1466639110613848064'}]}"
1,1534553309918515200,2022-06-08 15:09:54+00:00,False,"We have rescheduled today's Twitter Spaces AMA with @realghostshrimp to this Friday, June 10 at 11 AM PST to accommodate a change in his schedule. Don't forget to submit your questions in our GhostShrimp AMA channel in our Discord! 🦐

See you soon!🌱

https://t.co/x6m2z2C0Qv",35,14,125,5,,"{'mentions': [{'start': 52, 'end': 68, 'username': 'realghostshrimp', 'id': '713879277889044481'}], 'annotations': [{'start': 28, 'end': 34, 'probability': 0.5865, 'type': 'Product', 'normalized_text': 'Twitter'}], 'urls': [{'start': 251, 'end': 274, 'url': 'https://t.co/x6m2z2C0Qv', 'expanded_url': 'https://twitter.com/i/spaces/1YpKkZYnorrxj', 'display_url': 'twitter.com/i/spaces/1YpKk…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1533152709695549440/NpIxair1?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1533152709695549440/NpIxair1?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Scheduled: Boki x GhostShrimp - Worldbuilding', 'description': 'Boki’s space · Where live audio conversations happen', 'unwound_url': 'https://twitter.com/i/spaces/1YpKkZYnorrxj'}]}"
2,1534388448085385218,2022-06-08 04:14:48+00:00,False,"RT @DarthNode: Who in the BOKI fam is ready for NYC?💚

@BokiNFT will be taking over! 

Am awesome community to join and be a part of!💚🤍 htt…",59,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'DarthNode', 'id': '1485667122432913408'}, {'start': 55, 'end': 63, 'username': 'BokiNFT', 'id': '1466639110613848064'}], 'annotations': [{'start': 48, 'end': 50, 'probability': 0.8724, 'type': 'Place', 'normalized_text': 'NYC'}]}"
3,1534310018123804672,2022-06-07 23:03:09+00:00,False,"RT @MoonBug_nft: Boki Boki,

Meanwhile in the Sheep Kingdom, my adventurer is busy in the meadows of floof mountain. Ignorant to the ongoin…",65,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'MoonBug_nft', 'id': '1212979823536029696'}]}"
4,1534268619848183808,2022-06-07 20:18:38+00:00,False,"RT @kptothemoon: I bought this orange boki for 1.9, guess this is my forever boki ( don't tell my mum, it's my study fee)

@BokiNFT #BokiBo…",33,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'kptothemoon', 'id': '1508916958741204992'}, {'start': 123, 'end': 131, 'username': 'BokiNFT', 'id': '1466639110613848064'}]}"
5,1534057402185633792,2022-06-07 06:19:20+00:00,False,"RT @CommanderCrypt0: Come introduce yourself &amp; your @BokiNFT to the Community and lets all get to know each other a little better.

Lets al…",61,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'CommanderCrypt0', 'id': '3160511324'}, {'start': 56, 'end': 64, 'username': 'BokiNFT', 'id': '1466639110613848064'}]}"
6,1534034026066898944,2022-06-07 04:46:27+00:00,True,@VizzexNFT Kobe,1,0,15,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'VizzexNFT', 'id': '1364319347724996615'}]}"
7,1534033678677856261,2022-06-07 04:45:04+00:00,False,"RT @Jampzer: @BokiNFT Appreciation Thread 🐑🪄

♦️ Post your favorite Boki below, and your favorite part of the project, I'll go first #wagbo…",39,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'Jampzer', 'id': '1475014806025371651'}, {'start': 13, 'end': 21, 'username': 'BokiNFT', 'id': '1466639110613848064'}]}"
8,1533994734053490688,2022-06-07 02:10:19+00:00,False,"RT @Guyverone_Eth: My newest and I think my favorite Boki... 

I haven't seen any full monotone Boki's like this one yet. 

#WAGBOKI https:…",25,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'Guyverone_Eth', 'id': '1137819344644190208'}], 'annotations': [{'start': 53, 'end': 56, 'probability': 0.4557, 'type': 'Product', 'normalized_text': 'Boki'}], 'hashtags': [{'start': 124, 'end': 132, 'tag': 'WAGBOKI'}]}"
9,1533994666122547200,2022-06-07 02:10:03+00:00,False,RT @crystalhefner: Boki Boki,75,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'crystalhefner', 'id': '22959589'}]}"
