,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536838386882732032,2022-06-14 22:29:59+00:00,False,Boozy Tuesday is live! Come hang out! https://t.co/ft4O8xsB29,2,0,2,0,,"{'urls': [{'start': 38, 'end': 61, 'url': 'https://t.co/ft4O8xsB29', 'expanded_url': 'https://twitter.com/i/spaces/1PlKQamYmnYKE', 'display_url': 'twitter.com/i/spaces/1PlKQ…'}]}"
1,1536831631427719168,2022-06-14 22:03:08+00:00,False,"BOOZY TOOSDAY! 🍺
 Are weekly twitter space is going on TODAY! At 6:30 PM EST!

Come hangout and learn about the best bears in the space!🐻🍺

#BoozeBears #NFT #NFTCommmunity #TwitterSpaces #CardanoCommunity #web3 #NFTNYC https://t.co/YvCJGJ2R77",3,1,9,1,{'media_keys': ['3_1536831627556335617']},"{'urls': [{'start': 219, 'end': 242, 'url': 'https://t.co/YvCJGJ2R77', 'expanded_url': 'https://twitter.com/BoozeBears/status/1536831631427719168/photo/1', 'display_url': 'pic.twitter.com/YvCJGJ2R77', 'media_key': '3_1536831627556335617'}], 'hashtags': [{'start': 140, 'end': 151, 'tag': 'BoozeBears'}, {'start': 152, 'end': 156, 'tag': 'NFT'}, {'start': 157, 'end': 171, 'tag': 'NFTCommmunity'}, {'start': 172, 'end': 186, 'tag': 'TwitterSpaces'}, {'start': 187, 'end': 204, 'tag': 'CardanoCommunity'}, {'start': 205, 'end': 210, 'tag': 'web3'}, {'start': 211, 'end': 218, 'tag': 'NFTNYC'}]}"
2,1536815137230921728,2022-06-14 20:57:36+00:00,False,"RT @metabrewsociety: Chill &amp; Shill Twitter Space Giveaway

We are giving away 3 free beer boxes linked to WL spots during the twitter space…",7,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'metabrewsociety', 'id': '1496427658720288771'}], 'annotations': [{'start': 35, 'end': 41, 'probability': 0.5659, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
3,1536787424797261824,2022-06-14 19:07:28+00:00,False,"RT @scratchoffNFT: 🎁 Chill &amp; Shill Twitter Space Giveaway 🎁

We are giving away one Scratch-off NFT during the twitter space below 🎉

1️⃣ F…",8,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'scratchoffNFT', 'id': '1509916475884285961'}], 'annotations': [{'start': 36, 'end': 42, 'probability': 0.5139, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
4,1536753284081504260,2022-06-14 16:51:49+00:00,False,"MEGA SPACES GIVEAWAY 😳

We are super excited to announce our collaboration with @GrandmaApeSpaC to bring to you the most exciting giveaway event to date!

With more than 10+ projects, we will be hosting #Spaces :
 
Friday JUNE 17th 5PM EST

Thread 🧵👇🏽

https://t.co/BjyWUP9F7e https://t.co/kU5LvbTOGL",10,2,14,0,{'media_keys': ['3_1536753280793120768']},"{'mentions': [{'start': 80, 'end': 95, 'username': 'GrandmaApeSpaC', 'id': '1528744233930211329'}], 'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/BjyWUP9F7e', 'expanded_url': 'https://twitter.com/grandmaapespac/status/1536369407848394752?s=21&t=-XdlwEP3K8UJ47c4PHaYgw', 'display_url': 'twitter.com/grandmaapespac…'}, {'start': 277, 'end': 300, 'url': 'https://t.co/kU5LvbTOGL', 'expanded_url': 'https://twitter.com/BoozeBears/status/1536753284081504260/photo/1', 'display_url': 'pic.twitter.com/kU5LvbTOGL', 'media_key': '3_1536753280793120768'}], 'hashtags': [{'start': 203, 'end': 210, 'tag': 'Spaces'}]}"
5,1536563475542990848,2022-06-14 04:17:35+00:00,False,"RT @SlipperyFishCo: Chill &amp; Shill Space Giveaway🎁

We are giving away ETH during the Space below🎉

1️⃣ Follow @SlipperyFishCo @BoozeBears &amp;…",17,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'SlipperyFishCo', 'id': '1483518465361154050'}, {'start': 114, 'end': 129, 'username': 'SlipperyFishCo', 'id': '1483518465361154050'}, {'start': 130, 'end': 141, 'username': 'BoozeBears', 'id': '1468469522776850435'}]}"
6,1536389540482457600,2022-06-13 16:46:25+00:00,False,"RT @TWEFamily: Chill &amp; Shill Twitter Space Giveaway🎁

We are giving away an Autistic Beeingo NFT during the twitter space below 🎉

1️⃣ Foll…",13,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'TWEFamily', 'id': '1386438245349662720'}], 'annotations': [{'start': 29, 'end': 35, 'probability': 0.559, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
7,1536387227327942656,2022-06-13 16:37:14+00:00,False,"RT @huskypackNFT: We’ve been invited again to speak at the Chill &amp; Shill Twitter Spaces!

We’re giving away 5x WL spots + 1x @SmallBrosNFT…",11,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'huskypackNFT', 'id': '1495941640275382273'}, {'start': 129, 'end': 142, 'username': 'SmallBrosNFT', 'id': '1482084568199049221'}], 'annotations': [{'start': 73, 'end': 79, 'probability': 0.4572, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
8,1536156358528991232,2022-06-13 01:19:50+00:00,False,"RT @BoozeBears: ❄️Chill &amp; Shill 6/17🔥

We are giving away:
1️⃣ Booze Bear NFT &amp; 1️⃣ Free Mint to Wackies + 5️⃣ WL to someone who does below…",30,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'BoozeBears', 'id': '1468469522776850435'}]}"
9,1536112863357521920,2022-06-12 22:27:00+00:00,False,"❄️Chill &amp; Shill 6/17🔥

We are giving away:
1️⃣ Booze Bear NFT &amp; 1️⃣ Free Mint to Wackies + 5️⃣ WL to someone who does below!

1️⃣ Follow @BoozeBears &amp; @WackiesNFT 
2️⃣ RT &amp; Tag 3
3️⃣Set a reminder for the space below⬇️
 
Set a reminder below!
https://t.co/7O6uZlH63J",30,24,37,1,,"{'mentions': [{'start': 145, 'end': 156, 'username': 'BoozeBears', 'id': '1468469522776850435'}, {'start': 163, 'end': 174, 'username': 'WackiesNFT', 'id': '1519032704653615104'}], 'urls': [{'start': 259, 'end': 282, 'url': 'https://t.co/7O6uZlH63J', 'expanded_url': 'https://twitter.com/i/spaces/1ZkJzbLBjnvJv', 'display_url': 'twitter.com/i/spaces/1ZkJz…'}]}"
