,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1539072736727019520,2022-06-21 02:28:29+00:00,False,RT @nft_my_life: @BoringOneNFT @opensea congrats!! https://t.co/3jbQ7K1JDA,1,0,0,0,{'media_keys': ['3_1539072192851324928']},"{'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/3jbQ7K1JDA', 'expanded_url': 'https://twitter.com/nft_my_life/status/1539072196919799809/photo/1', 'display_url': 'pic.twitter.com/3jbQ7K1JDA', 'media_key': '3_1539072192851324928'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'nft_my_life', 'id': '1480781404690870272'}, {'start': 17, 'end': 30, 'username': 'BoringOneNFT', 'id': '1513420410053832706'}, {'start': 31, 'end': 39, 'username': 'opensea', 'id': '946213559213555712'}]}"
1,1539071993768984576,2022-06-21 02:25:32+00:00,False,RT @shyvyrz: @BoredBoynft Well deserved! My @BoringOneNFT are some of my favorites ❤️,2,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'shyvyrz', 'id': '1158475411535388673'}, {'start': 13, 'end': 25, 'username': 'BoredBoynft', 'id': '1417828666495553538'}, {'start': 44, 'end': 57, 'username': 'BoringOneNFT', 'id': '1513420410053832706'}]}"
2,1539066974944522240,2022-06-21 02:05:35+00:00,False,"Verified !! .. 😮‍💨🥱
Thanks @opensea https://t.co/rn5ReNtOD3",11,4,35,2,{'media_keys': ['3_1539066969017978880']},"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/rn5ReNtOD3', 'expanded_url': 'https://twitter.com/BoringOneNFT/status/1539066974944522240/photo/1', 'display_url': 'pic.twitter.com/rn5ReNtOD3', 'media_key': '3_1539066969017978880'}], 'mentions': [{'start': 27, 'end': 35, 'username': 'opensea', 'id': '946213559213555712'}]}"
3,1538884035694718976,2022-06-20 13:58:39+00:00,False,Nothing here .. 🥱😮‍💨 https://t.co/KGuj9GG3Uj,2,1,10,0,,"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/KGuj9GG3Uj', 'expanded_url': 'https://twitter.com/boredboynft/status/1538883609343705088', 'display_url': 'twitter.com/boredboynft/st…'}]}"
4,1538719218761248768,2022-06-20 03:03:44+00:00,False,RT @0xMeffz: @darbythekid @BoredBoynft Sooooooo boring! 🖤 https://t.co/4iZ37CIJXv,1,0,0,0,{'media_keys': ['16_1538708255391813633']},"{'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/4iZ37CIJXv', 'expanded_url': 'https://twitter.com/0xMeffz/status/1538708348232683520/photo/1', 'display_url': 'pic.twitter.com/4iZ37CIJXv', 'media_key': '16_1538708255391813633'}], 'mentions': [{'start': 3, 'end': 11, 'username': '0xMeffz', 'id': '1473913182402056201'}, {'start': 13, 'end': 25, 'username': 'darbythekid', 'id': '1403191538956398594'}, {'start': 26, 'end': 38, 'username': 'BoredBoynft', 'id': '1417828666495553538'}]}"
5,1538667426661175297,2022-06-19 23:37:56+00:00,False,RT @darbythekid: @BoredBoynft is my fav artist in this space. Also nfts are boring https://t.co/rekCHQklJM,6,0,0,0,"{'media_keys': ['3_1538623689561808896', '3_1538623689561763840', '3_1538623689565929472', '3_1538623689649815552']}","{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/rekCHQklJM', 'expanded_url': 'https://twitter.com/darbythekid/status/1538623693814779904/photo/1', 'display_url': 'pic.twitter.com/rekCHQklJM', 'media_key': '3_1538623689561808896'}, {'start': 83, 'end': 106, 'url': 'https://t.co/rekCHQklJM', 'expanded_url': 'https://twitter.com/darbythekid/status/1538623693814779904/photo/1', 'display_url': 'pic.twitter.com/rekCHQklJM', 'media_key': '3_1538623689561763840'}, {'start': 83, 'end': 106, 'url': 'https://t.co/rekCHQklJM', 'expanded_url': 'https://twitter.com/darbythekid/status/1538623693814779904/photo/1', 'display_url': 'pic.twitter.com/rekCHQklJM', 'media_key': '3_1538623689565929472'}, {'start': 83, 'end': 106, 'url': 'https://t.co/rekCHQklJM', 'expanded_url': 'https://twitter.com/darbythekid/status/1538623693814779904/photo/1', 'display_url': 'pic.twitter.com/rekCHQklJM', 'media_key': '3_1538623689649815552'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'darbythekid', 'id': '1403191538956398594'}, {'start': 17, 'end': 29, 'username': 'BoredBoynft', 'id': '1417828666495553538'}]}"
6,1538351609498828802,2022-06-19 02:42:59+00:00,False,"RT @BoredBoynft: One trait at a time .. 🥱😮‍💨
#KeepItBoring https://t.co/naxrVyONj1",7,0,0,0,{'media_keys': ['3_1538351491786092545']},"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/naxrVyONj1', 'expanded_url': 'https://twitter.com/BoredBoynft/status/1538351498219819008/photo/1', 'display_url': 'pic.twitter.com/naxrVyONj1', 'media_key': '3_1538351491786092545'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'BoredBoynft', 'id': '1417828666495553538'}], 'hashtags': [{'start': 45, 'end': 58, 'tag': 'KeepItBoring'}]}"
7,1537944692565848066,2022-06-17 23:46:02+00:00,False,Boring T Shrit 🥱😮‍💨 https://t.co/SZtUgQcDkr,1,0,13,0,,"{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/SZtUgQcDkr', 'expanded_url': 'https://twitter.com/NicholasPe/status/1537943283799773184', 'display_url': 'twitter.com/NicholasPe/sta…'}]}"
8,1537643134011994112,2022-06-17 03:47:45+00:00,False,"RT @NicholasPe: This was the first Boring One that I received as a part of my airdrop. I don't give her enough love, but the camo palette a…",1,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'NicholasPe', 'id': '312757053'}]}"
9,1537584472878874624,2022-06-16 23:54:39+00:00,False,"Hope everything will be boring and peaceful soon . .
#KeepItBoring 

Boring One :: https://t.co/CccKSz7Rv4

#NFTs #nftcollector #NFTCommunity https://t.co/6PEC1NhDbv",5,1,18,2,{'media_keys': ['16_1537584293928914944']},"{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/CccKSz7Rv4', 'expanded_url': 'https://opensea.io/collection/boringone', 'display_url': 'opensea.io/collection/bor…'}, {'start': 142, 'end': 165, 'url': 'https://t.co/6PEC1NhDbv', 'expanded_url': 'https://twitter.com/BoringOneNFT/status/1537584472878874624/photo/1', 'display_url': 'pic.twitter.com/6PEC1NhDbv', 'media_key': '16_1537584293928914944'}], 'hashtags': [{'start': 53, 'end': 66, 'tag': 'KeepItBoring'}, {'start': 108, 'end': 113, 'tag': 'NFTs'}, {'start': 114, 'end': 127, 'tag': 'nftcollector'}, {'start': 128, 'end': 141, 'tag': 'NFTCommunity'}]}"
