,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533114125907378182,2022-06-04 15:51:06+00:00,False,RT @jabxtre: @kev0172 @CandyHuntersNFT @nftworldsNFT @keystone_builds This is it! Best explanation of Sweetopia as a world that just began!…,4,0,0,0,,"{'annotations': [{'start': 102, 'end': 110, 'probability': 0.4898, 'type': 'Person', 'normalized_text': 'Sweetopia'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'jabxtre', 'id': '1393785170868809728'}, {'start': 13, 'end': 21, 'username': 'kev0172', 'id': '1499513225938968581'}, {'start': 22, 'end': 38, 'username': 'CandyHuntersNFT', 'id': '1455157323161296897'}, {'start': 39, 'end': 52, 'username': 'nftworldsNFT', 'id': '1440379700006719491'}, {'start': 53, 'end': 69, 'username': 'keystone_builds', 'id': '1306828727444279296'}]}"
1,1533105984662560769,2022-06-04 15:18:45+00:00,False,"GM! 

Though it's still night in the Jelly Jungle! 

Forecast calls for minigames - ready for some ""rumbles"" in #Sweetopia? 

Lots more goodies coming too, and we're just getting started - get in while the getting's good #candycrew!

#battleforsweetopia $WRLD #p2e #NFTCommunity https://t.co/zj2nnCVkJM",12,4,33,1,{'media_keys': ['3_1533105751400513542']},"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/zj2nnCVkJM', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1533105984662560769/photo/1', 'display_url': 'pic.twitter.com/zj2nnCVkJM', 'media_key': '3_1533105751400513542'}], 'hashtags': [{'start': 112, 'end': 122, 'tag': 'Sweetopia'}, {'start': 221, 'end': 231, 'tag': 'candycrew'}, {'start': 234, 'end': 253, 'tag': 'battleforsweetopia'}, {'start': 260, 'end': 264, 'tag': 'p2e'}, {'start': 265, 'end': 278, 'tag': 'NFTCommunity'}], 'cashtags': [{'start': 254, 'end': 259, 'tag': 'WRLD'}]}"
2,1533104494938136578,2022-06-04 15:12:49+00:00,False,RT @kev0172: Oh my god he has arrived... Crankz just got dropped into my wallet alongside 4000 $wrld tokens (200$) from me winning the Hide…,13,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'kev0172', 'id': '1499513225938968581'}], 'cashtags': [{'start': 95, 'end': 100, 'tag': 'wrld'}]}"
3,1533104292017602561,2022-06-04 15:12:01+00:00,False,"RT @kev0172: 8/8🧵This is hands down THE coolest @nftworldsNFT world i have seen out there, and you really have to experience it for yoursel…",3,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'kev0172', 'id': '1499513225938968581'}, {'start': 48, 'end': 61, 'username': 'nftworldsNFT', 'id': '1440379700006719491'}]}"
4,1533104185520148480,2022-06-04 15:11:36+00:00,False,"RT @kev0172: A couple days ago @CandyHuntersNFT opened the gates of Sweetopia, their #P2EGame built on the @nftworldsNFT #8958 world. Month…",26,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'kev0172', 'id': '1499513225938968581'}, {'start': 31, 'end': 47, 'username': 'CandyHuntersNFT', 'id': '1455157323161296897'}, {'start': 107, 'end': 120, 'username': 'nftworldsNFT', 'id': '1440379700006719491'}], 'hashtags': [{'start': 85, 'end': 93, 'tag': 'P2EGame'}]}"
5,1533080482967085056,2022-06-04 13:37:25+00:00,False,"RT @nancynik3: Candy 🍬🍭🍬🍭🍬
GM @CandyHuntersNFT
And my super fren @P3bR3 
Amazing art
Preparing
 Unparalleled METAVERSE world for Holders &amp;…",13,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'nancynik3', 'id': '1432985328588140546'}, {'start': 30, 'end': 46, 'username': 'CandyHuntersNFT', 'id': '1455157323161296897'}, {'start': 65, 'end': 71, 'username': 'P3bR3', 'id': '928018519'}]}"
6,1532750522071105536,2022-06-03 15:46:16+00:00,False,"GM, the sun rises on another day in #sweetopia!

We are building an unparalleled metaverse world for both holders and gamers, carefully crafted around strong foundational values, but with a focus on what's important - having fun, on your own or with your #candycrew!

LFG! https://t.co/iBSRS3KLzL",15,5,43,0,{'media_keys': ['3_1532749518466342912']},"{'urls': [{'start': 273, 'end': 296, 'url': 'https://t.co/iBSRS3KLzL', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532750522071105536/photo/1', 'display_url': 'pic.twitter.com/iBSRS3KLzL', 'media_key': '3_1532749518466342912'}], 'hashtags': [{'start': 36, 'end': 46, 'tag': 'sweetopia'}, {'start': 255, 'end': 265, 'tag': 'candycrew'}]}"
7,1532382731904159745,2022-06-02 15:24:48+00:00,False,"GM #candycrew!

#Sweetopia is huge, and our alpha testers are still exploring! 

If you've got @Minecraft and would like to join them, hop on our Discord for more info!

🍬https://t.co/bojqGPXuXJ

LFG🍭🛡️⚔️

#NFTs $WRLD #P2E #P2Egame https://t.co/4D7AWgzSg1",16,5,42,4,"{'media_keys': ['3_1532375759758696449', '3_1532375776888332290']}","{'urls': [{'start': 171, 'end': 194, 'url': 'https://t.co/bojqGPXuXJ', 'expanded_url': 'http://discord.gg/candyhuntersnft', 'display_url': 'discord.gg/candyhuntersnft'}, {'start': 232, 'end': 255, 'url': 'https://t.co/4D7AWgzSg1', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532382731904159745/photo/1', 'display_url': 'pic.twitter.com/4D7AWgzSg1', 'media_key': '3_1532375759758696449'}, {'start': 232, 'end': 255, 'url': 'https://t.co/4D7AWgzSg1', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532382731904159745/photo/1', 'display_url': 'pic.twitter.com/4D7AWgzSg1', 'media_key': '3_1532375776888332290'}], 'mentions': [{'start': 95, 'end': 105, 'username': 'Minecraft', 'id': '64565898'}], 'hashtags': [{'start': 3, 'end': 13, 'tag': 'candycrew'}, {'start': 16, 'end': 26, 'tag': 'Sweetopia'}, {'start': 206, 'end': 211, 'tag': 'NFTs'}, {'start': 218, 'end': 222, 'tag': 'P2E'}, {'start': 223, 'end': 231, 'tag': 'P2Egame'}], 'cashtags': [{'start': 212, 'end': 217, 'tag': 'WRLD'}]}"
8,1532113652781879298,2022-06-01 21:35:34+00:00,True,"@kev0172, Crankz is going your way...be ready! 🥳

#NFTs #NFTGiveaway $WRLD #BattleForSweetopia https://t.co/r2GCNNLJV2",8,0,21,2,{'media_keys': ['3_1532112190215491584']},"{'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/r2GCNNLJV2', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532113652781879298/photo/1', 'display_url': 'pic.twitter.com/r2GCNNLJV2', 'media_key': '3_1532112190215491584'}], 'annotations': [{'start': 10, 'end': 15, 'probability': 0.5482, 'type': 'Person', 'normalized_text': 'Crankz'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'kev0172', 'id': '1499513225938968581'}], 'hashtags': [{'start': 50, 'end': 55, 'tag': 'NFTs'}, {'start': 56, 'end': 68, 'tag': 'NFTGiveaway'}, {'start': 75, 'end': 94, 'tag': 'BattleForSweetopia'}], 'cashtags': [{'start': 69, 'end': 74, 'tag': 'WRLD'}]}"
9,1532111734152040457,2022-06-01 21:27:57+00:00,False,"#Sweetopia first treasure hunt was fun!

Congrats to @kev0172, for winning The Grand Prize 🥳

🍬2,000 $WRLD 
🍬Honey Sword 
🍬Legendary Hunter

We have planned mini-games and more... Stay tuned! 

LFG!

#NFTs #P2E #NFTCommunity https://t.co/3H5c1tcmiM",25,6,50,0,"{'media_keys': ['3_1532107239716274178', '3_1532107281009201155', '3_1532107316325191684', '3_1532107446520537089']}","{'urls': [{'start': 225, 'end': 248, 'url': 'https://t.co/3H5c1tcmiM', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532111734152040457/photo/1', 'display_url': 'pic.twitter.com/3H5c1tcmiM', 'media_key': '3_1532107239716274178'}, {'start': 225, 'end': 248, 'url': 'https://t.co/3H5c1tcmiM', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532111734152040457/photo/1', 'display_url': 'pic.twitter.com/3H5c1tcmiM', 'media_key': '3_1532107281009201155'}, {'start': 225, 'end': 248, 'url': 'https://t.co/3H5c1tcmiM', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532111734152040457/photo/1', 'display_url': 'pic.twitter.com/3H5c1tcmiM', 'media_key': '3_1532107316325191684'}, {'start': 225, 'end': 248, 'url': 'https://t.co/3H5c1tcmiM', 'expanded_url': 'https://twitter.com/CandyHuntersNFT/status/1532111734152040457/photo/1', 'display_url': 'pic.twitter.com/3H5c1tcmiM', 'media_key': '3_1532107446520537089'}], 'mentions': [{'start': 53, 'end': 61, 'username': 'kev0172', 'id': '1499513225938968581'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'Sweetopia'}, {'start': 200, 'end': 205, 'tag': 'NFTs'}, {'start': 206, 'end': 210, 'tag': 'P2E'}, {'start': 211, 'end': 224, 'tag': 'NFTCommunity'}], 'cashtags': [{'start': 101, 'end': 106, 'tag': 'WRLD'}]}"
