,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1527840193075720195,2022-05-21 02:34:22+00:00,True,@dingalingts OH CHIMP ‼️,0,1,43,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'dingalingts', 'id': '936048782206058496'}]}"
1,1527840093536505856,2022-05-21 02:33:58+00:00,False,RT @dingalingts: !CHIMP https://t.co/xBnrdWFK9x,110,0,0,0,{'media_keys': ['3_1527839575309438976']},"{'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/xBnrdWFK9x', 'expanded_url': 'https://twitter.com/dingalingts/status/1527839694322810880/photo/1', 'display_url': 'pic.twitter.com/xBnrdWFK9x', 'media_key': '3_1527839575309438976'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'dingalingts', 'id': '936048782206058496'}]}"
2,1527828651148038144,2022-05-21 01:48:30+00:00,True,@crypto888crypto @TimpersHD !CHIMP,1,0,14,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'crypto888crypto', 'id': '968979897673658368'}, {'start': 17, 'end': 27, 'username': 'TimpersHD', 'id': '3243965897'}]}"
3,1527828620923834369,2022-05-21 01:48:23+00:00,False,RT @crypto888crypto: !Chimp https://t.co/UhFLNzRiYE,45,0,0,0,{'media_keys': ['3_1527828012430807040']},"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/UhFLNzRiYE', 'expanded_url': 'https://twitter.com/crypto888crypto/status/1527828014280560640/photo/1', 'display_url': 'pic.twitter.com/UhFLNzRiYE', 'media_key': '3_1527828012430807040'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'crypto888crypto', 'id': '968979897673658368'}]}"
4,1527825530367758336,2022-05-21 01:36:06+00:00,False,"RT @Artifaction2: Chimpers #420... a pal for my buddy Grifter #420.

Welcome to the squad lil fella. https://t.co/NQpFHLrMYB",10,0,0,0,"{'media_keys': ['3_1527824258520346624', '3_1527824847773921281']}","{'annotations': [{'start': 54, 'end': 60, 'probability': 0.5049, 'type': 'Person', 'normalized_text': 'Grifter'}], 'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/NQpFHLrMYB', 'expanded_url': 'https://twitter.com/Artifaction2/status/1527824859958415360/photo/1', 'display_url': 'pic.twitter.com/NQpFHLrMYB', 'media_key': '3_1527824258520346624'}, {'start': 101, 'end': 124, 'url': 'https://t.co/NQpFHLrMYB', 'expanded_url': 'https://twitter.com/Artifaction2/status/1527824859958415360/photo/1', 'display_url': 'pic.twitter.com/NQpFHLrMYB', 'media_key': '3_1527824847773921281'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'Artifaction2', 'id': '1466058924222824450'}]}"
5,1527824829985996802,2022-05-21 01:33:19+00:00,False,RT @cryptocactoid: Epic day for the @ChimpersNFT community. I've been supporting the @TBAChronicles since day one and am incredibly gratefu…,16,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'cryptocactoid', 'id': '1375725948100767745'}, {'start': 36, 'end': 48, 'username': 'ChimpersNFT', 'id': '1476904518998794258'}, {'start': 85, 'end': 99, 'username': 'TBAChronicles', 'id': '1428723852750823429'}]}"
6,1527815109820792832,2022-05-21 00:54:42+00:00,False,"1/5 Divine Chimpers

1/1 Ghost 🙉‼️🌟👾 https://t.co/4kdYOa2PLI",18,6,158,0,,"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/4kdYOa2PLI', 'expanded_url': 'https://twitter.com/ubuntu_08/status/1527813982601760768', 'display_url': 'twitter.com/ubuntu_08/stat…'}]}"
7,1527814772372164616,2022-05-21 00:53:21+00:00,False,"RT @ubuntu_08: Congrats @TimpersHD @NFT1nsight @PunkHot10 on the launch of @ChimpersNFT!  What a incredible collection!

!Chimp

#NewProfil…",23,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'ubuntu_08', 'id': '1480487952295682048'}, {'start': 24, 'end': 34, 'username': 'TimpersHD', 'id': '3243965897'}, {'start': 35, 'end': 46, 'username': 'NFT1nsight', 'id': '1401944520305090562'}, {'start': 47, 'end': 57, 'username': 'PunkHot10', 'id': '1359426937370906624'}, {'start': 75, 'end': 87, 'username': 'ChimpersNFT', 'id': '1476904518998794258'}]}"
8,1527810595176779776,2022-05-21 00:36:45+00:00,False,RT @3seaterr: joined the chimps @ChimpersNFT https://t.co/DsLmqtGoZ0,12,0,0,0,{'media_keys': ['3_1527809007741706241']},"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/DsLmqtGoZ0', 'expanded_url': 'https://twitter.com/3seaterr/status/1527809173794263042/photo/1', 'display_url': 'pic.twitter.com/DsLmqtGoZ0', 'media_key': '3_1527809007741706241'}], 'mentions': [{'start': 3, 'end': 12, 'username': '3seaterr', 'id': '1137114687546507266'}, {'start': 32, 'end': 44, 'username': 'ChimpersNFT', 'id': '1476904518998794258'}]}"
9,1527798974652063744,2022-05-20 23:50:35+00:00,False,RT @manopsiNFT: My only @ChimpersNFT mint and I have Royal Gold Armor outfit. Love it 😍 Very impressed with @TimpersHD @NFT1nsight's work.…,16,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'manopsiNFT', 'id': '1484040574550568961'}, {'start': 24, 'end': 36, 'username': 'ChimpersNFT', 'id': '1476904518998794258'}, {'start': 108, 'end': 118, 'username': 'TimpersHD', 'id': '3243965897'}, {'start': 119, 'end': 130, 'username': 'NFT1nsight', 'id': '1401944520305090562'}]}"
