,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508596790848860160,2022-03-29 00:07:57+00:00,False,"Wowowow! Cannot wait to see the finished piece! Some real talent in this here Clay Family😍
👪💚❤️💙💛 https://t.co/4wK51QIpi5",10,2,38,0,,"{'annotations': [{'start': 78, 'end': 88, 'probability': 0.3855, 'type': 'Person', 'normalized_text': 'Clay Family'}], 'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/4wK51QIpi5', 'expanded_url': 'https://twitter.com/KolorTechno/status/1508595393172492293', 'display_url': 'twitter.com/KolorTechno/st…'}]}"
1,1508587799502598152,2022-03-28 23:32:14+00:00,True,@Zaetoven99999 Wonder what he smells like🤔,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Zaetoven99999', 'id': '1478897675244347393'}]}"
2,1508587722054713347,2022-03-28 23:31:55+00:00,False,RT @Zaetoven99999: @ClayFriendsNFT is next up! Check out this beauty https://t.co/VoEVQxQft9,18,0,0,0,{'media_keys': ['3_1508586145600487435']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/VoEVQxQft9', 'expanded_url': 'https://twitter.com/Zaetoven99999/status/1508586151254310912/photo/1', 'display_url': 'pic.twitter.com/VoEVQxQft9'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Zaetoven99999', 'id': '1478897675244347393'}, {'start': 19, 'end': 34, 'username': 'ClayFriendsNFT', 'id': '1479461603569455107'}]}"
3,1508584533196685315,2022-03-28 23:19:15+00:00,True,@AndreNFTs @SweepiesNFT @InvsbleFriends Hi friends!,0,0,5,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'AndreNFTs', 'id': '1440037690410356743'}, {'start': 11, 'end': 23, 'username': 'SweepiesNFT', 'id': '1446338820299919363'}, {'start': 24, 'end': 39, 'username': 'InvsbleFriends', 'id': '1457443615542636545'}]}"
4,1508574430708080640,2022-03-28 22:39:06+00:00,True,@Naveed_K7 It burns so good!🔥🌈🔥🌈,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Naveed_K7', 'id': '1489447997502996481'}]}"
5,1508520875620016141,2022-03-28 19:06:18+00:00,True,"🥳Congrats to our @The_Cryptoids Mint List giveaway:
@alexrpc_NFT 
@kennykenrich 
@goldilockdra 
Please make sure your DMs are open and we will contact you shortly 💛💚🌈❤️💙",1,0,7,0,,"{'mentions': [{'start': 17, 'end': 31, 'username': 'The_Cryptoids', 'id': '1457474627849043974'}, {'start': 52, 'end': 64, 'username': 'alexrpc_NFT', 'id': '1485381390791233546'}, {'start': 66, 'end': 79, 'username': 'kennykenrich', 'id': '1502578847216111617'}, {'start': 81, 'end': 94, 'username': 'goldilockdra', 'id': '1487699552526532608'}]}"
6,1508436441013047305,2022-03-28 13:30:47+00:00,True,"@Sniiiper03 Ethereum Payday to make some new Clay Friends!
💚💛💙❤️",0,0,3,0,,"{'annotations': [{'start': 12, 'end': 26, 'probability': 0.2861, 'type': 'Product', 'normalized_text': 'Ethereum Payday'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'Sniiiper03', 'id': '1047081237091889152'}]}"
7,1508430826891096066,2022-03-28 13:08:29+00:00,True,"@Historic_Crypto ""Everything is fine""",0,2,5,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Historic_Crypto', 'id': '1471137375225065481'}]}"
8,1508429992945987591,2022-03-28 13:05:10+00:00,False,"Regular Monday morning 😮‍💨🛌
VS. 
Monday with the Clay Friends🌞🌈 https://t.co/OYVmWKNTk1",41,18,142,1,"{'media_keys': ['3_1508429988349071365', '3_1508429990597120007']}","{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/OYVmWKNTk1', 'expanded_url': 'https://twitter.com/ClayFriendsNFT/status/1508429992945987591/photo/1', 'display_url': 'pic.twitter.com/OYVmWKNTk1'}, {'start': 64, 'end': 87, 'url': 'https://t.co/OYVmWKNTk1', 'expanded_url': 'https://twitter.com/ClayFriendsNFT/status/1508429992945987591/photo/1', 'display_url': 'pic.twitter.com/OYVmWKNTk1'}]}"
9,1508283694070616077,2022-03-28 03:23:49+00:00,True,@westaydabbing @TrentShy 🌈🥳🌈,2,1,28,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'westaydabbing', 'id': '520913078'}, {'start': 15, 'end': 24, 'username': 'TrentShy', 'id': '1092381354'}]}"
