,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1527798538058534914,2022-05-20 23:48:51+00:00,False,"THIS IS OUR OFFICIAL OPEN SEA ACCOUNT:

👉 https://t.co/rGrMNKwys5

#cypherdrop #collidercraftworks",70,30,182,2,,"{'hashtags': [{'start': 67, 'end': 78, 'tag': 'cypherdrop'}, {'start': 79, 'end': 98, 'tag': 'collidercraftworks'}], 'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/rGrMNKwys5', 'expanded_url': 'https://opensea.io/collection/cypher-drop-1', 'display_url': 'opensea.io/collection/cyp…'}]}"
1,1527794429066616832,2022-05-20 23:32:31+00:00,True,"@0x_Arkham You were fudding there, you are fudding here. Even creating a fake account pretending to be one of our Mod team.",0,2,3,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': '0x_Arkham', 'id': '1471662736987807746'}]}"
2,1527793857009704960,2022-05-20 23:30:15+00:00,False,"MINT DAT CYPHER! 🎉🔥

👉 https://t.co/rPONYkpCvB

#cypherdrop #collidercraftworks https://t.co/muyKq9Cmzg",95,32,247,7,{'media_keys': ['7_1527793812105469952']},"{'hashtags': [{'start': 48, 'end': 59, 'tag': 'cypherdrop'}, {'start': 60, 'end': 79, 'tag': 'collidercraftworks'}], 'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/rPONYkpCvB', 'expanded_url': 'https://mintify.cypher.collider.gg/', 'display_url': 'mintify.cypher.collider.gg'}, {'start': 80, 'end': 103, 'url': 'https://t.co/muyKq9Cmzg', 'expanded_url': 'https://twitter.com/ColliderCraft/status/1527793857009704960/video/1', 'display_url': 'pic.twitter.com/muyKq9Cmzg', 'media_key': '7_1527793812105469952'}]}"
3,1527792917028519936,2022-05-20 23:26:31+00:00,False,"WE'RE BACK!🚀

Technical issue solved

👉 We'll be posting the official MINT LINK at 23:30 pm UTC.

GET READY! #cypherdrop",47,18,200,2,,"{'hashtags': [{'start': 109, 'end': 120, 'tag': 'cypherdrop'}]}"
4,1527788925305200642,2022-05-20 23:10:39+00:00,True,@Nftbagger They're not giving us full control of our own contract.,2,5,27,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Nftbagger', 'id': '1159646428102180865'}]}"
5,1527786847765667840,2022-05-20 23:02:24+00:00,False,"Hey everybody!

OpenSea is having technical issues that aren't allowing us to advance with our mint.

We will mint once this has been worked out!

Hang in there! 🔥",86,65,392,6,,
6,1527719942296113159,2022-05-20 18:36:32+00:00,True,@MarcoA_daSilva WE ARE! 🎉🎉🎉🎉,1,3,31,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'MarcoA_daSilva', 'id': '536683646'}]}"
7,1527711264365023235,2022-05-20 18:02:03+00:00,True,@1Ahmali1 how bout JUPITEERRR!!,0,1,6,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': '1Ahmali1', 'id': '1917013052'}]}"
8,1527711195364528128,2022-05-20 18:01:47+00:00,True,@Mister3lade TO DA MOOON 🚀🚀🚀🚀,0,0,4,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Mister3lade', 'id': '1274117648490663936'}]}"
9,1527711117728002049,2022-05-20 18:01:28+00:00,True,@asgdjfq Ready Captain! 🫡,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'asgdjfq', 'id': '706548063280582656'}]}"
10,1527710871849521153,2022-05-20 18:00:30+00:00,True,@Chawest_ IFYKYK 🎉🎉🎉🎉,1,0,10,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Chawest_', 'id': '310438465'}]}"
11,1527710770296938498,2022-05-20 18:00:05+00:00,True,@G11Nft YOOOO!! LFG! 🔥🔥🔥,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'G11Nft', 'id': '1459651208398864385'}]}"
12,1527710669486833665,2022-05-20 17:59:41+00:00,True,@DhanvinNFT LFG!!,0,2,3,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'DhanvinNFT', 'id': '1490074361922998273'}]}"
13,1527710614830866432,2022-05-20 17:59:28+00:00,True,@lemonade_eth Drop #2 will be lit 🔥🔥🔥,0,0,8,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'lemonade_eth', 'id': '1484257023348940800'}]}"
14,1527709672760872960,2022-05-20 17:55:44+00:00,False,"Mint Warm Up Livestream! 🎉

TODAY! Come hang with the gang at Collider Craftworks HQ, meet our team &amp; roll with TED! 

You game?🚀

👉WHEN: TODAY! 9 pm UTC
👉WHERE: https://t.co/oAblBWRiTX

#cypherdrop #collidercraftworks https://t.co/59WjXB3c9b",156,60,391,18,{'media_keys': ['3_1527709667354451969']},"{'hashtags': [{'start': 191, 'end': 202, 'tag': 'cypherdrop'}, {'start': 203, 'end': 222, 'tag': 'collidercraftworks'}], 'urls': [{'start': 166, 'end': 189, 'url': 'https://t.co/oAblBWRiTX', 'expanded_url': 'https://www.twitch.tv/collidercraftworks', 'display_url': 'twitch.tv/collidercraftw…'}, {'start': 223, 'end': 246, 'url': 'https://t.co/59WjXB3c9b', 'expanded_url': 'https://twitter.com/ColliderCraft/status/1527709672760872960/photo/1', 'display_url': 'pic.twitter.com/59WjXB3c9b', 'media_key': '3_1527709667354451969'}]}"
15,1527667084745920514,2022-05-20 15:06:30+00:00,True,"@ITMnow33 drop 2, baby! ;)",1,3,22,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'ITMnow33', 'id': '920979517786742784'}]}"
16,1527659190629572608,2022-05-20 14:35:08+00:00,False,"IT'S MINT DAY!🎉

The BULLS are back BABY!💥

👉MINT HOUR: TODAY! 11:00 pm UTC

#cypherdrop #collidercraftworks https://t.co/SeDSG7EmrE",341,148,769,66,{'media_keys': ['3_1527659181758636032']},"{'hashtags': [{'start': 77, 'end': 88, 'tag': 'cypherdrop'}, {'start': 89, 'end': 108, 'tag': 'collidercraftworks'}], 'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/SeDSG7EmrE', 'expanded_url': 'https://twitter.com/ColliderCraft/status/1527659190629572608/photo/1', 'display_url': 'pic.twitter.com/SeDSG7EmrE', 'media_key': '3_1527659181758636032'}]}"
17,1527648733902557186,2022-05-20 13:53:35+00:00,True,@ricky_recall Let's toast together!,0,1,11,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'ricky_recall', 'id': '1452407599803125761'}]}"
18,1527630069396643841,2022-05-20 12:39:25+00:00,True,@boka340 guaranteed!,0,1,2,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'boka340', 'id': '990677593190993920'}]}"
19,1527628184098852864,2022-05-20 12:31:55+00:00,True,@Mrmandeep_ There's always drop #2 ;),0,1,6,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'Mrmandeep_', 'id': '409017491'}]}"
20,1527437524024582145,2022-05-19 23:54:18+00:00,True,@farhee_Mod @itsnobledean This is a fake account. Stay safe!,1,1,2,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'farhee_Mod', 'id': '99171798'}, {'start': 12, 'end': 25, 'username': 'itsnobledean', 'id': '1176541605450395649'}]}"
21,1527430419926466581,2022-05-19 23:26:05+00:00,False,"24 HRS 'TIL MINT! ⏱️🎉

Incoming BIG news! 👇

1⃣ Mint a Cypher 
2⃣ Hold it until Drop #2
3⃣ Gain GUARANTEED WL for Drop #2,  #femalecyphers! 🤯🤯

Deep dive on this &amp; other benefits here 👇
https://t.co/gAoAdkRNg1 https://t.co/VrrajpjhVs",278,110,653,37,{'media_keys': ['3_1527429613995147266']},"{'hashtags': [{'start': 124, 'end': 138, 'tag': 'femalecyphers'}], 'urls': [{'start': 190, 'end': 213, 'url': 'https://t.co/gAoAdkRNg1', 'expanded_url': 'https://medium.com/@collidercraftworks/collider-craftworks-ec8d30b95893', 'display_url': 'medium.com/@collidercraft…'}, {'start': 214, 'end': 237, 'url': 'https://t.co/VrrajpjhVs', 'expanded_url': 'https://twitter.com/ColliderCraft/status/1527430419926466581/photo/1', 'display_url': 'pic.twitter.com/VrrajpjhVs', 'media_key': '3_1527429613995147266'}]}"
22,1527271648285564928,2022-05-19 12:55:10+00:00,True,@ZiyaBalll @Snarl786j @Ushajeremyindia @AltcoinGooner @AkqNaniiiETH Check your DMs!,0,0,6,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'ZiyaBalll', 'id': '2365757239'}, {'start': 11, 'end': 21, 'username': 'Snarl786j', 'id': '1180725563549507585'}, {'start': 22, 'end': 38, 'username': 'Ushajeremyindia', 'id': '1512101869686071301'}, {'start': 39, 'end': 53, 'username': 'AltcoinGooner', 'id': '1377904597608538117'}, {'start': 54, 'end': 67, 'username': 'AkqNaniiiETH', 'id': '1262648313788039168'}]}"
23,1527270539210932225,2022-05-19 12:50:46+00:00,True,"Winners 🏆
• @ZiyaBalll
• @Snarl786j
• @Ushajeremyindia
• @AltcoinGooner
• @AkqNaniiiETH

Check your DMs!
✔️ https://t.co/iZQyRJAzS9",4,20,97,0,,"{'mentions': [{'start': 12, 'end': 22, 'username': 'ZiyaBalll', 'id': '2365757239'}, {'start': 25, 'end': 35, 'username': 'Snarl786j', 'id': '1180725563549507585'}, {'start': 38, 'end': 54, 'username': 'Ushajeremyindia', 'id': '1512101869686071301'}, {'start': 57, 'end': 71, 'username': 'AltcoinGooner', 'id': '1377904597608538117'}, {'start': 74, 'end': 87, 'username': 'AkqNaniiiETH', 'id': '1262648313788039168'}], 'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/iZQyRJAzS9', 'expanded_url': 'https://twitterpicker.com/d/x3tnbtgc', 'display_url': 'twitterpicker.com/d/x3tnbtgc'}]}"
24,1527071555943030785,2022-05-18 23:40:05+00:00,True,Disclaimer: RT &amp; Comment the original post to be eligible✌️,29,12,144,0,,
25,1527062423928184832,2022-05-18 23:03:47+00:00,True,"Final 5 WLs Giveaway! 🎁

To enter:
❤️RT &amp; Like this post
🚀Follow @ColliderCraft 
🔥Tag 3 friends &amp; use #cypherdrop!

Winners announced tomorrow!",1192,1099,1377,22,,"{'mentions': [{'start': 69, 'end': 83, 'username': 'ColliderCraft', 'id': '1466380398330531842'}], 'hashtags': [{'start': 110, 'end': 121, 'tag': 'cypherdrop'}]}"
26,1527062421155856386,2022-05-18 23:03:47+00:00,False,"2 DAYS 'til #mintify!⏱️🎉

And to celebrate this moment, we're throwing a diff kind of Livestream... a Mint Warm Up!🔥

Ft.
⚡ Collider HQ
⚡ Collider Gang
⚡ Some Saucy Drinks
⚡ &amp; TED!

👉WHEN: 20/05 9pm UTC
👉WHERE: https://t.co/EmCYjLBkly

Surprise below 👇🧵 https://t.co/nrCdAknGvI",3999,2858,3809,28,{'media_keys': ['3_1527039443684798464']},"{'hashtags': [{'start': 12, 'end': 20, 'tag': 'mintify'}], 'urls': [{'start': 215, 'end': 238, 'url': 'https://t.co/EmCYjLBkly', 'expanded_url': 'http://www.twitch.tv/collidercraftworks', 'display_url': 'twitch.tv/collidercraftw…'}, {'start': 258, 'end': 281, 'url': 'https://t.co/nrCdAknGvI', 'expanded_url': 'https://twitter.com/ColliderCraft/status/1527062421155856386/photo/1', 'display_url': 'pic.twitter.com/nrCdAknGvI', 'media_key': '3_1527039443684798464'}]}"
27,1526905662294351874,2022-05-18 12:40:53+00:00,True,@imvakboy @badam1666 @OUTLAW_Faction yoohoo!!,0,2,3,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'imvakboy', 'id': '1107417352067407873'}, {'start': 10, 'end': 20, 'username': 'badam1666', 'id': '1272028109089497090'}, {'start': 21, 'end': 36, 'username': 'OUTLAW_Faction', 'id': '1512437135391223808'}]}"
28,1526905353589366789,2022-05-18 12:39:39+00:00,True,@Wizzopp4 IFYKYK 😉,0,0,20,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Wizzopp4', 'id': '1481146332060471298'}]}"
29,1526749560445358080,2022-05-18 02:20:35+00:00,True,"Updated hour for @mypethooligan AMA.

It’s gonna be at 01:10 am UTC 🙌🏻

See ya there!",23,9,102,0,,"{'mentions': [{'start': 17, 'end': 31, 'username': 'mypethooligan', 'id': '1453842046154850309'}]}"
