,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1532735105508200451,2022-06-03 14:45:00+00:00,False,"!!CALLING ALL GAMERS!!

This Sunday at 8:00pm EST we will be hosting a COD Warzone duos event! The winning duos team will be airdropped 1 Illogic NFT each 🚀

Use the sign up form below to secure your spot. 

Good luck 🪐👀🫡

https://t.co/1EBtRBbg5M",11,1,23,0,,"{'urls': [{'start': 223, 'end': 246, 'url': 'https://t.co/1EBtRBbg5M', 'expanded_url': 'https://docs.google.com/forms/d/1wRuxPNZBEZI5AnMicdblE_IuXLNbAOWCk5dhvx2XL3A/viewform?ts=6298f773&edit_requested=true', 'display_url': 'docs.google.com/forms/d/1wRuxP…'}]}"
1,1532435344745975822,2022-06-02 18:53:52+00:00,True,@BadgeNFTs You’re on 🔥,2,0,13,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'BadgeNFTs', 'id': '1209122957630554112'}]}"
2,1532432952877010951,2022-06-02 18:44:21+00:00,False,"SPACE ALPHA 🪐

Another solid call from @BadgeNFTs 

Boki called at .17 in our signal channel, now sitting at 1.1+eth 🚀

Did you get a @BokiNFT ?

 #WEARECOSMIQS",21,6,50,0,,"{'mentions': [{'start': 39, 'end': 49, 'username': 'BadgeNFTs', 'id': '1209122957630554112'}, {'start': 134, 'end': 142, 'username': 'BokiNFT', 'id': '1466639110613848064'}], 'hashtags': [{'start': 147, 'end': 160, 'tag': 'WEARECOSMIQS'}]}"
3,1532230787579490304,2022-06-02 05:21:01+00:00,False,"We have initiated an admin sweep to reduce our circulating collection size and fulfill the demands of many community members.

Always DYOR and understand that this move is for supply reduction as these swept NFTs will not be traded moving forward.

🪐",15,10,60,0,,
4,1532031108971380740,2022-06-01 16:07:34+00:00,False,"Did someone say.. FREE MINT??

Our holders now have access to the new # Free-Mints channel in discord which shows up to date free mints to look into 😎

#WEARECOSMIQS",20,15,81,1,,"{'hashtags': [{'start': 152, 'end': 165, 'tag': 'WEARECOSMIQS'}]}"
5,1531615877149429760,2022-05-31 12:37:35+00:00,False,"Start the week off right Cosmiqs. We have events and community games throughout the week, so be sure to come out and make some connections🚀",11,9,43,0,,
6,1529670175003492352,2022-05-26 03:46:04+00:00,False,"Two recent BIG calls from @BadgeNFTs in our discord:

1. Boki called at .175eth -&gt; .4+ ATH
2. Goblintown called during free mint -&gt; 1.6eth ATH",10,5,49,1,,"{'mentions': [{'start': 26, 'end': 36, 'username': 'BadgeNFTs', 'id': '1209122957630554112'}]}"
7,1529539403726696448,2022-05-25 19:06:25+00:00,False,"One of our awesome Cosmiqs members is running a stumble guys event in discord right now!

If you're looking to play a few games, check out our # member-events channel for more info!

Have fun🌝",4,0,20,0,,"{'annotations': [{'start': 19, 'end': 25, 'probability': 0.3911, 'type': 'Organization', 'normalized_text': 'Cosmiqs'}]}"
8,1529449921283338241,2022-05-25 13:10:51+00:00,False,"We just opened up a networking channel for our community to post their skills and find others they may want to connect with🪐

Be sure to check it out in the server: # Cosmiqs-Networking",9,0,36,0,,
9,1529080855074938880,2022-05-24 12:44:19+00:00,False,"Gm Cosmiqs🚀

Let us see those space frens!",5,15,40,0,,
10,1528768515225833474,2022-05-23 16:03:11+00:00,False,"BIG Cosmiqs alpha call from @BadgeNFTs the other day🚀

Goblintown . wtf from free mint call -&gt; .7 ETH",9,5,57,0,,"{'mentions': [{'start': 28, 'end': 38, 'username': 'BadgeNFTs', 'id': '1209122957630554112'}]}"
11,1528363072368390145,2022-05-22 13:12:06+00:00,False,"Happy Sunday Cosmiqs!

Be on the lookout for our upcoming event calendar, and read up in our alpha channels if you want to stay informed🚀",3,2,48,0,,
