,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1528058075277676545,2022-05-21 17:00:09+00:00,False,"Public mint is now live!

https://t.co/WNle2rPk4d https://t.co/V2sxHQcfoT",30,14,95,1,{'media_keys': ['3_1528057389865480192']},"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/WNle2rPk4d', 'expanded_url': 'http://demonica.io/mint', 'display_url': 'demonica.io/mint', 'status': 200, 'title': 'Demonica', 'unwound_url': 'https://demonica.io/mint'}, {'start': 50, 'end': 73, 'url': 'https://t.co/V2sxHQcfoT', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1528058075277676545/photo/1', 'display_url': 'pic.twitter.com/V2sxHQcfoT', 'media_key': '3_1528057389865480192'}]}"
1,1528027840368676866,2022-05-21 15:00:01+00:00,False,"Are you ready, Demons? 😈🔥

If you're whitelisted you can now mint: https://t.co/WNle2rxIFD https://t.co/6DOwu7CoyS",92,30,242,3,{'media_keys': ['3_1527977663884926976']},"{'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/WNle2rxIFD', 'expanded_url': 'http://demonica.io/mint', 'display_url': 'demonica.io/mint', 'status': 200, 'title': 'Demonica', 'unwound_url': 'https://demonica.io/mint'}, {'start': 91, 'end': 114, 'url': 'https://t.co/6DOwu7CoyS', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1528027840368676866/photo/1', 'display_url': 'pic.twitter.com/6DOwu7CoyS', 'media_key': '3_1527977663884926976'}]}"
2,1528012741063036933,2022-05-21 14:00:01+00:00,False,🚨 1 HOUR WARNING 🚨 https://t.co/XxfvRVFsof,139,37,414,3,{'media_keys': ['3_1527977057350823936']},"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/XxfvRVFsof', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1528012741063036933/photo/1', 'display_url': 'pic.twitter.com/XxfvRVFsof', 'media_key': '3_1527977057350823936'}]}"
3,1528000530806620163,2022-05-21 13:11:30+00:00,True,@MitcheIl 🚀,2,1,24,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'MitcheIl', 'id': '777600100189081600'}]}"
4,1527745421443051521,2022-05-20 20:17:47+00:00,False,"Fuck it, first 15,000 people to interact are in for a HUGE surprise tomorrow... 👀 https://t.co/V0HAH0krSB",1170,673,2906,7,{'media_keys': ['7_1527743957932945409']},"{'urls': [{'start': 82, 'end': 105, 'url': 'https://t.co/V0HAH0krSB', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1527745421443051521/video/1', 'display_url': 'pic.twitter.com/V0HAH0krSB', 'media_key': '7_1527743957932945409'}]}"
5,1527407784232464384,2022-05-19 21:56:08+00:00,False,"Wen mint?

Saturday 🤝 https://t.co/Rx8Ib4VahB",219,37,586,1,{'media_keys': ['3_1527407778867859459']},"{'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/Rx8Ib4VahB', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1527407784232464384/photo/1', 'display_url': 'pic.twitter.com/Rx8Ib4VahB', 'media_key': '3_1527407778867859459'}]}"
6,1527028754207256576,2022-05-18 20:50:00+00:00,False,"Fuck it, here's the game. https://t.co/TAcui1wwXu",620,201,1317,20,{'media_keys': ['13_1527022837495570432']},"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/TAcui1wwXu', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1527028754207256576/video/1', 'display_url': 'pic.twitter.com/TAcui1wwXu', 'media_key': '13_1527022837495570432'}]}"
7,1527023808036474880,2022-05-18 20:30:21+00:00,True,t minus 20 minutes ⏰🚀,26,20,203,0,,
8,1526653789020688385,2022-05-17 20:00:01+00:00,False,Like this tweet for a surprise... don't risk ignoring this,342,151,1665,4,,
9,1526291586002264066,2022-05-16 20:00:45+00:00,True,@ReystarX Saturday.,0,1,4,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'ReystarX', 'id': '110394896'}]}"
10,1526291394792263680,2022-05-16 20:00:00+00:00,False,Mint me. 💎 https://t.co/ZEba3V8JSm,228,62,810,2,{'media_keys': ['3_1526266819090100224']},"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/ZEba3V8JSm', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1526291394792263680/photo/1', 'display_url': 'pic.twitter.com/ZEba3V8JSm', 'media_key': '3_1526266819090100224'}]}"
11,1525915352206413825,2022-05-15 19:05:44+00:00,False,"Once you hear the bell ring, it's too late... 🔔👺 https://t.co/2Vq9u0m3ek",264,56,800,4,{'media_keys': ['3_1525915330379276288']},"{'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/2Vq9u0m3ek', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1525915352206413825/photo/1', 'display_url': 'pic.twitter.com/2Vq9u0m3ek', 'media_key': '3_1525915330379276288'}]}"
12,1525566620927725571,2022-05-14 20:00:00+00:00,False,"If you see this, engage… it may change ur life. Don’t say I didn’t warn u 👀🔥",492,394,1614,4,,
13,1525206111539777536,2022-05-13 20:07:28+00:00,False,A force to be reckoned with 👹 https://t.co/yFeyg9Icrv,253,48,806,6,{'media_keys': ['3_1525205756554858498']},"{'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/yFeyg9Icrv', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1525206111539777536/photo/1', 'display_url': 'pic.twitter.com/yFeyg9Icrv', 'media_key': '3_1525205756554858498'}]}"
14,1524907396786581504,2022-05-13 00:20:29+00:00,False,RT @rugpullfinder: ..@DemonicaNFT https://t.co/DVDwdqPc2m,65,0,0,0,"{'media_keys': ['3_1524863268749295623', '3_1524863278358339584']}","{'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/DVDwdqPc2m', 'expanded_url': 'https://twitter.com/rugpullfinder/status/1524863308133810194/photo/1', 'display_url': 'pic.twitter.com/DVDwdqPc2m', 'media_key': '3_1524863268749295623'}, {'start': 34, 'end': 57, 'url': 'https://t.co/DVDwdqPc2m', 'expanded_url': 'https://twitter.com/rugpullfinder/status/1524863308133810194/photo/1', 'display_url': 'pic.twitter.com/DVDwdqPc2m', 'media_key': '3_1524863278358339584'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'rugpullfinder', 'id': '1471463101300097029'}, {'start': 21, 'end': 33, 'username': 'DemonicaNFT', 'id': '1489432642726604805'}]}"
15,1524867455054540800,2022-05-12 21:41:46+00:00,True,@rugpullfinder 🔥💀,1,0,29,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'rugpullfinder', 'id': '1471463101300097029'}]}"
16,1524547707485900801,2022-05-12 00:31:12+00:00,True,@NFTzyBoi @6SigmaNFT 🔥🤝,0,0,5,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'NFTzyBoi', 'id': '1434359386965610498'}, {'start': 10, 'end': 20, 'username': '6SigmaNFT', 'id': '1498869886424326146'}]}"
17,1523754680353886213,2022-05-09 20:00:00+00:00,False,Watch your back 🤠🔪 https://t.co/TU7PIvGP7s,286,80,768,2,{'media_keys': ['3_1523745167022252033']},"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/TU7PIvGP7s', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1523754680353886213/photo/1', 'display_url': 'pic.twitter.com/TU7PIvGP7s', 'media_key': '3_1523745167022252033'}]}"
18,1523438479245414401,2022-05-08 23:03:32+00:00,False,"There are many moving parts in Demonica 🔥

To understand more about our different classes and timeline, read here: https://t.co/w84QbLkoOq",546,144,1057,9,"{'media_keys': ['3_1523437771687227392', '3_1523437787239747586']}","{'annotations': [{'start': 31, 'end': 38, 'probability': 0.5415, 'type': 'Place', 'normalized_text': 'Demonica'}], 'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/w84QbLkoOq', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1523438479245414401/photo/1', 'display_url': 'pic.twitter.com/w84QbLkoOq', 'media_key': '3_1523437771687227392'}, {'start': 115, 'end': 138, 'url': 'https://t.co/w84QbLkoOq', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1523438479245414401/photo/1', 'display_url': 'pic.twitter.com/w84QbLkoOq', 'media_key': '3_1523437787239747586'}]}"
19,1523401049800814592,2022-05-08 20:34:48+00:00,True,@NFTScoop_ Thanks for chatting 🔥🤝,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'NFTScoop_', 'id': '1483234191806550017'}]}"
20,1522999708502970368,2022-05-07 18:00:01+00:00,False,"Every Demonica holder will get a 1:1 3D model post-mint

These models will be the characters you'll play as in game ⚔ https://t.co/KknkSID1NS",290,68,807,5,"{'media_keys': ['3_1522977982813376512', '3_1522977982817574912']}","{'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/KknkSID1NS', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1522999708502970368/photo/1', 'display_url': 'pic.twitter.com/KknkSID1NS', 'media_key': '3_1522977982813376512'}, {'start': 118, 'end': 141, 'url': 'https://t.co/KknkSID1NS', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1522999708502970368/photo/1', 'display_url': 'pic.twitter.com/KknkSID1NS', 'media_key': '3_1522977982817574912'}]}"
21,1522703760795095041,2022-05-06 22:24:01+00:00,True,@BoredBonesClub 🤝,0,1,7,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'BoredBonesClub', 'id': '1484000567618064384'}]}"
22,1522667522071404545,2022-05-06 20:00:01+00:00,False,Diamond hand 🙌💎 https://t.co/cvqcPtDCc3,370,73,1055,3,{'media_keys': ['3_1522632208296542208']},"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/cvqcPtDCc3', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1522667522071404545/photo/1', 'display_url': 'pic.twitter.com/cvqcPtDCc3', 'media_key': '3_1522632208296542208'}]}"
23,1522454879846998017,2022-05-06 05:55:03+00:00,True,@SirRbro 😤🔥,0,2,16,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'SirRbro', 'id': '1253745103379857412'}]}"
24,1522305134117675008,2022-05-05 20:00:01+00:00,False,A true demon 🔥 https://t.co/DwQ5C6sfPQ,335,81,1019,6,{'media_keys': ['3_1522241622083178496']},"{'urls': [{'start': 15, 'end': 38, 'url': 'https://t.co/DwQ5C6sfPQ', 'expanded_url': 'https://twitter.com/DemonicaNFT/status/1522305134117675008/photo/1', 'display_url': 'pic.twitter.com/DwQ5C6sfPQ', 'media_key': '3_1522241622083178496'}]}"
25,1521927736096292864,2022-05-04 19:00:22+00:00,True,"We're giving away FREE mints and whitelist spots on this tweet 🔥

To enter 👇
- Like &amp; Retweet the tweet above
- Follow @DemonicaNFT &amp; @WakingRealms 
- Tag 3 friends",335,332,501,7,,"{'mentions': [{'start': 123, 'end': 135, 'username': 'DemonicaNFT', 'id': '1489432642726604805'}, {'start': 142, 'end': 155, 'username': 'WakingRealms', 'id': '1472010979559067648'}]}"
