,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508626911076913157,2022-03-29 02:07:39+00:00,True,"@queenoffomo @FeelsRareRadio We LOVE your artwork!!! Thanks for putting this together, Raqz :)",0,1,1,1,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'queenoffomo', 'id': '1392035931356532736'}, {'start': 13, 'end': 28, 'username': 'FeelsRareRadio', 'id': '1498655097554882561'}]}"
1,1508626789853061123,2022-03-29 02:07:10+00:00,False,RT @queenoffomo: Haven’t drawn in years thanks @DentedFeelsNFT @FeelsRareRadio for helping me get creative again please go like and show lo…,10,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'queenoffomo', 'id': '1392035931356532736'}, {'start': 47, 'end': 62, 'username': 'DentedFeelsNFT', 'id': '1492065417002582018'}, {'start': 63, 'end': 78, 'username': 'FeelsRareRadio', 'id': '1498655097554882561'}]}"
2,1508585361299058688,2022-03-28 23:22:32+00:00,True,@senpai_eth @Dented_Radio Looking good fam!,1,0,12,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'senpai_eth', 'id': '3320955326'}, {'start': 12, 'end': 25, 'username': 'Dented_Radio', 'id': '1441843698958929927'}]}"
3,1508551939570618371,2022-03-28 21:09:44+00:00,False,RT @AliAbbas9: Are we taking over Twitter this week or what? @DentedFeelsNFT fam where you at! We #DentedNotBroken let's get them trains go…,44,0,0,0,,"{'annotations': [{'start': 34, 'end': 40, 'probability': 0.6302, 'type': 'Product', 'normalized_text': 'Twitter'}], 'hashtags': [{'start': 98, 'end': 114, 'tag': 'DentedNotBroken'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'AliAbbas9', 'id': '273020658'}, {'start': 61, 'end': 76, 'username': 'DentedFeelsNFT', 'id': '1492065417002582018'}]}"
4,1508520697294987269,2022-03-28 19:05:35+00:00,False,"🌈 Dented Schedule 4 🌈 

Onto week four of #DentedFeels event schedule, posted every monday 👏✨

This week features 🔗
- NFTLA Meet Up 👋
- @MrCheckpoint Speaker Series 🎙
- Dentin Art Livestream 🎨
...and much more! 😶

Stay updated in our Discord👉 https://t.co/fJi9AsC7YS https://t.co/Ps1gdejkbI",22,11,72,2,"{'media_keys': ['3_1508520690768568322', '3_1508520690739290128']}","{'hashtags': [{'start': 42, 'end': 54, 'tag': 'DentedFeels'}], 'urls': [{'start': 243, 'end': 266, 'url': 'https://t.co/fJi9AsC7YS', 'expanded_url': 'http://discord.gg/dentedfeels', 'display_url': 'discord.gg/dentedfeels', 'images': [{'url': 'https://pbs.twimg.com/news_img/1507065638434455553/qBboEhU_?format=jpg&name=orig', 'width': 512, 'height': 170}, {'url': 'https://pbs.twimg.com/news_img/1507065638434455553/qBboEhU_?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/dentedfeels'}, {'start': 267, 'end': 290, 'url': 'https://t.co/Ps1gdejkbI', 'expanded_url': 'https://twitter.com/DentedFeelsNFT/status/1508520697294987269/photo/1', 'display_url': 'pic.twitter.com/Ps1gdejkbI'}, {'start': 267, 'end': 290, 'url': 'https://t.co/Ps1gdejkbI', 'expanded_url': 'https://twitter.com/DentedFeelsNFT/status/1508520697294987269/photo/1', 'display_url': 'pic.twitter.com/Ps1gdejkbI'}], 'mentions': [{'start': 136, 'end': 149, 'username': 'MrCheckpoint', 'id': '54735975'}]}"
5,1508512353372889094,2022-03-28 18:32:26+00:00,False,RT @CeeLosFigg: I’ll never forget my brother-he lives in my heart forever ❤️ @DentedFeelsNFT Hoodie w/the warm hug ❤️ #neverforgetamauryher…,21,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'CeeLosFigg', 'id': '93447880'}, {'start': 77, 'end': 92, 'username': 'DentedFeelsNFT', 'id': '1492065417002582018'}]}"
6,1508496916690006017,2022-03-28 17:31:06+00:00,False,"RT @HarriNFT: 🌤 Free Banners for all Newbies 🙏🏼
Anyone buying their first @dentedeelsnft or @FelineFiendz today today can claim a FREE cust…",31,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'HarriNFT', 'id': '1488938021240344577'}]}"
7,1508496732488798213,2022-03-28 17:30:22+00:00,True,@HarriNFT @FelineFiendz @SwampverseNFT @loserclubreborn @quirkiesnft @StarcatchersNFT @GutterCatGang @3landersNFT @v1punks @acrocalypseNFT @BoredApeYC @trippytoadznft 👀🎨,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'HarriNFT', 'id': '1488938021240344577'}, {'start': 10, 'end': 23, 'username': 'FelineFiendz', 'id': '1484371403486887939'}, {'start': 24, 'end': 38, 'username': 'SwampverseNFT', 'id': '1442004649670692867'}, {'start': 39, 'end': 55, 'username': 'loserclubreborn', 'id': '1488191770399760385'}, {'start': 56, 'end': 68, 'username': 'quirkiesnft', 'id': '1478970178931097601'}, {'start': 69, 'end': 85, 'username': 'StarcatchersNFT', 'id': '1478907585935904768'}, {'start': 86, 'end': 100, 'username': 'GutterCatGang', 'id': '1391917111614877696'}, {'start': 101, 'end': 113, 'username': '3landersNFT', 'id': '1440732888522100746'}, {'start': 114, 'end': 122, 'username': 'v1punks', 'id': '1482483528709328902'}, {'start': 123, 'end': 138, 'username': 'acrocalypseNFT', 'id': '1447826790689349640'}, {'start': 139, 'end': 150, 'username': 'BoredApeYC', 'id': '1381699264011771906'}, {'start': 151, 'end': 166, 'username': 'trippytoadznft', 'id': '2901051186'}]}"
8,1508443116658778120,2022-03-28 13:57:19+00:00,False,RT @BoonjiBoyNFT: Gm https://t.co/Mf2ql7Ndkk,12,0,0,0,{'media_keys': ['3_1508431454912462854']},"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/Mf2ql7Ndkk', 'expanded_url': 'https://twitter.com/BoonjiBoyNFT/status/1508431458289037315/photo/1', 'display_url': 'pic.twitter.com/Mf2ql7Ndkk'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'BoonjiBoyNFT', 'id': '1431283571109478404'}]}"
9,1508441643287932932,2022-03-28 13:51:27+00:00,False,"RT @xj9er: If this doesn’t describe the @DentedFeelsNFT #community I don’t know what does. IRL events is the tip of the iceberg. The love,…",10,0,0,0,,"{'hashtags': [{'start': 56, 'end': 66, 'tag': 'community'}], 'mentions': [{'start': 3, 'end': 9, 'username': 'xj9er', 'id': '991102959579811840'}, {'start': 40, 'end': 55, 'username': 'DentedFeelsNFT', 'id': '1492065417002582018'}]}"
