,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533637233605066752,2022-06-06 02:29:44+00:00,True,"5 Vans allowlist slots for any interaction on the above tweet 🌈🚐

Note: No formal partnership or affiliation has been established with the above-mentioned project.",22,15,60,0,,
1,1533637171105906689,2022-06-06 02:29:29+00:00,False,"Your moonbirds, our vans.

June 7th. https://t.co/p6dangdPQY",90,58,178,1,{'media_keys': ['16_1533637080575881217']},"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/p6dangdPQY', 'expanded_url': 'https://twitter.com/DippiesNFT/status/1533637171105906689/photo/1', 'display_url': 'pic.twitter.com/p6dangdPQY', 'media_key': '16_1533637080575881217'}]}"
2,1533633726357413889,2022-06-06 02:15:48+00:00,True,"5 Vans allowlist slots for any interaction on the above tweet 🌈🚐

Note: No formal partnership or affiliation has been established with the above-mentioned project.",30,13,81,0,,
3,1533633660741726208,2022-06-06 02:15:32+00:00,False,"Your mfers, our vans.

June 7th. https://t.co/rZusKDyxTl",130,91,257,4,{'media_keys': ['16_1533632623792250883']},"{'urls': [{'start': 33, 'end': 56, 'url': 'https://t.co/rZusKDyxTl', 'expanded_url': 'https://twitter.com/DippiesNFT/status/1533633660741726208/photo/1', 'display_url': 'pic.twitter.com/rZusKDyxTl', 'media_key': '16_1533632623792250883'}]}"
4,1533622744134328320,2022-06-06 01:32:10+00:00,False,"RT @DippieDopey: ✨DIPPIES GAME NIGHT! ✨

We’re giving away 50 WL spots on this stream tonight - 

👉 Join the stream
👉 Type !play in the cha…",10,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'DippieDopey', 'id': '1432861627578294273'}]}"
5,1533620563545047042,2022-06-06 01:23:30+00:00,True,"₅ ᵥₐₙₛ ₐₗₗₒwₗᵢₛₜ ₛₗₒₜₛ fₒᵣ ₐₙy ᵢₙₜₑᵣₐcₜᵢₒₙ ₒₙ ₜₕₑ ₐbₒᵥₑ ₜwₑₑₜ 🌈🚐

🗒️: ₙₒ fₒᵣₘₐₗ ₚₐᵣₜₙₑᵣₛₕᵢₚ ₒᵣ ₐffᵢₗᵢₐₜᵢₒₙ ₕₐₛ bₑₑₙ ₑₛₜₐbₗᵢₛₕₑd wᵢₜₕ ₜₕₑ ₐbₒᵥₑ₋ₘₑₙₜᵢₒₙₑd ₚᵣₒⱼₑcₜ.",31,23,111,0,,
6,1533620361241272323,2022-06-06 01:22:42+00:00,False,"Yₒᵤᵣ gₒbₗᵢₙₛ, ₒᵤᵣ ᵥₐₙₛ.

ⱼᵤₙₑ ₇ₜₕ. https://t.co/ySwKXs7CiY",161,78,370,3,{'media_keys': ['16_1533619391258140677']},"{'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/ySwKXs7CiY', 'expanded_url': 'https://twitter.com/DippiesNFT/status/1533620361241272323/photo/1', 'display_url': 'pic.twitter.com/ySwKXs7CiY', 'media_key': '16_1533619391258140677'}]}"
7,1533611586069356546,2022-06-06 00:47:49+00:00,True,"@DadnessNFT Winners 🌈🔑💜

@goingino1
@AlineTweets
@10_cristie
@BINGOBONGO_VC20
@digital_dan20",5,12,34,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'DadnessNFT', 'id': '1503760720500035585'}, {'start': 25, 'end': 35, 'username': 'goingino1', 'id': '1457301772205461504'}, {'start': 36, 'end': 48, 'username': 'AlineTweets', 'id': '248726781'}, {'start': 49, 'end': 60, 'username': '10_cristie', 'id': '930123460092755968'}, {'start': 61, 'end': 77, 'username': 'BINGOBONGO_VC20', 'id': '1392861912245972995'}, {'start': 78, 'end': 92, 'username': 'digital_dan20', 'id': '1465015611453435906'}]}"
8,1533607424610942977,2022-06-06 00:31:17+00:00,False,"RT @ladsandbeers: 🪴 Dippies 3x Vanlist Giveaway 🪴

🚐 Cheers to @1lowkey - I’ll be giving away 3x Vanlist spots for Dippies upcoming mint on…",126,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'ladsandbeers', 'id': '1192977555256696834'}, {'start': 63, 'end': 71, 'username': '1lowkey', 'id': '32452063'}]}"
9,1533569975541194753,2022-06-05 22:02:29+00:00,False,"🌸another, another one 🌸

 https://t.co/cn3f72Qmd0",12,1,56,0,,"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/cn3f72Qmd0', 'expanded_url': 'https://twitter.com/i/spaces/1ynJOZwARnOGR', 'display_url': 'twitter.com/i/spaces/1ynJO…'}]}"
